model,metric,mean,ci_low,ci_high,n_groups,resampling_unit
qmmf,outer_macro_dice,0.8072069515045457,0.774998749488803,0.8351444967343988,55,group
hemis,outer_macro_dice,0.7140561379424143,0.6675489099079666,0.7550182243622533,55,group
unet25d,outer_macro_dice,0.7970498367930607,0.7572770947674697,0.830550298625386,55,group
no_quality,outer_macro_dice,0.8094929751994718,0.776425603487616,0.838591669243893,55,group
no_variance,outer_macro_dice,0.8082529248213706,0.77339021604848,0.8375045574665567,55,group
no_max,outer_macro_dice,0.8051711291427236,0.7741447231122245,0.833008061026954,55,group
no_consistency,outer_macro_dice,0.8066879416837299,0.7756455947969619,0.8340323387060166,55,group
shuffled_quality,outer_macro_dice,0.8052899288139882,0.7700284743320658,0.8353005465045064,55,group
matched_moment_fusion,outer_macro_dice,0.8104789461416886,0.7772569164525563,0.8389571064713583,55,group
qmmf,mean_subset_macro_dice,0.6456467184105921,0.5937018480401035,0.6969806570365167,16,group
hemis,mean_subset_macro_dice,0.5390147497254448,0.4763756668180881,0.5995145181339046,16,group
unet25d,mean_subset_macro_dice,0.6193598372307374,0.5613277373231511,0.6749724214853101,16,group
no_quality,mean_subset_macro_dice,0.6457318654071549,0.594267620447342,0.697351427211389,16,group
no_variance,mean_subset_macro_dice,0.6533681151836636,0.6051122812497558,0.7016886251526081,16,group
no_max,mean_subset_macro_dice,0.6493178775799047,0.5998376501295266,0.6988265369628127,16,group
no_consistency,mean_subset_macro_dice,0.6401206276756287,0.5854395367672058,0.6936845035090866,16,group
shuffled_quality,mean_subset_macro_dice,0.6523831313072915,0.6021071622997615,0.7025621104989462,16,group
matched_moment_fusion,mean_subset_macro_dice,0.6559777687946977,0.6028553122464891,0.7072891828772829,16,group
qmmf,worst_subset_macro_dice,0.3273289957843228,0.24631537824759017,0.41321857115422006,16,group
hemis,worst_subset_macro_dice,0.21565965229043443,0.1421696378522215,0.2946514767230465,16,group
unet25d,worst_subset_macro_dice,0.2741590646589352,0.191673844837677,0.3605522723098105,16,group
no_quality,worst_subset_macro_dice,0.33115279523035723,0.2500094667474095,0.41650798743110845,16,group
no_variance,worst_subset_macro_dice,0.34798490273885063,0.2734106057945206,0.4256498449869081,16,group
no_max,worst_subset_macro_dice,0.3270931927908116,0.2436684300307869,0.4152364542217323,16,group
no_consistency,worst_subset_macro_dice,0.3301612296412273,0.2488143261902982,0.4161384954336638,16,group
shuffled_quality,worst_subset_macro_dice,0.3527218563016845,0.27466083471157565,0.43317260352890774,16,group
matched_moment_fusion,worst_subset_macro_dice,0.3709297126142229,0.2924041051763075,0.4520805949360356,16,group
