model,case_id,subset,group_id,n_modalities,macro_dice
qmmf,BRATS_021,flair,sg_8a56096263e207fc,1,0.49585146871524227
qmmf,BRATS_021,t1,sg_8a56096263e207fc,1,0.3453840397896682
qmmf,BRATS_021,t1+flair,sg_8a56096263e207fc,2,0.6150342942664296
qmmf,BRATS_021,t1+t1ce,sg_8a56096263e207fc,2,0.4506289160209893
qmmf,BRATS_021,t1+t1ce+flair,sg_8a56096263e207fc,3,0.6249674245836725
qmmf,BRATS_021,t1+t1ce+t2,sg_8a56096263e207fc,3,0.6256946592817442
qmmf,BRATS_021,t1+t1ce+t2+flair,sg_8a56096263e207fc,4,0.7115581149918357
qmmf,BRATS_021,t1+t2,sg_8a56096263e207fc,2,0.3812945251528366
qmmf,BRATS_021,t1+t2+flair,sg_8a56096263e207fc,3,0.6722673679787968
qmmf,BRATS_021,t1ce,sg_8a56096263e207fc,1,0.289319935032808
qmmf,BRATS_021,t1ce+flair,sg_8a56096263e207fc,2,0.582915872338841
qmmf,BRATS_021,t1ce+t2,sg_8a56096263e207fc,2,0.5817645210488217
qmmf,BRATS_021,t1ce+t2+flair,sg_8a56096263e207fc,3,0.7037935999334787
qmmf,BRATS_021,t2,sg_8a56096263e207fc,1,0.3813878445085472
qmmf,BRATS_021,t2+flair,sg_8a56096263e207fc,2,0.6209941476773624
qmmf,BRATS_111,flair,sg_74969a1c98337c11,1,0.612481588284076
qmmf,BRATS_111,t1,sg_74969a1c98337c11,1,0.41653214807274425
qmmf,BRATS_111,t1+flair,sg_74969a1c98337c11,2,0.6751428643745817
qmmf,BRATS_111,t1+t1ce,sg_74969a1c98337c11,2,0.7719800937972542
qmmf,BRATS_111,t1+t1ce+flair,sg_74969a1c98337c11,3,0.9129157517007679
qmmf,BRATS_111,t1+t1ce+t2,sg_74969a1c98337c11,3,0.8626948136945302
qmmf,BRATS_111,t1+t1ce+t2+flair,sg_74969a1c98337c11,4,0.9121310745976903
qmmf,BRATS_111,t1+t2,sg_74969a1c98337c11,2,0.6001016706292943
qmmf,BRATS_111,t1+t2+flair,sg_74969a1c98337c11,3,0.6880053180644278
qmmf,BRATS_111,t1ce,sg_74969a1c98337c11,1,0.7424538493178026
qmmf,BRATS_111,t1ce+flair,sg_74969a1c98337c11,2,0.9170757151150699
qmmf,BRATS_111,t1ce+t2,sg_74969a1c98337c11,2,0.836728833565863
qmmf,BRATS_111,t1ce+t2+flair,sg_74969a1c98337c11,3,0.9110663273065237
qmmf,BRATS_111,t2,sg_74969a1c98337c11,1,0.4463528184298751
qmmf,BRATS_111,t2+flair,sg_74969a1c98337c11,2,0.630395149119621
qmmf,BRATS_172,flair,sg_cb857fb98a0abf51,1,0.6731136639541467
qmmf,BRATS_172,t1,sg_cb857fb98a0abf51,1,0.5926808792133303
qmmf,BRATS_172,t1+flair,sg_cb857fb98a0abf51,2,0.7385412771032417
qmmf,BRATS_172,t1+t1ce,sg_cb857fb98a0abf51,2,0.8709004966593406
qmmf,BRATS_172,t1+t1ce+flair,sg_cb857fb98a0abf51,3,0.9262486278225971
qmmf,BRATS_172,t1+t1ce+t2,sg_cb857fb98a0abf51,3,0.9220870374311367
qmmf,BRATS_172,t1+t1ce+t2+flair,sg_cb857fb98a0abf51,4,0.9305176865262381
qmmf,BRATS_172,t1+t2,sg_cb857fb98a0abf51,2,0.7144847852290437
qmmf,BRATS_172,t1+t2+flair,sg_cb857fb98a0abf51,3,0.7286755419407331
qmmf,BRATS_172,t1ce,sg_cb857fb98a0abf51,1,0.8436011252483961
qmmf,BRATS_172,t1ce+flair,sg_cb857fb98a0abf51,2,0.9241278583653765
qmmf,BRATS_172,t1ce+t2,sg_cb857fb98a0abf51,2,0.9131424694240465
qmmf,BRATS_172,t1ce+t2+flair,sg_cb857fb98a0abf51,3,0.9290787596595056
qmmf,BRATS_172,t2,sg_cb857fb98a0abf51,1,0.6883136876218
qmmf,BRATS_172,t2+flair,sg_cb857fb98a0abf51,2,0.7168438466777695
qmmf,BRATS_219,flair,sg_4634c4d061d30852,1,0.6259699323637088
qmmf,BRATS_219,t1,sg_4634c4d061d30852,1,0.667321867557809
qmmf,BRATS_219,t1+flair,sg_4634c4d061d30852,2,0.6111336051052547
qmmf,BRATS_219,t1+t1ce,sg_4634c4d061d30852,2,0.8149642399833557
qmmf,BRATS_219,t1+t1ce+flair,sg_4634c4d061d30852,3,0.8833458258140251
qmmf,BRATS_219,t1+t1ce+t2,sg_4634c4d061d30852,3,0.8781267152726677
qmmf,BRATS_219,t1+t1ce+t2+flair,sg_4634c4d061d30852,4,0.8926663395585197
qmmf,BRATS_219,t1+t2,sg_4634c4d061d30852,2,0.6512358927913704
qmmf,BRATS_219,t1+t2+flair,sg_4634c4d061d30852,3,0.648646569931546
qmmf,BRATS_219,t1ce,sg_4634c4d061d30852,1,0.7747879133365484
qmmf,BRATS_219,t1ce+flair,sg_4634c4d061d30852,2,0.8777241920772084
qmmf,BRATS_219,t1ce+t2,sg_4634c4d061d30852,2,0.8668555580174296
qmmf,BRATS_219,t1ce+t2+flair,sg_4634c4d061d30852,3,0.8954625297959623
qmmf,BRATS_219,t2,sg_4634c4d061d30852,1,0.5580771776015044
qmmf,BRATS_219,t2+flair,sg_4634c4d061d30852,2,0.6593907342455654
qmmf,BRATS_230,flair,sg_1669c905c2882ce2,1,0.23587193521114225
qmmf,BRATS_230,t1,sg_1669c905c2882ce2,1,0.25730388393777787
qmmf,BRATS_230,t1+flair,sg_1669c905c2882ce2,2,0.41573118103673184
qmmf,BRATS_230,t1+t1ce,sg_1669c905c2882ce2,2,0.3788184247935416
qmmf,BRATS_230,t1+t1ce+flair,sg_1669c905c2882ce2,3,0.5668331155738987
qmmf,BRATS_230,t1+t1ce+t2,sg_1669c905c2882ce2,3,0.6097122609038762
qmmf,BRATS_230,t1+t1ce+t2+flair,sg_1669c905c2882ce2,4,0.6580721700806003
qmmf,BRATS_230,t1+t2,sg_1669c905c2882ce2,2,0.4306085619547266
qmmf,BRATS_230,t1+t2+flair,sg_1669c905c2882ce2,3,0.4939789585644862
qmmf,BRATS_230,t1ce,sg_1669c905c2882ce2,1,0.3410632134900445
qmmf,BRATS_230,t1ce+flair,sg_1669c905c2882ce2,2,0.37450733585158097
qmmf,BRATS_230,t1ce+t2,sg_1669c905c2882ce2,2,0.5905433716830731
qmmf,BRATS_230,t1ce+t2+flair,sg_1669c905c2882ce2,3,0.659320429008059
qmmf,BRATS_230,t2,sg_1669c905c2882ce2,1,0.39383527775632327
qmmf,BRATS_230,t2+flair,sg_1669c905c2882ce2,2,0.47553261146314285
qmmf,BRATS_258,flair,sg_9568e8757c7f7a03,1,0.5808051218500893
qmmf,BRATS_258,t1,sg_9568e8757c7f7a03,1,0.045909903290600844
qmmf,BRATS_258,t1+flair,sg_9568e8757c7f7a03,2,0.5725306385149908
qmmf,BRATS_258,t1+t1ce,sg_9568e8757c7f7a03,2,0.7738015958643257
qmmf,BRATS_258,t1+t1ce+flair,sg_9568e8757c7f7a03,3,0.8998620761799806
qmmf,BRATS_258,t1+t1ce+t2,sg_9568e8757c7f7a03,3,0.874391496546857
qmmf,BRATS_258,t1+t1ce+t2+flair,sg_9568e8757c7f7a03,4,0.9020216925910738
qmmf,BRATS_258,t1+t2,sg_9568e8757c7f7a03,2,0.5938077240959235
qmmf,BRATS_258,t1+t2+flair,sg_9568e8757c7f7a03,3,0.5881202821813666
qmmf,BRATS_258,t1ce,sg_9568e8757c7f7a03,1,0.7510431783780583
qmmf,BRATS_258,t1ce+flair,sg_9568e8757c7f7a03,2,0.9029114813802429
qmmf,BRATS_258,t1ce+t2,sg_9568e8757c7f7a03,2,0.8705869142677664
qmmf,BRATS_258,t1ce+t2+flair,sg_9568e8757c7f7a03,3,0.9064409623566597
qmmf,BRATS_258,t2,sg_9568e8757c7f7a03,1,0.43809435392867785
qmmf,BRATS_258,t2+flair,sg_9568e8757c7f7a03,2,0.6143278029006648
qmmf,BRATS_324,flair,sg_dbb5dd7d7605593e,1,0.3494386519991564
qmmf,BRATS_324,t1,sg_dbb5dd7d7605593e,1,0.2359949894558232
qmmf,BRATS_324,t1+flair,sg_dbb5dd7d7605593e,2,0.3509572618070678
qmmf,BRATS_324,t1+t1ce,sg_dbb5dd7d7605593e,2,0.5644809328062164
qmmf,BRATS_324,t1+t1ce+flair,sg_dbb5dd7d7605593e,3,0.7448379782210051
qmmf,BRATS_324,t1+t1ce+t2,sg_dbb5dd7d7605593e,3,0.7273537775872292
