reference,control,metric,difference,ci_low,ci_high,n_groups,resampling_unit
qmmf,hemis,outer_macro_dice,0.0931508135621314,0.07328905907756071,0.11603183324958835,55,group
qmmf,unet25d,outer_macro_dice,0.01015711471148495,-0.0007474126051184355,0.022846129318679482,55,group
qmmf,no_quality,outer_macro_dice,-0.0022860236949261425,-0.008786817153822396,0.004618693761938338,55,group
qmmf,no_variance,outer_macro_dice,-0.0010459733168248775,-0.008544781269882945,0.005982848328256793,55,group
qmmf,no_max,outer_macro_dice,0.0020358223618220928,-0.005023087031953491,0.0088557340389593,55,group
qmmf,no_consistency,outer_macro_dice,0.0005190098208157634,-0.004247542705307902,0.004510213744937606,55,group
qmmf,shuffled_quality,outer_macro_dice,0.0019170226905574905,-0.005372663016204198,0.010309476456235086,55,group
qmmf,matched_moment_fusion,outer_macro_dice,-0.0032719946371428943,-0.010102393799860753,0.003966332757031795,55,group
qmmf,hemis,mean_subset_macro_dice,0.10663196868514724,0.08636861010477248,0.12536916053939479,16,group
qmmf,unet25d,mean_subset_macro_dice,0.02628688117985467,0.01018961139560337,0.0423435509762956,16,group
qmmf,no_quality,mean_subset_macro_dice,-8.514699656281266e-05,-0.0087225037592242,0.0075206786845701135,16,group
qmmf,no_variance,mean_subset_macro_dice,-0.007721396773071487,-0.020819993326238982,0.0026884896415555965,16,group
qmmf,no_max,mean_subset_macro_dice,-0.003671159169312599,-0.013763514097841278,0.005096860107867294,16,group
qmmf,no_consistency,mean_subset_macro_dice,0.0055260907349633515,0.001309879276289336,0.010349189561246053,16,group
qmmf,shuffled_quality,mean_subset_macro_dice,-0.006736412896699462,-0.016915487732033954,0.003126348225791039,16,group
qmmf,matched_moment_fusion,mean_subset_macro_dice,-0.010331050384105644,-0.024428608020579664,0.0005571494929593714,16,group
qmmf,hemis,worst_subset_macro_dice,0.11166934349388835,0.024995378988861335,0.1766178467819281,16,group
qmmf,unet25d,worst_subset_macro_dice,0.05316993112538759,0.025192219058709216,0.08487156928481492,16,group
qmmf,no_quality,worst_subset_macro_dice,-0.003823799446034448,-0.01928235745002462,0.010244523034665727,16,group
qmmf,no_variance,worst_subset_macro_dice,-0.020655906954527847,-0.03849110319206831,-0.0023871108724524484,16,group
qmmf,no_max,worst_subset_macro_dice,0.0002358029935111694,-0.012836623267333569,0.012971741657079695,16,group
qmmf,no_consistency,worst_subset_macro_dice,-0.002832233856904509,-0.01012932523435376,0.0032020098900794373,16,group
qmmf,shuffled_quality,worst_subset_macro_dice,-0.025392860517361726,-0.03617940956966505,-0.015846085278534826,16,group
qmmf,matched_moment_fusion,worst_subset_macro_dice,-0.04360071682990013,-0.059580597135775105,-0.02853103517135231,16,group
