model,region,dice_nonempty_reference,group_dice_nonempty_reference,n_groups_with_nonempty_reference,n_nonempty_reference,n_empty_reference,n_empty_predictions,n_empty_reference_false_positives
qmmf,et,0.7817357064992488,0.7685211032276577,53,89,2,0,2
qmmf,tc,0.8008092271723922,0.7907391853599842,55,91,0,0,0
qmmf,wt,0.8736463969169973,0.8680299313322823,55,91,0,0,0
hemis,et,0.6565882481916396,0.6547341253802387,53,89,2,0,2
hemis,tc,0.6969702341918261,0.6928503521007954,55,91,0,0,0
hemis,wt,0.8063355454408252,0.8030847957729312,55,91,0,0,0
unet25d,et,0.7901771963074185,0.7808720183773531,53,89,2,0,2
unet25d,tc,0.7836481707293271,0.772182601928877,55,91,0,0,0
unet25d,wt,0.8551494912211034,0.8457796708749196,55,91,0,0,0
no_quality,et,0.7917611164375784,0.7826629636702557,53,89,2,0,2
no_quality,tc,0.7958239026198526,0.7858775717783836,55,91,0,0,0
no_quality,wt,0.8712858769006911,0.8651434417838483,55,91,0,0,0
no_variance,et,0.7866222129482142,0.7794849659897521,53,89,2,0,2
no_variance,tc,0.7999316254984077,0.7883230424786993,55,91,0,0,0
no_variance,wt,0.8692802774640691,0.862475359425135,55,91,0,0,0
no_max,et,0.7880863577568878,0.7752215234993555,53,89,2,0,2
no_max,tc,0.7893556110407113,0.7807209786592815,55,91,0,0,0
no_max,wt,0.8701026704018289,0.8650763948184016,55,91,0,0,0
no_consistency,et,0.7807118091247433,0.7688373019250211,53,89,2,0,2
no_consistency,tc,0.8001983194762936,0.790564589129279,55,91,0,0,0
no_consistency,wt,0.871873775614246,0.8662639874631841,55,91,0,0,0
shuffled_quality,et,0.7767407537783068,0.7645715083207966,53,89,2,0,2
shuffled_quality,tc,0.8031395633789594,0.7930082987525553,55,91,0,0,0
shuffled_quality,wt,0.8680492430085619,0.8626508698479487,55,91,0,0,0
matched_moment_fusion,et,0.7837808033277339,0.7736277039341363,53,89,2,0,2
matched_moment_fusion,tc,0.8056306991545997,0.796931310408724,55,91,0,0,0
matched_moment_fusion,wt,0.8718174175991142,0.8648438837923783,55,91,0,0,0
