epoch,dice,bce,seg,boundary,nested,deep_supervision,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score,consistency
0,0.9762461769580841,0.6657857203483581,0.8520620214939117,0.7469555002450943,0.05240307796746493,0.5976165735721588,1.5269942998886108,25.92676899200069,5.1e-05,,,,,,,,
1,0.9636673599481582,0.4780872541666031,0.7694353419542312,0.6956841331720353,0.15497773624956607,0.49725490748882295,1.3440075480937959,24.403366950999953,0.00010099999999999999,,,,,,,,
2,0.9546886616945267,0.4056582248210907,0.7350765192508697,0.6891814607381821,0.1809069223701954,0.4698835414648056,1.2829235553741456,24.510237348999908,0.00015099999999999998,,,,,,,,
3,0.9569849467277527,0.3602120155096054,0.718275801539421,0.6851654642820358,0.17172448828816414,0.45318237751722334,1.248560951948166,24.42669142700015,0.00020099999999999998,,,,,,,,
4,0.9505288195610047,0.3162928593158722,0.6968344622850418,0.6969689798355102,0.16382551118731498,0.4335553964972496,1.2082780385017395,22.280453818999376,0.000251,,,,,,,,
5,0.9377241533994675,0.2721484073996544,0.6714938777685165,0.6887620759010314,0.15059921622276307,0.4103656470775604,1.1582656997442244,22.038546304000192,0.0003,,,,,,,,
6,0.9351247829198838,0.2246144564449787,0.6509206777811051,0.6874561864137649,0.13830228060483932,0.3959343805909157,1.1225157874822616,22.52054316000067,0.0002999430460537427,,,,,,,,
7,0.9283078992366791,0.18592479646205903,0.6313546818494796,0.6902545920014381,0.1230263214558363,0.38338191419839857,1.089913364648819,22.054684275,0.0002997722274649974,,,,,,,,
8,0.9077944737672806,0.15726631879806519,0.6075832337141037,0.699273687005043,0.10928083725273609,0.36751818269491193,1.0504928296804428,24.115709210000205,0.00029948767395100045,,,,,,,,
9,0.8961341434717178,0.13027317449450493,0.5897897797822952,0.6976332914829254,0.0982091074436903,0.3605862179398537,1.0250497829914094,23.373631790000218,0.0002990896015976924,0.4520966177837171,0.42795757626221903,0.3712549742643081,0.4520966177837171,0.41348689023629714,0.4182892207666428,0.43677074097532675,
