case_id,t1,t1ce,t2,flair,efficiency_gap,full_value,model,seed
BRATS_023,0.09969463172449793,0.16600056325783383,0.14081937028242575,0.2014640989004963,0.0,0.6079786641652538,qmmf,43
BRATS_027,0.13225399196237253,0.06959929728708973,0.3171785752736097,0.31506458147406924,-1.1102230246251565e-16,0.8340964459971413,qmmf,43
BRATS_034,0.11291134254944694,0.15242105018987576,0.20954602538175887,0.16191617637516637,0.0,0.636794594496248,qmmf,43
BRATS_059,0.15637974626738177,0.3135976734024897,0.19920126783995304,0.2106123008282214,1.1102230246251565e-16,0.8797909883380458,qmmf,43
BRATS_062,0.05034376750646992,0.27940052833606344,0.1808691459444094,0.218472835781574,0.0,0.7290862775685167,qmmf,43
BRATS_066,0.13896785192272837,0.3730563670742329,0.09084009099613892,0.1164209029916489,0.0,0.7192852129847491,qmmf,43
BRATS_076,0.13629274797649976,0.2608394196314071,0.17029753066929537,0.16212007539676532,0.0,0.7295497736739676,qmmf,43
BRATS_092,0.14455132296685194,0.1606663902863939,0.14596789612334718,0.10862285188452186,1.1102230246251565e-16,0.5598084612611148,qmmf,43
BRATS_097,0.11095367189007717,0.37365936376526965,0.20990873876303978,0.20199859674699344,1.1102230246251565e-16,0.89652037116538,qmmf,43
BRATS_116,0.13517086716225524,0.20288758416039643,0.155203307252332,0.17200570084533154,0.0,0.6652674594203152,qmmf,43
BRATS_119,0.0697178642649778,0.23724383033337995,0.19880156687176304,0.2006246467484553,0.0,0.7063879082185761,qmmf,43
BRATS_135,0.11207514873412357,0.266656831701671,0.17772020949338374,0.15347698916494468,1.1102230246251565e-16,0.7099291790941229,qmmf,43
BRATS_143,0.16482513792829295,0.24888069832999574,0.18778170329307636,0.13929102943631871,0.0,0.7407785689876838,qmmf,43
BRATS_144,0.013191370662879995,0.3031458612388874,0.18919013632568868,0.23869000313174596,0.0,0.7442173713592021,qmmf,43
BRATS_160,0.05461300911875783,0.33916598639388806,0.090979915282709,0.2545131980231402,0.0,0.7392721088184951,qmmf,43
BRATS_163,0.17420040560520972,0.2573876385808441,0.2384725120502174,0.14511896399037327,0.0,0.8151795202266445,qmmf,43
BRATS_170,0.0971939878958301,0.13542540590363122,0.16474957922495226,0.12743803196374126,0.0,0.5248070049881548,qmmf,43
BRATS_190,0.08794679324779917,0.2873649802730587,0.22874771965065166,0.2323520057889003,-1.1102230246251565e-16,0.8364114989604099,qmmf,43
BRATS_194,0.08614824880176827,0.22397747790641168,0.17574666991087196,0.1529527857254197,0.0,0.6388251823444716,qmmf,43
BRATS_197,0.07152292215021244,0.29143003062958645,0.12238976178961379,0.13733939716082338,0.0,0.622682111730236,qmmf,43
BRATS_228,0.1625521602340958,0.34662529286273974,0.1617498358999713,0.17795787697955065,-1.1102230246251565e-16,0.8488851659763575,qmmf,43
BRATS_234,0.14113081714859138,0.40408461310717736,0.1761510186529943,0.22162107947386092,-1.1102230246251565e-16,0.942987528382624,qmmf,43
BRATS_259,0.07232057774272811,0.06445810313873027,0.12597720720713285,0.1375851254115651,0.0,0.40034101350015633,qmmf,43
BRATS_268,0.11464824307038318,0.17672365673086812,0.13716561254322704,0.1409817037868309,-1.1102230246251565e-16,0.5695192161313093,qmmf,43
BRATS_273,0.04988804789492428,0.33935775982539024,0.25566653081385365,0.20532451345034652,0.0,0.8502368519845147,qmmf,43
