case_id,region,dice,hd95,nsd,volume_pred_ml,volume_ref_ml,volume_error_ml,relative_volume_error,reference_empty,prediction_empty,lesion_recall,lesion_precision,lesion_f1,model,seed
BRATS_360,wt,0.8707759419164003,,,74.63,59.246,15.383999999999991,0.2596630996185395,False,False,,,,no_quality,43
BRATS_360,tc,0.8811824900511654,,,16.201,15.461,0.7400000000000002,0.0478623633658883,False,False,,,,no_quality,43
BRATS_360,et,0.7447306791569087,,,7.561,8.665000000000001,-1.104000000000001,-0.1274091171379112,False,False,,,,no_quality,43
BRATS_374,wt,0.8752482860255014,,,50.178,43.464,6.714000000000006,0.1544726670347875,False,False,,,,no_quality,43
BRATS_374,tc,0.8469582613440029,,,11.434,10.56,0.8740000000000006,0.0827651515151515,False,False,,,,no_quality,43
BRATS_374,et,0.7827872088432688,,,5.977,6.688,-0.7109999999999994,-0.1063098086124401,False,False,,,,no_quality,43
BRATS_384,wt,0.8412124475901066,,,82.155,73.827,8.328000000000003,0.1128042586045756,False,False,,,,no_quality,43
BRATS_384,tc,0.920004083160366,,,15.137,14.252,0.8849999999999998,0.0620965478529329,False,False,,,,no_quality,43
BRATS_384,et,0.8691917973462002,,,9.815,10.91,-1.0950000000000006,-0.1003666361136572,False,False,,,,no_quality,43
BRATS_391,wt,0.9309806157354618,,,93.553,81.84700000000001,11.705999999999989,0.1430229574694245,False,False,,,,no_quality,43
BRATS_391,tc,0.9202113024817036,,,35.546,37.146,-1.6000000000000014,-0.0430732784149033,False,False,,,,no_quality,43
BRATS_391,et,0.8520046971984566,,,26.078,33.532000000000004,-7.454000000000004,-0.222295121078373,False,False,,,,no_quality,43
BRATS_393,wt,0.922194400182108,,,163.751,143.759,19.99199999999999,0.1390660758630763,False,False,,,,no_quality,43
BRATS_393,tc,0.902375553952386,,,37.691,39.933,-2.2419999999999973,-0.0561440412691257,False,False,,,,no_quality,43
BRATS_393,et,0.8496638762049721,,,27.351,35.721000000000004,-8.370000000000005,-0.234315948601663,False,False,,,,no_quality,43
BRATS_396,wt,0.9581018421822132,,,105.3,110.151,-4.850999999999999,-0.0440395457145191,False,False,,,,no_quality,43
BRATS_396,tc,0.9240163360251648,,,38.398,37.263,1.1350000000000051,0.0304591686122965,False,False,,,,no_quality,43
BRATS_396,et,0.8934951220171338,,,17.128,19.875,-2.747,-0.1382138364779874,False,False,,,,no_quality,43
BRATS_403,wt,0.893486545070438,,,126.157,146.494,-20.337000000000003,-0.138824798285254,False,False,,,,no_quality,43
BRATS_403,tc,0.786904428469175,,,90.497,70.168,20.328999999999997,0.2897189602097821,False,False,,,,no_quality,43
BRATS_403,et,0.7616429317644471,,,19.43,16.944,2.4860000000000007,0.1467186024551464,False,False,,,,no_quality,43
BRATS_414,wt,0.9038437854924124,,,135.554,156.762,-21.208,-0.1352878886464832,False,False,,,,no_quality,43
BRATS_414,tc,0.8647659724961574,,,69.784,77.25,-7.465999999999994,-0.0966472491909384,False,False,,,,no_quality,43
BRATS_414,et,0.7583140887585735,,,46.483,69.134,-22.651,-0.3276390777330979,False,False,,,,no_quality,43
BRATS_438,wt,0.7184318029388452,,,13.727,19.075,-5.347999999999999,-0.2803669724770641,False,False,,,,no_quality,43
BRATS_438,tc,0.8771619605459469,,,8.779,9.318,-0.5389999999999997,-0.0578450311225584,False,False,,,,no_quality,43
BRATS_438,et,0.8428918806713718,,,8.003,8.858,-0.8550000000000004,-0.0965229171370513,False,False,,,,no_quality,43
BRATS_450,wt,0.8980344664383753,,,77.004,66.672,10.332000000000008,0.1549676025917928,False,False,,,,no_quality,43
BRATS_450,tc,0.8298858440386948,,,28.296,36.002,-7.706000000000003,-0.2140436642408755,False,False,,,,no_quality,43
BRATS_450,et,0.6625769968696354,,,13.668,25.944,-12.275999999999998,-0.473172987974098,False,False,,,,no_quality,43
BRATS_463,wt,0.9533217030505916,,,104.762,107.328,-2.5660000000000025,-0.0239080202742993,False,False,,,,no_quality,43
BRATS_463,tc,0.9543537767256048,,,39.427,41.675,-2.2480000000000047,-0.0539412117576485,False,False,,,,no_quality,43
BRATS_463,et,0.8855610192221726,,,28.098,34.538000000000004,-6.440000000000005,-0.1864612890149981,False,False,,,,no_quality,43
BRATS_475,wt,0.9498777810413752,,,201.117,200.621,0.4959999999999809,0.0024723234357319,False,False,,,,no_quality,43
BRATS_475,tc,0.9328452181589232,,,113.989,117.104,-3.114999999999995,-0.0266002869244431,False,False,,,,no_quality,43
BRATS_475,et,0.8162908042426115,,,51.44,65.092,-13.652,-0.209733915074049,False,False,,,,no_quality,43
BRATS_478,wt,0.8723666307705205,,,77.799,77.278,0.5210000000000008,0.0067418929061311,False,False,,,,no_quality,43
BRATS_478,tc,0.8591430142548961,,,25.797,21.485,4.312000000000001,0.2006981615080289,False,False,,,,no_quality,43
BRATS_478,et,0.8680672268907563,,,12.023,14.157,-2.1340000000000003,-0.1507381507381507,False,False,,,,no_quality,43
BRATS_010,wt,0.7934665226781857,,,23.961,20.487,3.474,0.1695709474300776,False,False,,,,qmmf,44
BRATS_010,tc,0.790946656649136,,,5.768,4.88,0.8879999999999999,0.181967213114754,False,False,,,,qmmf,44
BRATS_010,et,0.7613981762917933,,,4.745,4.4670000000000005,0.2779999999999996,0.062234161629729,False,False,,,,qmmf,44
BRATS_020,wt,0.9295685379727782,,,248.019,256.869,-8.850000000000023,-0.0344533594945284,False,False,,,,qmmf,44
BRATS_020,tc,0.8225261108160736,,,110.024,115.936,-5.912000000000006,-0.0509936516698868,False,False,,,,qmmf,44
BRATS_020,et,0.7749249413407117,,,51.772,67.135,-15.363000000000008,-0.2288374171445595,False,False,,,,qmmf,44
BRATS_023,wt,0.9004790559093299,,,72.82900000000001,64.107,8.722000000000008,0.1360537850780727,False,False,,,,qmmf,44
BRATS_023,tc,0.3475899524779361,,,18.046,5.522,12.524,2.2680188337558853,False,False,,,,qmmf,44
BRATS_023,et,0.0,,,0.834,0.0,0.834,,True,False,,,,qmmf,44
BRATS_027,wt,0.9386120399735554,,,51.095,53.274,-2.179000000000002,-0.0409017532004355,False,False,,,,qmmf,44
BRATS_027,tc,0.724101164328059,,,18.158,28.736,-10.578,-0.368109688195991,False,False,,,,qmmf,44
BRATS_027,et,0.0,,,0.867,0.0,0.867,,True,False,,,,qmmf,44
BRATS_034,wt,0.9479182655410592,,,200.82,216.14,-15.320000000000022,-0.0708799851947812,False,False,,,,qmmf,44
BRATS_034,tc,0.7580898060551212,,,79.304,110.75,-31.446,-0.2839367945823927,False,False,,,,qmmf,44
