group_id,qmmf,hemis,no_quality,unet25d
sg_01ac2338604cf8bc,0.18022891908654484,0.10869652477813803,0.16198674807403046,0.0136685410644159
sg_09e69c148337e6f2,0.48634078047709095,0.36473862626196746,0.5449900828214457,0.3693282466873555
sg_155b562e5b5b19e2,0.20358643096134932,0.010530882511943488,0.1810188152689436,0.15839674683509344
sg_208587454a785b38,0.5126510297665373,0.336773412453786,0.4791335734214864,0.46637911928068737
sg_2765272d3a548d1a,0.46907372655074303,0.44157174905913105,0.5297522387454298,0.49343231601449716
sg_307d026dc8f7f6a2,0.5120446126934249,0.476389990539694,0.5246567042429315,0.4828364317552906
sg_310e9599bf94bf9b,0.4460516209539152,0.19534825598852923,0.4239402107727999,0.3446522362006614
sg_33055ac40922cca6,0.4655753066226147,0.18958655339472374,0.4355003980608981,0.4172584720678967
sg_332e12d666debe62,0.5349436257993875,0.27394818108301044,0.4739439780604848,0.5261142129018661
sg_3e3be46d07dde9ba,0.1949228759563322,0.11248893001484546,0.26210621506894244,0.1413580650230566
sg_3ffd0110fd8c70a1,0.5051498457870537,0.09788840191964443,0.47343188518233453,0.41502811513093657
sg_4151cfd07ac3e1b0,0.3320281592222029,0.31231462397623216,0.33132593110930025,0.3223378057377498
sg_4267e6ff34e2e7aa,0.41602453980923526,0.18597490023138388,0.413813671105593,0.18203296914231534
sg_444c950e61a18f08,0.045941062692223776,0.0,0.042755841554048796,0.009396661002778002
sg_455084cc52da07da,0.22834296765067333,0.027032949976172466,0.3065779497385233,0.07062678438741239
sg_47ad4a78768d946f,0.525349875033775,0.24363992240950752,0.5354802785492414,0.44237425465339714
sg_4c38c49cc72ad103,0.24025006707137098,0.035259678916166166,0.2081351259483768,0.15721031905808394
sg_4f51bee88ad1bdc1,0.3867640556030745,0.17309409764342318,0.3656150958420827,0.33821274503887916
sg_56143f5cb2b81628,0.4117847710863935,0.4191135220815916,0.4075333296977721,0.4031680737170162
sg_573aa66b02bed579,0.41225700846871777,0.4788930085356549,0.4364937367972533,0.3527925612644207
sg_5a1ac60f33875cd1,0.5600668678415176,0.36616219039349746,0.5641386014203498,0.5421724706526215
sg_5c0779fb48082fce,0.048110442676975305,0.002059249581049223,0.03619547835511408,0.03059938826282994
sg_60f2b2abbb8756cc,0.5595557835948377,0.41518632481924134,0.5389798296678927,0.47158635760246037
sg_6980cc12eb6c16ca,0.23951602471645186,0.2592596159585514,0.2460956489267342,0.24105338353538128
sg_6c3b7da86323c267,0.40970243724040917,0.35751898092352663,0.48611374706675986,0.4522794129349434
sg_746c61eaf9fad2e3,0.30999393709937384,0.15620015921402566,0.3223237762873659,0.23854069438896267
sg_76c55b2034ec06a9,0.42742170657525014,0.18961572611329713,0.49671513151377694,0.2964591958990433
sg_7f5e5ea0a85929e0,0.5374871791163542,0.42490928559922164,0.5243247644190397,0.4643719552558461
sg_8564c7b4b8bd716c,0.36722019903616565,0.2843758079880149,0.36985008676206865,0.3449237245429822
sg_8937151c38cb28ed,0.5156784873349305,0.43591059666569115,0.5239341120719428,0.4132660202374813
sg_91c0f97012b3ce95,0.29551322287044335,0.2404843713281164,0.31523768911502964,0.25329989726824775
sg_95a201f987a173c4,0.4226159186373462,0.31250035875784776,0.38472016553894584,0.3335873664583316
sg_9d9491b35b219f3e,0.4575824216030046,0.36641763687422385,0.46457234136226505,0.36651687957094786
sg_9e8efd497a898fe7,0.6495001264975465,0.39247525390770566,0.6043119299371362,0.5948452379680806
sg_a17c8025f2884526,0.39984956380443726,0.2157760661265216,0.4127049608950943,0.2898838057857919
sg_a79c24b2ab681a89,0.3345204912977119,0.08538248979803739,0.36798402923691864,0.19561811295804182
sg_ac2ad219782acb6d,0.3577629644920428,0.17547907554625264,0.4706349427873943,0.3241249166240656
sg_b22b67d112cc5d1a,0.2790651445640499,0.31467181633174407,0.3283134120211815,0.29877949372070745
sg_b631751e1743212d,0.33005235812570693,0.21133462586087848,0.2642881456644461,0.17549344494726682
sg_b8270589d730933f,0.45032146879716756,0.14416722494274095,0.4349128013258414,0.4029348331481684
sg_ba3a8080940b073a,0.5776047648391388,0.23581256955468888,0.5353292854494276,0.34505080015087636
sg_ba92e4f1c3218b3e,0.2380555310352738,0.3441346340036037,0.3011419765854109,0.23772302871181772
sg_c12d4b1240c5accb,0.20288736464829296,0.08945981380294582,0.20637658094347963,0.17299613929317736
sg_d72cc5be6db7b3ed,0.31614973083324743,0.2894723585756624,0.31271768408341155,0.2743163969672154
sg_d7b9b04ec447b240,0.2455928555827681,0.23925563431040056,0.2544325269376042,0.2530320080863277
sg_d94777b27d97ed81,0.11475487720490468,0.19798518813933771,0.1098774303077143,0.07181435680084795
sg_eba0e4eedce19b2a,0.033252703102235416,0.17706199773814488,0.03974987079205466,0.008420710615916769
sg_edd8bce225d29352,0.44638574026827554,0.37325796688578755,0.44033440012084624,0.3904917997738024
sg_f05f74ccf0cb9cd0,0.5070728249490758,0.5631044153408348,0.5066261709100748,0.38883271573136463
sg_f0dec3098c35e293,0.16228954770477808,0.13616224383663184,0.2025860162168367,0.05009595953477843
sg_f68c66cac443ae9a,0.42506352689199184,0.3605970516582862,0.4284666556187331,0.4072593693241948
