model,seed,case_id,group_id,subset,macro_dice
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t1+t1ce,0.6712706428265349
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t1+t1ce+flair,0.7332418696195449
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t1+t1ce+t2,0.7320215115104896
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t1+t1ce+t2+flair,0.7407785689876838
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t1+t2,0.6321449962346648
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t1+t2+flair,0.6333625118159618
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t1ce,0.6153391732324309
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t1ce+flair,0.7351711832325242
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t1ce+t2,0.7368152866923879
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t1ce+t2+flair,0.736168060151539
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t2,0.6072659099506409
qmmf,43,BRATS_143,sg_2765272d3a548d1a,t2+flair,0.6236081017736241
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,flair,0.5599079763565746
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1,0.5120446126934249
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1+flair,0.5811190733599086
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1+t1ce,0.6426883327753029
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1+t1ce+flair,0.7164335067654045
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1+t1ce+t2,0.7312776997252032
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1+t1ce+t2+flair,0.7295497736739676
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1+t2,0.5837384553271056
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1+t2+flair,0.5939502055455222
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1ce,0.6211679938193367
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1ce+flair,0.7132891152893154
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1ce+t2,0.7199804417199983
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t1ce+t2+flair,0.7242608252231827
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t2,0.5649407950154262
qmmf,43,BRATS_076,sg_307d026dc8f7f6a2,t2+flair,0.586408659012428
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,flair,0.6457911210895684
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1,0.4460516209539152
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1+flair,0.6969706835996473
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1+t1ce,0.7404301421599202
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1+t1ce+flair,0.8676038310960764
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1+t1ce+t2,0.8294487333249806
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1+t1ce+t2+flair,0.8634902438212055
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1+t2,0.6441202889996401
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1+t2+flair,0.6818883486324149
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1ce,0.6514196925221842
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1ce+flair,0.8654947532827991
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1ce+t2,0.8074410211250266
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t1ce+t2+flair,0.8608154329464215
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t2,0.6017963048837635
qmmf,43,BRATS_325,sg_310e9599bf94bf9b,t2+flair,0.6676553404862338
qmmf,43,BRATS_393,sg_33055ac40922cca6,flair,0.6667794291106491
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1,0.4655753066226147
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1+flair,0.693344232751064
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1+t1ce,0.7995203343257465
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1+t1ce+flair,0.8937645952191923
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1+t1ce+t2,0.8682275079015386
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1+t1ce+t2+flair,0.8976523215164448
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1+t2,0.6423601990074245
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1+t2+flair,0.7266582137515964
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1ce,0.7739714144312582
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1ce+flair,0.8943940415011943
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1ce+t2,0.8672889326385252
qmmf,43,BRATS_393,sg_33055ac40922cca6,t1ce+t2+flair,0.8957895605494862
qmmf,43,BRATS_393,sg_33055ac40922cca6,t2,0.6218068850824083
qmmf,43,BRATS_393,sg_33055ac40922cca6,t2+flair,0.720491363736563
qmmf,43,BRATS_234,sg_332e12d666debe62,flair,0.7050303851892199
qmmf,43,BRATS_234,sg_332e12d666debe62,t1,0.5349436257993875
qmmf,43,BRATS_234,sg_332e12d666debe62,t1+flair,0.7146758068428735
