group_id,qmmf,hemis,no_quality,unet25d
sg_01ac2338604cf8bc,0.6279012599936203,0.5385515004626484,0.6390905080297039,0.5595244867760719
sg_09e69c148337e6f2,0.6919127354042056,0.6226229332578317,0.7004352928046631,0.6716892566558722
sg_155b562e5b5b19e2,0.46412363639026516,0.2715428197872733,0.48728077753711696,0.3936562044503544
sg_208587454a785b38,0.5803187775877081,0.49293607550358803,0.5940327071401742,0.5730752155270428
sg_2765272d3a548d1a,0.6698816498184893,0.6032365633989495,0.6737098053620016,0.647655725603156
sg_307d026dc8f7f6a2,0.6159497469825347,0.5627630715093123,0.6048305379412589,0.581388441834967
sg_310e9599bf94bf9b,0.7469338554491286,0.5977683092847961,0.7455672742534384,0.6947605069814907
sg_33055ac40922cca6,0.7912002782719483,0.6796147422993088,0.7844919721445185,0.7590999667332101
sg_332e12d666debe62,0.8145589429385823,0.6866112085595498,0.809898502241477,0.7947331040577158
sg_3e3be46d07dde9ba,0.5535158209034223,0.3824689674854977,0.6023021252943708,0.5295650646909604
sg_3ffd0110fd8c70a1,0.7456915855046791,0.5520179690464246,0.7348843224222837,0.733274372996093
sg_4151cfd07ac3e1b0,0.6584107410328763,0.5972350252606591,0.6652150497410009,0.6313304840377392
sg_4267e6ff34e2e7aa,0.7622218827110705,0.6440024277480721,0.7607637925843141,0.6966977878655664
sg_444c950e61a18f08,0.45291707840838946,0.3212118654995574,0.4656612336187481,0.3346106819755305
sg_455084cc52da07da,0.662242958463097,0.46540164873082607,0.6594679715376126,0.598426095183703
sg_47ad4a78768d946f,0.758563200279783,0.6450984802388415,0.7851512192423982,0.7375358691350022
sg_4c38c49cc72ad103,0.7058121915133324,0.5938762687372294,0.7209225197254896,0.6922575121334819
sg_4f51bee88ad1bdc1,0.7303490228275222,0.6430145876985406,0.747509239686796,0.7263119458659543
sg_56143f5cb2b81628,0.48901131358125055,0.46368154496167935,0.4784386604404406,0.4772834253363485
sg_573aa66b02bed579,0.723982062184557,0.6775055970619184,0.7219714957107903,0.6886116602300666
sg_5a1ac60f33875cd1,0.7555363011755827,0.6815988166460589,0.7716683113503428,0.74422098381198
sg_5c0779fb48082fce,0.5005372584169795,0.321661049881074,0.5050202410497933,0.48641017800855824
sg_60f2b2abbb8756cc,0.6817698294837424,0.651070197285318,0.7050017625346701,0.6839821430543521
sg_6980cc12eb6c16ca,0.43383046959501415,0.3964772154491523,0.45585645380789663,0.4295467428615008
sg_6c3b7da86323c267,0.6857496550416676,0.5631904278402164,0.6873551273875638,0.6448735331010962
sg_746c61eaf9fad2e3,0.42423276192062886,0.3786749634125402,0.42033786283661406,0.4096542843175296
sg_76c55b2034ec06a9,0.7549835245214215,0.663865486580899,0.7530976518878433,0.7100293466519882
sg_7f5e5ea0a85929e0,0.7409546751710089,0.6938593193027767,0.7536611406751594,0.7404529031305547
sg_8564c7b4b8bd716c,0.6905401175870913,0.5827684349772831,0.6913755671167221,0.645663920928967
sg_8937151c38cb28ed,0.6771199157569571,0.6519168075516469,0.6963398775483143,0.674035844505474
sg_91c0f97012b3ce95,0.4523793441617023,0.39309199210602996,0.4444209516043066,0.4335819071027893
sg_95a201f987a173c4,0.6900011973550373,0.5513089265663449,0.6886671326959758,0.631777135025116
sg_9d9491b35b219f3e,0.5620074421954655,0.5484065197289608,0.5663233171595177,0.5376549300638425
sg_9e8efd497a898fe7,0.7769924295307418,0.7203894334426881,0.7973565245013319,0.7754693184062428
sg_a17c8025f2884526,0.53770708963843,0.4392889468506282,0.5346518819131468,0.5231670534350698
sg_a79c24b2ab681a89,0.5400338607140681,0.4169694019795403,0.5370897719409083,0.4670121765432716
sg_ac2ad219782acb6d,0.65849034887897,0.5422633974237991,0.6642944426196661,0.6218227854918523
sg_b22b67d112cc5d1a,0.5513010778390264,0.4825436569069513,0.5376494811879085,0.5397737926120915
sg_b631751e1743212d,0.630426472215696,0.5241102546640778,0.6370078566963869,0.5280878859970273
sg_b8270589d730933f,0.7813455161642988,0.725815645147186,0.7847288444516811,0.7741525286554733
sg_ba3a8080940b073a,0.7810581316858808,0.6888431967551164,0.7847035941144745,0.7556756738607072
sg_ba92e4f1c3218b3e,0.4955123780842105,0.46529363286627345,0.5073502551717033,0.4998399681398045
sg_c12d4b1240c5accb,0.3542564388608916,0.2882401206345354,0.32626257989138374,0.30217975838416833
sg_d72cc5be6db7b3ed,0.6640968868002444,0.5438996167065907,0.6774930838400703,0.6078947574857018
sg_d7b9b04ec447b240,0.6056594995037249,0.5064503110368075,0.6234592687049109,0.5535804821130401
sg_d94777b27d97ed81,0.5058065992104798,0.4095748199164203,0.5288030139881907,0.39603250557093356
sg_eba0e4eedce19b2a,0.5789959702115391,0.4706653410000245,0.5807859920090286,0.5522548442916445
sg_edd8bce225d29352,0.7595687741266249,0.643134351099209,0.7582165281866149,0.7141741241249953
sg_f05f74ccf0cb9cd0,0.7673352395935266,0.7228234780698387,0.7789273095685407,0.738085116879626
sg_f0dec3098c35e293,0.5186889978930459,0.44384777815991183,0.5248205622937469,0.47098955408769866
sg_f68c66cac443ae9a,0.7894710720205449,0.6853340247830708,0.7977358166723703,0.7570942131031468
