model,region,dice_nonempty_reference,group_dice_nonempty_reference,n_groups_with_nonempty_reference,n_nonempty_reference,n_empty_reference,n_empty_predictions,n_empty_reference_false_positives
qmmf,et,0.0014958699569441822,0.0011874272973796231,53,89,2,18,1
qmmf,tc,0.32705428425810773,0.31905892948436687,55,91,0,0,0
qmmf,wt,0.45468883103413404,0.43302883285043964,55,91,0,0,0
hemis,et,0.10036137252631902,0.08577846085230503,53,89,2,0,2
hemis,tc,0.08901134978987393,0.07369052544809405,55,91,0,0,0
hemis,wt,0.6008815116366467,0.57954729274117,55,91,0,0,0
no_quality,et,0.035246174858708304,0.03903961522437441,53,89,2,0,2
no_quality,tc,0.4141779062924935,0.3996620984662249,55,91,0,0,0
no_quality,wt,0.32683550745522033,0.3082413699903758,55,91,0,0,0
