model,case_id,subset,group_id,n_modalities,macro_dice
qmmf,BRATS_367,t1+t1ce,sg_a46b5f5bbd1aae60,2,0.049031758434699424
qmmf,BRATS_367,t1+t1ce+flair,sg_a46b5f5bbd1aae60,3,0.20960815615004416
qmmf,BRATS_367,t1+t1ce+t2,sg_a46b5f5bbd1aae60,3,0.1376556415200211
qmmf,BRATS_367,t1+t1ce+t2+flair,sg_a46b5f5bbd1aae60,4,0.23124882626702692
qmmf,BRATS_367,t1+t2,sg_a46b5f5bbd1aae60,2,0.10708957727462616
qmmf,BRATS_367,t1+t2+flair,sg_a46b5f5bbd1aae60,3,0.2256224282082642
qmmf,BRATS_367,t1ce,sg_a46b5f5bbd1aae60,1,0.08831517582746745
qmmf,BRATS_367,t1ce+flair,sg_a46b5f5bbd1aae60,2,0.23728677037762455
qmmf,BRATS_367,t1ce+t2,sg_a46b5f5bbd1aae60,2,0.14462712105253686
qmmf,BRATS_367,t1ce+t2+flair,sg_a46b5f5bbd1aae60,3,0.22433618870004535
qmmf,BRATS_367,t2,sg_a46b5f5bbd1aae60,1,0.08352556789479347
qmmf,BRATS_367,t2+flair,sg_a46b5f5bbd1aae60,2,0.1892431902928917
qmmf,BRATS_369,flair,sg_46b6c66765483f24,1,0.46478523346623174
qmmf,BRATS_369,t1,sg_46b6c66765483f24,1,0.025508449366075218
qmmf,BRATS_369,t1+flair,sg_46b6c66765483f24,2,0.37668841710761064
qmmf,BRATS_369,t1+t1ce,sg_46b6c66765483f24,2,0.045020296868989194
qmmf,BRATS_369,t1+t1ce+flair,sg_46b6c66765483f24,3,0.35437770515831574
qmmf,BRATS_369,t1+t1ce+t2,sg_46b6c66765483f24,3,0.2972902149355438
qmmf,BRATS_369,t1+t1ce+t2+flair,sg_46b6c66765483f24,4,0.3878147586257645
qmmf,BRATS_369,t1+t2,sg_46b6c66765483f24,2,0.30532819416555723
qmmf,BRATS_369,t1+t2+flair,sg_46b6c66765483f24,3,0.39948330538719473
qmmf,BRATS_369,t1ce,sg_46b6c66765483f24,1,0.0833799367563569
qmmf,BRATS_369,t1ce+flair,sg_46b6c66765483f24,2,0.440510638485272
qmmf,BRATS_369,t1ce+t2,sg_46b6c66765483f24,2,0.36913949598657964
qmmf,BRATS_369,t1ce+t2+flair,sg_46b6c66765483f24,3,0.44173260294835637
qmmf,BRATS_369,t2,sg_46b6c66765483f24,1,0.34948997027964146
qmmf,BRATS_369,t2+flair,sg_46b6c66765483f24,2,0.439941574396999
qmmf,BRATS_413,flair,sg_3b44f65ab67602cc,1,0.05700630554367001
qmmf,BRATS_413,t1,sg_3b44f65ab67602cc,1,0.001418447984735168
qmmf,BRATS_413,t1+flair,sg_3b44f65ab67602cc,2,0.03255436315903957
qmmf,BRATS_413,t1+t1ce,sg_3b44f65ab67602cc,2,0.01441479141659985
qmmf,BRATS_413,t1+t1ce+flair,sg_3b44f65ab67602cc,3,0.036358877442556344
qmmf,BRATS_413,t1+t1ce+t2,sg_3b44f65ab67602cc,3,0.017889298368271835
