model,parameters,n_training_seeds,epochs_min,epochs_median,epochs_max,fit_and_validation_seconds_median,outer_evaluation_seconds_median,subset_evaluation_seconds_median,peak_allocated_gpu_gib_max,recorded_fit_validation_evaluation_seconds_sum
qmmf,1221465,1,8,8.0,8,394.85797705299996,254.0542116489999,336.59177083599997,1.3471002578735352,985.50396069
hemis,881395,1,8,8.0,8,385.05903627400005,211.272347007,277.72554239399994,0.7460660934448242,874.056926213
no_quality,1220569,1,8,8.0,8,359.11668572300005,244.55147351100004,323.728782204,1.3470778465270996,927.3969420420001
