group_id,qmmf,hemis,no_quality
sg_05284efb46abb582,0.3070188492587289,0.2827274356830292,0.23754591246494539
sg_06d8065186ce4ce6,0.3419325458718496,0.23695488568734202,0.213536114692886
sg_0986963e6efafce3,0.274293938941715,0.18475658933382655,0.21707502926567146
sg_0c0db9c0f083da26,0.45567340547668234,0.329084739382539,0.42129384178808554
sg_0d0ba3fb62c66b4e,0.19194409118389286,0.19136516088865785,0.16230680296460312
sg_108b660b16f7eec7,0.08616746560347908,0.048239722575352785,0.3080910297907379
sg_10a96640d281618d,0.2547801328864685,0.41663370594664006,0.33784966738696043
sg_11cc2b353d365340,0.22370946793412602,0.2195102357961406,0.2121424898885984
sg_12a8304c53928db9,0.2711065798725461,0.25600864435445086,0.17336595688640594
sg_1669c905c2882ce2,0.14862472659260798,0.0674131217087559,0.07313908904124787
sg_16ab3a8404d78681,0.3599003748553399,0.27587015676671717,0.21970960210836593
sg_189c183ed5f23717,0.10553078019057793,0.10904735782100859,0.17660252610983748
sg_1aebfcdb85ddeaf3,0.19040358100470722,0.457750904348344,0.19288639676861663
sg_1dd2f970abd2e8ef,0.301452895361564,0.3207355924507426,0.23801410916842158
sg_20a57b6fd840c3eb,0.2877117856259235,0.32543656309254204,0.27878648384464755
sg_25e919048f6b0ef1,0.2034797281246202,0.23550617189697257,0.34054263172476057
sg_294e1273de6f57c3,0.4951738355074847,0.3772366291901307,0.46240689870676877
sg_2f3955204a0ca3e9,0.1504671512652813,0.12834721798595744,0.2230754631091165
sg_341113092c77300c,0.06977588884709207,0.024615201937048536,0.04960629425262947
sg_3aff73a604680c9f,0.17537663745572207,0.22816817736346515,0.1569033960883267
sg_3b44f65ab67602cc,0.03735435160761763,0.06593979749699908,0.0420719833461889
sg_3deae33bd61113ad,0.1425547533737547,0.0803957438350499,0.14089198425750857
sg_4271128070862d7b,0.4324184165246664,0.4846722947679087,0.4129756812839459
sg_4634c4d061d30852,0.39308940416293453,0.317337474691359,0.39978614829751585
sg_46b6c66765483f24,0.38781475862576453,0.30083013850655627,0.34091393139520315
sg_482440ccbb01f4b6,0.2966284883758781,0.28366580126905183,0.2975072137414094
sg_56808505899f20c6,0.20236598488541988,0.2841221701699802,0.2110152595540979
sg_59b0ddbe83debbeb,0.4570438398858956,0.3783842693436614,0.4264244701436144
sg_602726c0ba192496,0.06174935914612753,0.12882519533069156,0.2256764668799088
sg_68bdb7a39259fbb9,0.26009084215693684,0.22244313773970203,0.2187335589440373
sg_6e037dcf2717c090,0.11734645508116653,0.13029545746930385,0.0779585971629898
sg_7388a0c070338c97,0.00402903901806205,0.0113649446555155,0.0026423492578412
sg_74969a1c98337c11,0.21426234597548524,0.15168947981789266,0.22006195017618804
sg_7f58a5b7e76f4fe0,0.18992533564833686,0.21975528390986482,0.28297446287042755
sg_85c10b3b6ba1a11a,0.3170740068257954,0.4043697556010333,0.3137656066031282
sg_8a56096263e207fc,0.23903346350905352,0.17302115519761915,0.2838196075478742
sg_8b399fcd141dcfdf,0.14001810399120437,0.12488395958808202,0.11690701230063125
sg_8fafb32a9081c1ab,0.3642572236428751,0.31678999397204355,0.3288493251017212
sg_9568e8757c7f7a03,0.2469270413802961,0.2691327200964507,0.28795764958602327
sg_994f503ff2896f58,0.14134988453825786,0.25152568244272094,0.15129806899274653
sg_a46b5f5bbd1aae60,0.2312488262670269,0.3219897019235081,0.3196241871900127
sg_a4981b8b123d95c4,0.07895311564678134,0.15024161113639523,0.11230282665353367
sg_a707a1d218f0d2b5,0.28422273071985044,0.27386197257858297,0.3005446362550098
sg_a85271745ce8f675,0.44218195402653443,0.4403187862210409,0.39161065227339986
sg_b20e85806c40821b,0.4749334059976835,0.44304403401752757,0.41982677950427905
sg_baba356c1735c37c,0.24431181405688765,0.25947135093616613,0.2354145034549568
sg_bb9168abf0fd30fa,0.4237287847454194,0.3266291869351196,0.3921560297090501
sg_c581881a08851b71,0.33574992665773534,0.3025880211509584,0.35977227011272245
sg_cb857fb98a0abf51,0.35716159789862023,0.3366298225697826,0.32037356602590233
sg_cf33245fcb420c9d,0.39373776252289794,0.35127643302349976,0.35872654670508464
sg_dbb5dd7d7605593e,0.21742899624253284,0.23174476930334756,0.28241903675766683
sg_f2ae1107a9ed4b17,0.3661830678170603,0.40244519383184235,0.36308713373954427
sg_f34fbe3fa2cc0d13,0.0,0.0,9.75767582433e-05
sg_f93b0ed09e4e1fd3,0.2589549368628669,0.18123991135490314,0.127261406778007
sg_f97d65d782868e9a,0.21209837547510682,0.20168339764723095,0.2828411793785658
