model,case_id,t1,t1ce,t2,flair,efficiency_gap,full_value
qmmf,BRATS_021,-0.004257773786990075,0.022580101026948744,0.2019242709349344,0.01878686533416051,2.7755575615628914e-17,0.23903346350905355
qmmf,BRATS_111,-0.01691696073458312,0.007076919479093629,0.08758065187287042,0.13487225315363768,2.7755575615628914e-17,0.2126128637710186
qmmf,BRATS_172,-0.010675495820291543,0.12150664275660175,0.10510403989473589,0.14012079898599264,0.0,0.35605598581703873
qmmf,BRATS_338,-0.0027099259683783634,0.008293741148309004,0.004501273404936414,0.051664270561260536,0.0,0.06174935914612759
qmmf,BRATS_367,0.003833581775405908,0.04305335852975269,0.04846395303080036,0.13589793293106797,0.0,0.23124882626702692
qmmf,BRATS_369,-0.03785724171811829,0.01678860713214345,0.1638169572509138,0.24506643596082553,0.0,0.3878147586257645
qmmf,BRATS_413,-0.01095639427912425,0.009381096649287837,0.004868126863297087,0.03211192149351373,6.938893903907228e-18,0.0354047507269744
qmmf,BRATS_441,-0.016604239943463186,0.018420016647330388,0.06883438441759208,0.17195263484944834,2.7755575615628914e-17,0.2426027959709076
hemis,BRATS_021,-0.06419235991042438,0.040907515545379414,0.16454822563787727,0.031757773924786833,-5.551115123125783e-17,0.17302115519761918
hemis,BRATS_111,-0.0642762676851519,0.0056622699389926884,0.06892990872446689,0.1405643631175828,0.0,0.15088027409589047
hemis,BRATS_172,-0.058744805730703634,0.09938567903496962,0.14787478908083238,0.1480880478433778,0.0,0.3366037102284762
hemis,BRATS_338,-0.025602991755759225,0.03901494112795939,0.01616957875755693,0.09924366720093446,0.0,0.12882519533069156
hemis,BRATS_367,-0.004906335339912777,0.06989160226782203,0.10975568354863154,0.1472487514469674,0.0,0.3219897019235082
hemis,BRATS_369,-0.040634612238327886,0.01427706812382823,0.13317375290494687,0.19401392971610906,0.0,0.30083013850655627
hemis,BRATS_413,-0.027929158253931285,0.00012716991341952047,0.027443832960016002,0.06554447349161739,0.0,0.06518631811112163
hemis,BRATS_441,-0.03950703721012193,0.017362983913419703,0.08643746240647583,0.19035853136461633,0.0,0.25465194047438994
no_quality,BRATS_021,0.0036709322326906896,0.020706352555631257,0.23029453140738393,0.02914779135216838,0.0,0.2838196075478743
no_quality,BRATS_111,-0.017245354950148825,0.000436026660434196,0.10825775544703647,0.12671180129622092,0.0,0.21816022845354277
no_quality,BRATS_172,-0.008694230848018373,0.1525229796005529,0.08871431232125272,0.08868488806995319,0.0,0.3212279491437404
no_quality,BRATS_338,0.014458061966890277,0.03431503882895948,0.02632043621297584,0.15058292987108324,0.0,0.22567646687990883
no_quality,BRATS_367,0.01715162479758055,0.05029403740908803,0.0968516908539906,0.15532683412935355,0.0,0.31962418719001273
no_quality,BRATS_369,-0.010303744043855798,0.01936753877516788,0.15177509798067257,0.1800750386832185,0.0,0.34091393139520315
no_quality,BRATS_413,-0.008704216610463023,0.018294355312855896,0.015658737864903845,0.015490901664052746,-6.938893903907228e-18,0.04073977823134947
no_quality,BRATS_441,-0.010168726146000558,0.052781307086150406,0.07813028829268966,0.10905328962543917,0.0,0.22979615885827867
