model,metric,mean,ci_low,ci_high,n_groups,resampling_unit
qmmf,outer_macro_dice,0.2520136773664171,0.21899954507108627,0.2841677042607668,55,group
hemis,outer_macro_dice,0.2461457611407465,0.2139568789254239,0.27700798319000575,55,group
no_quality,outer_macro_dice,0.24987580717801117,0.22015078105948802,0.2793683270026293,55,group
qmmf,mean_subset_macro_dice,0.16599596953296242,0.10002921010881471,0.23254441792090846,8,group
hemis,mean_subset_macro_dice,0.1695744480762671,0.11930541197028387,0.2170098240309334,8,group
no_quality,mean_subset_macro_dice,0.17663754501243148,0.12287359455845084,0.22571192545669103,8,group
qmmf,worst_subset_macro_dice,0.009154227422186276,0.004390541692906135,0.01472213276580157,8,group
hemis,worst_subset_macro_dice,0.009221810528751163,0.004208883587103821,0.01459204820486754,8,group
no_quality,worst_subset_macro_dice,0.00950054015723006,0.004624695153240601,0.015948906622223903,8,group
