epoch,dice,bce,seg,boundary,nested,deep_supervision,total,epoch_seconds,lr,consistency,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score,model
0,0.9718627706170082,0.5743120923638344,0.812842532992363,0.7082433864474297,0.0395407181233167,0.543546749651432,1.4291906595230102,44.52797021000004,0.0002954100398908,,,,,,,,,qmmf
1,0.9633118346333504,0.4017365761101246,0.7386817708611488,0.6895567044615746,0.0259420257061719,0.47351880595088,1.2824533432722092,41.165717143,0.0002683710764094,,,,,,,,,qmmf
2,0.9576297208666802,0.3695476420223713,0.7223969146609306,0.6967392697930336,0.0249402592889964,0.4540861904621124,1.2667668342590332,38.85477949899996,0.0002213921089555,0.0968139969743788,,,,,,,,qmmf
3,0.9581279814243316,0.3502246275544166,0.7149666637182236,0.7019817769527436,0.0272025338839739,0.4453443981707096,1.239556086063385,38.89426102599998,0.0001623869018208,0.0384335905313491,0.1269818765768515,0.1102745398322116,0.0733944088814618,0.1269818765768515,0.1304473340383216,0.0733944088814618,0.1166109287839205,qmmf
4,0.9664871007204056,0.3371519535779953,0.7147530749440193,0.7097675934433937,0.0271971533540636,0.4510074026882648,1.2439061254262924,37.8646303349999,0.0001012950796192,0.0290450960281305,,,,,,,,qmmf
5,0.9555245593190194,0.3306491024792194,0.7055744081735611,0.7135343849658966,0.0266340750269591,0.4410961627960205,1.2242067873477935,38.93434326600004,4.840776425613886e-05,0.0242553632007911,,,,,,,,qmmf
6,0.9614112004637718,0.3271728172898293,0.7077158778905869,0.71869475543499,0.025602755555883,0.4467075645923614,1.2314595341682435,38.06504545600001,1.2634001001741372e-05,0.0194324136245995,,,,,,,,qmmf
7,0.9515839219093324,0.3208303712308407,0.6992825359106064,0.6952187642455101,0.0253491073846817,0.4286701254546642,1.202315127849579,39.30671368399999,0.0,0.0178656830685213,0.1367101250417159,0.1202123511512444,0.0875091351275747,0.1367101250417159,0.1364177932844426,0.0875091351275747,0.1268406938831603,qmmf
0,0.9712686523795128,0.5983958959579467,0.822119589149952,0.7017462745308876,0.1184445464983582,,0.8982164457440376,44.491496788000006,0.0002954100398908,,,,,,,,,hemis
1,0.9667622074484824,0.4491314508020878,0.7597099408507347,0.6818595856428147,0.1345512697473168,,0.8346234649419785,41.17232442200003,0.0002683710764094,,,,,,,,,hemis
2,0.962769603729248,0.4237272650003433,0.7471526995301246,0.6931464552879334,0.1286236897110939,,0.8440722763538361,38.88014895499998,0.0002213921089555,0.1058687658980488,,,,,,,,hemis
