best_epoch,completed,config_hash,fit_and_validation_seconds,fold,inner_selection_score,locked_test_opened,name,outer_case_macro_dice,outer_evaluation_seconds,outer_macro_dice,outer_n_cases,outer_n_groups,parameters,peak_gpu_gb,phase,robustness_macro_dice,robustness_n_cases,scope,seed,subset_evaluation_seconds,wall_seconds,epochs_run,validation_checks,selected_epoch_one_based,termination_reason,best_at_last_validation,last_selection_score,last_minus_best_selection_score,last_three_validation_gain,trailing_nonimproving_validation_checks,scheduled_optimizer_step_opportunities,central_training_windows_seen,convergence_interpretation,first_epoch_loss,last_epoch_loss,all_predictions_empty,train_epoch_seconds
109,True,f2728147d4ddf8a5,4195.39497856,0,0.6759522166052844,False,qmmf,0.815811526147422,252.54665603800004,0.8063663311861036,91,55,1221465,1.3471002578735352,study,0.6560086480893982,16,development_fold0,44,682.8892946960004,5130.830929975,120,12,110,epoch_budget_reached,False,0.6754034105307453,-0.0005488060745391099,0.0029519401237414478,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5173260474205017,0.8190747621655464,False,2903.782241951996
99,True,3c2a7f0654e96984,3942.943315304,0,0.5862149797582362,False,hemis,0.7072179694416806,228.39138833000015,0.7032851745252239,91,55,881395,0.7460660934448242,study,0.5371746444800676,16,development_fold0,44,539.469430393,4710.804134804,120,12,100,epoch_budget_reached,False,0.5787358049845662,-0.007479174773669994,-0.007479174773669994,2,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,0.902376212477684,0.5487450110912323,False,2840.674145759997
109,True,15282c65472966c2,3758.3145062959993,0,0.6467104771857355,False,unet25d,0.7981772067456255,201.07471307300148,0.7864360129949144,91,55,884299,0.42070960998535156,study,0.6120127537679796,16,development_fold0,44,544.4288249759993,4503.818045100999,120,12,110,epoch_budget_reached,False,0.6466786230721695,-3.1854113565987774e-05,0.004184752532900293,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,0.8655570876598359,0.520109256207943,False,2759.2344054279947
119,True,436876433472efe2,4149.209422549,0,0.6778992150686571,False,no_quality,0.8193060577272862,262.5358934069991,0.8070471999415566,91,55,1220569,1.3470778465270996,study,0.6600807235895361,16,development_fold0,44,698.0176291600001,5109.762945884999,120,12,120,epoch_budget_reached,True,0.6778992150686571,0.0,0.005718659190117048,0,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5269942998886108,0.8178335791826248,False,2872.5860104150015
109,True,ac0b211fb244407d,4130.8999067839995,0,0.6706380954006859,False,no_variance,0.8167169830332525,253.06613724700037,0.8075280999656617,91,55,1183769,1.0879497528076172,study,0.6566767598307393,16,development_fold0,44,665.2131010190005,5049.179145795,120,12,110,epoch_budget_reached,False,0.6690757357162225,-0.001562359684463388,0.00031408763846019205,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5312493550777435,0.8212366035580635,False,2909.972423112995
109,True,fc0447f232bb10e0,4190.225808101,0,0.686976861134454,False,no_max,0.8175497358659038,250.985467212,0.8103025621384645,91,55,1183769,1.2834415435791016,study,0.661652915264313,16,development_fold0,44,667.5838776069995,5108.795153669,120,12,110,epoch_budget_reached,False,0.683951337970683,-0.0030255231637710267,0.0031551428335793164,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5306880033016206,0.8200561770796776,False,2959.639350100999
109,True,04ac5758d6c6658e,4215.478340646001,0,0.6760914380226698,False,no_consistency,0.8155973464057281,272.4456466449992,0.8064312967141106,91,55,1221465,1.3316020965576172,study,0.6499811361015002,16,development_fold0,44,708.4516311449988,5196.375619376002,120,12,110,epoch_budget_reached,False,0.6760500904664538,-4.134755621598707e-05,0.002332221010181268,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5173255252838134,0.8203078785538673,False,2898.654929976985
69,True,c6f7dd08d4cb0c59,4235.9925644959985,0,0.6860728010910425,False,shuffled_quality,0.8158706664426196,263.9865852469993,0.8041618150560147,91,55,1221465,1.3471002578735352,study,0.6430744022454813,16,development_fold0,44,702.6083456040033,5202.587496231998,120,12,70,epoch_budget_reached,False,0.6769876582243284,-0.009085142866714135,0.0007495676775586269,5,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.51731920003891,0.8194829198718071,False,2940.3303608869974
119,True,0dd9269877ba4835,3624.324873841,0,0.6723045345982138,False,matched_moment_fusion,0.8155034111432542,224.49747060400114,0.8062468395046009,91,55,1227977,1.18800687789917,study,0.6522002266315228,16,development_fold0,44,592.5534839579996,4441.375828955999,120,12,120,epoch_budget_reached,True,0.6723045345982138,0.0,0.00106686722781002,0,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5612922966480256,0.8183134227991105,False,2494.194763636013
