group_id,qmmf,hemis,unet25d,no_quality,no_variance,no_max,no_consistency,shuffled_quality,matched_moment_fusion
sg_1669c905c2882ce2,0.2796725517644277,0.1378150613306328,0.09344291188859975,0.23971057414220884,0.23196316452818289,0.23151859612058093,0.2445540779070762,0.24325655394325177,0.21761818902948513
sg_1dd2f970abd2e8ef,0.4018440820945584,0.3308056897665081,0.3713116697535141,0.4265037788486796,0.42059714454179603,0.3759138929385468,0.39047684830082213,0.30485195207290366,0.40978444545718196
sg_294e1273de6f57c3,0.18896626764384902,0.44747469650880217,0.1379968573484518,0.10360570929702174,0.08727549165124683,0.10823714222198115,0.17467426383535803,0.03117838773673781,0.11170302731869293
sg_3b44f65ab67602cc,0.26142589212480344,0.04748185501774551,0.23512582404943627,0.3404557786821984,0.26423189173913364,0.3097706986353691,0.2298709954302768,0.25325111204381007,0.2831236404492685
sg_4634c4d061d30852,0.6286404684051998,0.37289074446813375,0.6126429288496693,0.5852702663298098,0.5881223504612741,0.5763371587437742,0.6291845908696319,0.6267062055494603,0.5935542098910016
sg_46b6c66765483f24,0.5972801398914044,0.39554051908200766,0.571038808506099,0.5944063546740239,0.581701602660003,0.5786049404081771,0.5774728636334274,0.566645634883436,0.613054177851851
sg_482440ccbb01f4b6,0.5347094913894203,0.3345110278924182,0.4757014776587016,0.559503858872182,0.561072310954356,0.5366708723645464,0.5065970177367021,0.5131162585011956,0.5629924939348409
sg_602726c0ba192496,0.15848093903255842,0.026821596211512044,0.09694143183871957,0.140039333404571,0.15403576493246432,0.16187695831554594,0.13472336272317423,0.13610553354854632,0.18412608408312484
sg_74969a1c98337c11,0.4481827522026533,0.25363630732129494,0.32975577443682064,0.4647315799591592,0.4081010820813802,0.41697982930468674,0.4275775504201584,0.2728276263032628,0.4465138187092832
sg_8a56096263e207fc,0.3361003872449883,0.13141943640636183,0.2849632905121064,0.46763013311293583,0.40467938925764013,0.41925516979068284,0.30126351250501543,0.05439947181727123,0.2571820918202339
sg_9568e8757c7f7a03,0.07999227670873414,0.0687308093997361,0.0216430815915955,0.0589201626204491,0.022802741981065983,0.05881577867341927,0.08302014859283985,0.039980542485189285,0.08963413331826257
sg_a46b5f5bbd1aae60,0.3729286144921679,0.18445648880580412,0.33533621444774847,0.36989217832987276,0.36670742931555306,0.38788624830276447,0.34793961620387465,0.3357126905800372,0.39970779075341983
sg_a4981b8b123d95c4,0.24356823084974913,0.04068818538074013,0.2970347025370665,0.26616035776623176,0.2452748689399997,0.21810188500968905,0.21423856691912532,0.14757245385970888,0.27575662387970873
sg_baba356c1735c37c,0.37876653428610463,0.3074023934382309,0.299011343800085,0.37568185583943564,0.3820966545051758,0.3945765083533173,0.370038265682505,0.31781035787064577,0.3702046171537099
sg_cb857fb98a0abf51,0.6140535032168671,0.4283088177613676,0.5992059264441633,0.6088774821446665,0.6070435924167144,0.6111657936342058,0.5996158065576586,0.5531537594210736,0.6284311814668463
sg_dbb5dd7d7605593e,0.26199140958748984,0.07045301282630928,0.23954152634347461,0.2751865571161961,0.2637341114268191,0.2576656350180104,0.24280014064774114,0.23297829307761878,0.25535128162779247
