model,case_id,t1,t1ce,t2,flair,efficiency_gap,full_value
qmmf,BRATS_021,0.1845627149377269,0.12482362736854014,0.21755035275434229,0.251677438875907,0.0,0.7786141339365164
qmmf,BRATS_111,0.13936589489433462,0.4125498234167329,0.1351512168973757,0.22440341024587446,0.0,0.9114703454543177
qmmf,BRATS_172,0.1603659350636596,0.3665407103733479,0.20544028534327025,0.20494050904733613,0.0,0.9372874398276139
qmmf,BRATS_219,0.16316871479450848,0.3688170260220307,0.1767300154016151,0.18832369934138138,0.0,0.8970394555595357
qmmf,BRATS_230,0.09171790235567352,0.22184760477644722,0.16994071322627635,0.1283070361880895,0.0,0.6118132565464866
qmmf,BRATS_258,0.01910385157107897,0.45180527246022845,0.18707938481851022,0.2405451057530395,1.1102230246251565e-16,0.8985336146028571
qmmf,BRATS_324,0.07035577966846798,0.49298183011065744,0.09689051522385977,0.14659422518175821,-1.1102230246251565e-16,0.8068223501847435
qmmf,BRATS_335,0.10932403212896079,0.32846670232679787,0.1747712387222054,0.21653853783543472,0.0,0.8291005110133988
qmmf,BRATS_338,0.0440247039582037,0.34956520400177227,0.11336989709418344,0.2128871957067399,-1.1102230246251565e-16,0.7198470007608994
qmmf,BRATS_367,0.09490246837321592,0.3880150966185658,0.1262654847593915,0.22948498023215658,0.0,0.8386680299833298
qmmf,BRATS_369,0.15042433016773005,0.2751516528525441,0.20113989454006978,0.18598956049068413,0.0,0.8127054380510281
qmmf,BRATS_404,0.060084009228828894,0.28427042752187603,0.231563416132157,0.19152595215301652,0.0,0.7674438050358785
qmmf,BRATS_413,0.1055316981117757,0.36433694661470545,0.1555397301028896,0.1830642818199899,0.0,0.8084726566493606
qmmf,BRATS_430,0.07565476921194142,0.453376189296475,0.15173600213209756,0.11268410097273276,0.0,0.7934510616132467
qmmf,BRATS_441,0.11077821766154927,0.4011429180991517,0.1743579458861134,0.15230263682205183,0.0,0.8385817184688662
qmmf,BRATS_484,0.1563849768984976,0.3663392132954778,0.15825794307155883,0.21919485584402246,0.0,0.9001769891095567
hemis,BRATS_021,-0.009185025013371002,0.2042573368794623,0.3547986664038855,0.07696559737054824,0.0,0.6268365756405251
hemis,BRATS_111,0.07998405004526438,0.29301231736149336,0.14983841407358753,0.2184406483465047,0.0,0.74127542982685
hemis,BRATS_172,0.12543574088381454,0.39122628747313104,0.21892820986844283,0.15519054304625424,-1.1102230246251565e-16,0.8907807812716427
hemis,BRATS_219,0.0913424221013773,0.36110117441142364,0.1512738380822709,0.20536357060889082,0.0,0.8090810052039626
hemis,BRATS_230,0.06501901170358197,0.14546581858383886,0.2116308505264534,0.06439601767648427,-5.551115123125783e-17,0.4865116984903585
hemis,BRATS_258,0.06733743626025006,0.33774184219301734,0.0867381132578239,0.2428414810861169,0.0,0.7346588727972082
hemis,BRATS_324,0.04933464229866973,0.30557164920097935,0.06623133636025406,0.18723664046961014,0.0,0.6083742683295132
hemis,BRATS_335,0.11960054153193772,0.270634523090756,0.19511132114698101,0.22444546412697836,0.0,0.8097918498966531
hemis,BRATS_338,0.04149124909836844,0.22728303871595218,0.13120952512343187,0.14892304820222896,0.0,0.5489068611399814
hemis,BRATS_367,0.09386975027368548,0.3656637804527976,0.12581115334293702,0.18300136309804005,-1.1102230246251565e-16,0.7683460471674602
hemis,BRATS_369,0.0711520222364081,0.2561353399712194,0.20503874667373462,0.2253609218168264,0.0,0.7576870306981885
hemis,BRATS_404,0.12440460773270534,0.2783838805373654,0.2179338449369855,0.1602563024260282,0.0,0.7809786356330845
hemis,BRATS_413,0.09192688515552533,0.261545674492277,0.08510133062729264,0.08108654801206092,0.0,0.5196604382871559
hemis,BRATS_430,0.08091816538404262,0.3741065507359139,0.18505242966762833,0.05997104666471078,0.0,0.7000481924522957
hemis,BRATS_441,0.11303699031635396,0.30279823739043293,0.1662780680754728,0.1826168800673798,0.0,0.7647301758496395
hemis,BRATS_484,0.12330084376059419,0.34598036333322646,0.14787512016330231,0.16456495200327287,0.0,0.7817212792603958
unet25d,BRATS_021,0.15209639642836015,0.16770786283354716,0.26130030429844986,0.18855155603365184,1.1102230246251565e-16,0.7696561195940089
unet25d,BRATS_111,0.10465816910310706,0.35378682802540606,0.1729918933632315,0.25323720822657464,0.0,0.8846740987183193
unet25d,BRATS_172,0.15825291936644523,0.37944959617411034,0.1837323547688086,0.21319007250366062,0.0,0.9346249428130248
unet25d,BRATS_219,0.1594719865036395,0.34426550660092026,0.18443841782555728,0.2169198437428265,1.1102230246251565e-16,0.9050957546729435
unet25d,BRATS_230,0.13614447806508528,0.10843178572971449,0.22276169082074967,0.16218367619465462,0.0,0.6295216308102041
unet25d,BRATS_258,0.026020267986741303,0.43813742469070593,0.1770375670842246,0.25891525885156264,0.0,0.9001105186132344
unet25d,BRATS_324,0.05351793833290633,0.39027355010347337,0.10458008818655289,0.16995532539224698,0.0,0.7183269020151796
unet25d,BRATS_335,0.10107984201197667,0.35319558100330223,0.17140979162287565,0.19176990557829954,0.0,0.8174551202164541
unet25d,BRATS_338,0.05283357445819999,0.22200052286249722,0.1075670356862274,0.24416642643609768,0.0,0.6265675594430223
unet25d,BRATS_367,0.10622583711701303,0.3907205954825168,0.12920034819842166,0.25765930038873197,0.0,0.8838060811866835
unet25d,BRATS_369,0.15970429275579368,0.27277269636546175,0.2104445846653262,0.1864953112048203,-1.1102230246251565e-16,0.829416884991402
unet25d,BRATS_404,0.043554125454077906,0.22427956524039472,0.26947248541229296,0.2442394666738804,0.0,0.781545642780646
unet25d,BRATS_413,0.1838783887766522,0.2477640402810236,0.13445018340982542,0.09822098283138879,0.0,0.66431359529889
unet25d,BRATS_430,0.09576824791474943,0.36788894260631566,0.18647852020227296,0.12499465862227903,0.0,0.7751303693456171
unet25d,BRATS_441,0.09228809422143147,0.4161728675978781,0.14938152333173096,0.15400032025383636,0.0,0.8118428054048769
unet25d,BRATS_484,0.15599751024412523,0.3356056658636153,0.17605623280705618,0.21331161218445424,0.0,0.880971021099251
no_quality,BRATS_021,0.17836181722938038,0.15765729395242845,0.22501992943709578,0.2130712271986937,0.0,0.7741102678175983
no_quality,BRATS_111,0.14383211684921865,0.3853880500283069,0.13118098868600137,0.25804275702691093,0.0,0.9184439125904378
no_quality,BRATS_172,0.16129819195580977,0.36568219973492017,0.20177531694150644,0.2082082148307135,1.1102230246251565e-16,0.9369639234629498
no_quality,BRATS_219,0.15413773506591394,0.37737795209450165,0.16274062258376737,0.19577431760122152,1.1102230246251565e-16,0.8900306273454044
no_quality,BRATS_230,0.12001973188581198,0.1823091275550486,0.22504659204689925,0.08767656452888203,0.0,0.6150520160166418
no_quality,BRATS_258,0.019032839549028135,0.4586959633084833,0.16527571549253448,0.25213056574647774,0.0,0.8951350840965236
no_quality,BRATS_324,0.07240807733564689,0.4901820598128268,0.11944587853815504,0.12746135112956786,0.0,0.8094973668161966
no_quality,BRATS_335,0.11623878284562138,0.3450076653172659,0.17979516584043462,0.20325672434318284,-1.1102230246251565e-16,0.8442983383465048
no_quality,BRATS_338,0.05259038395715325,0.33851428146260487,0.10402153713586526,0.2296640021077042,0.0,0.7247902046633276
no_quality,BRATS_367,0.10286539424334583,0.3904777856378584,0.15295797569222716,0.21547243602522623,0.0,0.8617735915986576
no_quality,BRATS_369,0.14784374705974673,0.3054572382690377,0.20210051991654285,0.19387869043442216,0.0,0.8492801956797494
no_quality,BRATS_404,0.05478422452991102,0.24525582086945807,0.24347878657743643,0.21819620324257727,0.0,0.7617150352193828
no_quality,BRATS_413,0.12085451419862361,0.36237824450949196,0.13283958663434228,0.20996030933770263,0.0,0.8260326546801605
no_quality,BRATS_430,0.11223027681894847,0.41485202752930245,0.1712641450855503,0.11284407117280536,0.0,0.8111905206066066
no_quality,BRATS_441,0.12099104127407409,0.37556824346810325,0.18160739431987108,0.15771938706714117,1.1102230246251565e-16,0.8358860661291895
no_quality,BRATS_484,0.1576992602848745,0.34887229891932864,0.1311524486902614,0.2619812752238544,1.1102230246251565e-16,0.8997052831183189
no_variance,BRATS_021,0.13088426640487918,0.11455643765673452,0.22805190110596366,0.25868848414106194,1.1102230246251565e-16,0.7321810893086392
no_variance,BRATS_111,0.12245902764123094,0.38784589762264166,0.17677719817127574,0.2350236498949541,0.0,0.9221057733301025
no_variance,BRATS_172,0.15941042778601408,0.3800583124896981,0.1982179252198586,0.20424608669932312,0.0,0.9419327521948939
no_variance,BRATS_219,0.16582208818276792,0.3683078737486186,0.16224283120167354,0.20073306787001213,0.0,0.8971058610030722
no_variance,BRATS_230,0.09099301240693274,0.2111206211252818,0.2073438593096757,0.15644292055070583,0.0,0.6659004133925961
no_variance,BRATS_258,0.006589871096721829,0.4634051854615401,0.16465559545431174,0.25698588030521324,1.1102230246251565e-16,0.8916365323177868
no_variance,BRATS_324,0.07713795573480438,0.49570793980354677,0.09586173531125383,0.13945752430215366,0.0,0.8081651551517587
no_variance,BRATS_335,0.1218325627298081,0.3402431208190164,0.1781239519192697,0.2049532008266091,0.0,0.8451528362947033
