model,case_id,subset,group_id,n_modalities,macro_dice
qmmf,BRATS_230,t1+t1ce,sg_1669c905c2882ce2,2,0.41409059043055846
qmmf,BRATS_230,t1+t1ce+flair,sg_1669c905c2882ce2,3,0.6017845100219853
qmmf,BRATS_230,t1+t1ce+t2,sg_1669c905c2882ce2,3,0.6142895440544575
qmmf,BRATS_230,t1+t1ce+t2+flair,sg_1669c905c2882ce2,4,0.6118132565464866
qmmf,BRATS_230,t1+t2,sg_1669c905c2882ce2,2,0.42500793266105946
qmmf,BRATS_230,t1+t2+flair,sg_1669c905c2882ce2,3,0.46388666385538135
qmmf,BRATS_230,t1ce,sg_1669c905c2882ce2,1,0.3843090591400972
qmmf,BRATS_230,t1ce+flair,sg_1669c905c2882ce2,2,0.5480860995242566
qmmf,BRATS_230,t1ce+t2,sg_1669c905c2882ce2,2,0.6029421760338209
qmmf,BRATS_230,t1ce+t2+flair,sg_1669c905c2882ce2,3,0.6236304253367961
qmmf,BRATS_230,t2,sg_1669c905c2882ce2,1,0.3972673806550964
qmmf,BRATS_230,t2+flair,sg_1669c905c2882ce2,2,0.4756064572959397
qmmf,BRATS_258,flair,sg_9568e8757c7f7a03,1,0.589659868825203
qmmf,BRATS_258,t1,sg_9568e8757c7f7a03,1,0.07999227670873414
qmmf,BRATS_258,t1+flair,sg_9568e8757c7f7a03,2,0.5863812811002361
qmmf,BRATS_258,t1+t1ce,sg_9568e8757c7f7a03,2,0.7710055371700225
qmmf,BRATS_258,t1+t1ce+flair,sg_9568e8757c7f7a03,3,0.9009647082817169
qmmf,BRATS_258,t1+t1ce+t2,sg_9568e8757c7f7a03,3,0.8579112475554059
qmmf,BRATS_258,t1+t1ce+t2+flair,sg_9568e8757c7f7a03,4,0.8985336146028571
qmmf,BRATS_258,t1+t2,sg_9568e8757c7f7a03,2,0.5675726461360533
qmmf,BRATS_258,t1+t2+flair,sg_9568e8757c7f7a03,3,0.6031670044818138
qmmf,BRATS_258,t1ce,sg_9568e8757c7f7a03,1,0.7603795040134514
qmmf,BRATS_258,t1ce+flair,sg_9568e8757c7f7a03,2,0.9116294122373311
qmmf,BRATS_258,t1ce+t2,sg_9568e8757c7f7a03,2,0.8637488954357818
qmmf,BRATS_258,t1ce+t2+flair,sg_9568e8757c7f7a03,3,0.9101718496261331
qmmf,BRATS_258,t2,sg_9568e8757c7f7a03,1,0.5056607426307923
qmmf,BRATS_258,t2+flair,sg_9568e8757c7f7a03,2,0.6317399077861158
qmmf,BRATS_324,flair,sg_dbb5dd7d7605593e,1,0.3261104121055141
qmmf,BRATS_324,t1,sg_dbb5dd7d7605593e,1,0.26199140958748984
qmmf,BRATS_324,t1+flair,sg_dbb5dd7d7605593e,2,0.3345785848824454
qmmf,BRATS_324,t1+t1ce,sg_dbb5dd7d7605593e,2,0.6511301216732006
qmmf,BRATS_324,t1+t1ce+flair,sg_dbb5dd7d7605593e,3,0.8009891671329057
qmmf,BRATS_324,t1+t1ce+t2,sg_dbb5dd7d7605593e,3,0.7562256072290875
qmmf,BRATS_324,t1+t1ce+t2+flair,sg_dbb5dd7d7605593e,4,0.8068223501847435
qmmf,BRATS_324,t1+t2,sg_dbb5dd7d7605593e,2,0.3122008100210346
qmmf,BRATS_324,t1+t2+flair,sg_dbb5dd7d7605593e,3,0.3896695818409644
qmmf,BRATS_324,t1ce,sg_dbb5dd7d7605593e,1,0.670611885819298
qmmf,BRATS_324,t1ce+flair,sg_dbb5dd7d7605593e,2,0.8064072476111052
qmmf,BRATS_324,t1ce+t2,sg_dbb5dd7d7605593e,2,0.7338173555568398
qmmf,BRATS_324,t1ce+t2+flair,sg_dbb5dd7d7605593e,3,0.8022046528034922
qmmf,BRATS_324,t2,sg_dbb5dd7d7605593e,1,0.26924667559347504
qmmf,BRATS_324,t2+flair,sg_dbb5dd7d7605593e,2,0.3941582609780137
