reference,control,metric,difference,ci_low,ci_high,n_groups,resampling_unit
qmmf,hemis,outer_macro_dice,0.10308115666087969,0.08455974283284765,0.12388581471524306,55,group
qmmf,unet25d,outer_macro_dice,0.019930318191189178,0.010144287260825965,0.03188172895877377,55,group
qmmf,no_quality,outer_macro_dice,-0.0006808687554530346,-0.010647522323968182,0.012003674365478055,55,group
qmmf,no_variance,outer_macro_dice,-0.0011617687795582032,-0.010263220492878686,0.006969389805649833,55,group
qmmf,no_max,outer_macro_dice,-0.003936230952360953,-0.011307914862319903,0.0025901257864288886,55,group
qmmf,no_consistency,outer_macro_dice,-6.496552800705491e-05,-0.004442182214243859,0.004000219911865291,55,group
qmmf,shuffled_quality,outer_macro_dice,0.002204516130088874,-0.00722735346796628,0.01543414742666954,55,group
qmmf,matched_moment_fusion,outer_macro_dice,0.00011949168150271472,-0.00673482356213104,0.007074265427072376,55,group
qmmf,hemis,mean_subset_macro_dice,0.11883400360933072,0.0910619334749917,0.1436023949885304,16,group
qmmf,unet25d,mean_subset_macro_dice,0.043995894321418705,0.02915569403165777,0.05974118428428389,16,group
qmmf,no_quality,mean_subset_macro_dice,-0.004072075500137773,-0.011962697210553716,0.003450085880687472,16,group
qmmf,no_variance,mean_subset_macro_dice,-0.0006681117413408488,-0.006428789400831567,0.005441314145136185,16,group
qmmf,no_max,mean_subset_macro_dice,-0.00564426717491473,-0.011758302345989092,0.0006475533543114563,16,group
qmmf,no_consistency,mean_subset_macro_dice,0.006027511987898193,0.0027717480700853894,0.010138227199770068,16,group
qmmf,shuffled_quality,mean_subset_macro_dice,0.012934245843916892,-0.0017272502982185938,0.028156472675195863,16,group
qmmf,matched_moment_fusion,mean_subset_macro_dice,0.0038084214578755216,-0.0061524719810541525,0.01642227234452624,16,group
qmmf,hemis,worst_subset_macro_dice,0.1380104312073357,0.07407125901835032,0.18761779773717593,16,group
qmmf,unet25d,worst_subset_macro_dice,0.04911936068304529,0.02534789059336913,0.07450304941866054,16,group
qmmf,no_quality,worst_subset_macro_dice,-0.005623276262791688,-0.02998059845726369,0.01668448257754558,16,group
qmmf,no_variance,worst_subset_macro_dice,0.01232274684638568,-0.00586391648924361,0.03078300543502033,16,group
qmmf,no_max,worst_subset_macro_dice,0.008951652068729943,-0.009993309745790617,0.026646602770824007,16,group
qmmf,no_consistency,worst_subset_macro_dice,0.019534744560599338,0.013971323528443769,0.02479602985162685,16,group
qmmf,shuffled_quality,worst_subset_macro_dice,0.07231604420255167,0.0402489963724732,0.10935387712908025,16,group
qmmf,matched_moment_fusion,worst_subset_macro_dice,0.005491608386892055,-0.010684475621585747,0.023918413719758776,16,group
