epoch,dice,bce,seg,boundary,nested,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score,consistency
0,0.9735307627916336,0.5123263916373253,0.7890490460395813,0.7516253137588501,0.026910209860652685,0.8655570876598359,23.591014736000034,5.1e-05,,,,,,,,
1,0.956535005569458,0.29231744050979613,0.690848006606102,0.6859949171543122,0.004315922744863201,0.7596632945537567,24.58897455100032,0.00010099999999999999,,,,,,,,
2,0.9384710395336151,0.23927321448922156,0.658791932463646,0.6882005506753921,0.00037988420670444613,0.7276309853792191,22.234462665999672,0.00015099999999999998,,,,,,,,
3,0.9403393238782882,0.2079462306201458,0.6473821091651917,0.6676182669401168,0.00043800995154015255,0.7141658341884614,21.1663722229996,0.00020099999999999998,,,,,,,,
4,0.9291087716817856,0.17851659685373306,0.6288719272613525,0.6868574070930481,0.00026890011333307484,0.6975711131095886,21.487758837,0.000251,,,,,,,,
5,0.9126265984773636,0.15288475215435027,0.6087298828363419,0.677037370800972,0.0004091175899520749,0.6764540761709213,20.507710398999734,0.0003,,,,,,,,
6,0.9118008089065551,0.12511845819652082,0.5971278917789459,0.6809197682142257,0.00018464442299546136,0.6652291029691696,21.343146298000647,0.0002999430460537427,,,,,,,,
7,0.905345647931099,0.10464172057807446,0.5850640976428986,0.689465557038784,0.00023348301615328638,0.6540223300457001,20.478897935000532,0.0002997722274649974,,,,,,,,
8,0.8812382954359055,0.09014188848435879,0.564799758195877,0.6900962281227112,0.00031389053522190124,0.6338250780105591,20.75808989199959,0.00029948767395100045,,,,,,,,
9,0.8706859147548676,0.07616919495165347,0.5528792479634285,0.6933932340145111,0.000258578215440366,0.6222315010428429,20.562064789000033,0.0002990896015976924,0.4825831661681467,0.37784089455090925,0.2959322379774052,0.4825831661681467,0.3457621123835987,0.30517740510098235,0.4324953918639013,
10,0.8550079208612442,0.064534917101264,0.5388187378644943,0.6719989955425263,0.00028144357574319654,0.6060327091813087,20.98652765099996,0.00029857831269562544,,,,,,,,
11,0.8256304621696472,0.055954846143722536,0.5177602389454842,0.690199464559555,0.00026508945061777924,0.5867934480309487,20.940358867000214,0.00029795419551040833,,,,,,,,
12,0.8236101233959198,0.04807408232241869,0.5133957314491272,0.7078026133775711,0.00019422831366069815,0.5841857090592384,21.02843211599975,0.00029721772398786267,,,,,,,,
13,0.8005294275283813,0.03952494209632278,0.49612765640020373,0.6775324001908303,0.00011864987703571472,0.5638868251442909,21.715967541000282,0.0002963694573941153,,,,,,,,
14,0.8247561234235764,0.03556730328127742,0.5090806180238724,0.7112646648287773,0.0001275900823591769,0.5802134668827057,21.67859407599917,0.0002954100398908995,,,,,,,,
15,0.7975150156021118,0.03579515967518091,0.4928270950913429,0.7066777515411377,0.0001621395642748924,0.5635029819607734,20.869983262999995,0.0002943402000463875,,,,,,,,
16,0.7718148654699326,0.030673195756971836,0.47535821676254275,0.7525112125277519,0.00011971564001015622,0.5506153240799904,24.164951843999916,0.0002931607502819261,,,,,,,,
17,0.7696819522976875,0.03152530652470887,0.4744193139672279,0.7322183293104172,0.00011387443933926988,0.5476468396186829,23.29800881399933,0.00029187258625509513,,,,,,,,
18,0.8087973153591156,0.03790102845057845,0.5004388204216957,0.8053719398379325,0.00020439888404183648,0.5819628170132637,24.465250234999985,0.0002904766861795582,,,,,,,,0.0048829024285078045
19,0.8016991963982583,0.03797635514289141,0.4962100800871849,0.8035192295908928,0.00024841732339659473,0.5775640910863876,23.468961461999243,0.0002889741100822202,0.5596581848236407,0.4518164063283962,0.34373853466299487,0.5596581848236407,0.39455475317058664,0.40123628099096126,0.5057136862590027,0.004948313145432621
20,0.7718636828660965,0.034906945656985044,0.4770810067653656,0.7884140336513519,0.00015021297926523402,0.5567956215143204,23.702103779000026,0.00028736599899825856,,,,,,,,0.004328525546006858
21,0.7785184955596924,0.03323075706139207,0.4804034209251404,0.7687227869033814,0.00013896629101083134,0.5580739572644233,23.203310126999895,0.00028565357410463663,,,,,,,,0.003956538853235543
22,0.7809166973829269,0.036698382487520574,0.4832293900847435,0.8212438935041427,0.00016837993433178156,0.5661327320337296,22.039852122999946,0.0002838381357927591,,,,,,,,0.0038526785420253873
23,0.7657511466741562,0.03297328600659966,0.47264002382755277,0.8161550036072731,0.00018738283076970673,0.5549248066544533,21.32804061600018,0.00028192106268097334,,,,,,,,0.003299542451277375
24,0.7742039173841476,0.027872666558250783,0.4756714376807213,0.7985000669956207,0.00010651609382657857,0.5561016592383384,21.18603166200046,0.0002799038105676658,,,,,,,,0.0028744284389540554
25,0.7658671608567238,0.032915440071374175,0.4726864913105965,0.8021825796365738,0.00012980038628732871,0.5534899842739105,21.481055125999774,0.000277787911325749,,,,,,,,0.002893717164406553
26,0.7663617187738418,0.031144245490431786,0.4722747504711151,0.8294968169927597,0.0001776264136600503,0.5557565090060234,21.42482825800016,0.00027557497173937923,,,,,,,,0.0026159965142142027
27,0.7683102482557297,0.02995632884092629,0.47296869874000547,0.8385833662748337,0.00015358574435040851,0.557316644191742,23.65661003399964,0.00027326667228378673,,,,,,,,0.0024096261966042223
28,0.7677371436357499,0.026097132982686164,0.4710811556875706,0.7993896201252937,7.765871239840294e-05,0.5514475306868554,23.424757736000174,0.0002708647658491467,,,,,,,,0.0021176361513789745
