model,mean_seed_oof_macro_f1,ci_low,ci_high,bootstrap_groups
full,0.7745465185770959,0.7235360789634515,0.8159081898096338,209
narrow_resnet_gn,0.7419129826218566,0.689236128002103,0.7874817412547231,209
no_attention,0.7346355839332749,0.6770797440231004,0.7840782499989722,209
no_attention_no_multiscale,0.7392194613034176,0.6795568416033512,0.791568239891619,209
no_augmentation,0.6923971448835523,0.6319117692300836,0.7423124117610694,209
no_multiscale,0.7373820285905882,0.6829420214326627,0.7852315285655861,209
plain_cnn,0.7119508510126012,0.6561901896525963,0.7655494758242424,209
