comparison,macro_f1_delta,ci_low,ci_high
full - narrow_resnet_gn,0.03263353595523932,-0.011986143676328486,0.07668923757864603
full - no_attention,0.039910934643821006,0.006185197535814163,0.07382291248579774
full - no_attention_no_multiscale,0.03532705727367824,-0.0039000933953210856,0.07655737032783282
full - no_augmentation,0.08214937369354358,0.04280468330383892,0.12414711027361101
full - no_multiscale,0.037164489986507676,0.004380265208617918,0.06947507660961645
full - plain_cnn,0.06259566756449464,0.01629419506580285,0.1062268985424693
