model,parameters,runs,median_fit_seconds,total_fit_seconds,median_epochs_run,maximum_peak_gpu_gb
full,338170,15,4.620327209000038,73.17833261900012,34.0,0.2008962631225586
narrow_resnet_gn,700786,15,2.6120017390001067,41.09351494399999,29.0,0.1041193008422851
no_attention,328306,15,3.90878498699999,56.5337981520002,41.0,0.1864271163940429
no_attention_no_multiscale,328306,15,3.405842352000036,54.73771990399996,35.0,0.1864271163940429
no_augmentation,338170,15,3.966721065999991,58.482224839999844,31.0,0.2008962631225586
no_multiscale,338170,15,4.627507971,74.33232187499965,35.0,0.2008962631225586
plain_cnn,261874,15,3.341415503999997,46.94556752799997,49.0,0.1966128349304199
