epoch,train_loss,validation_macro_f1,validation_log_loss
1,0.881556510925293,0.4098360655737705,0.6196663739191487
2,0.7183494091033935,0.23404255319148937,0.8127382551382399
3,0.7554175972938537,0.6210526315789473,0.6365452899382427
4,0.770561671257019,0.4098360655737705,0.5856897137221698
5,0.7384057998657226,0.583011583011583,0.6794259507024872
6,0.6851575016975403,0.6072727272727273,0.6211514304592849
7,0.6386373519897461,0.5846153846153846,0.6006078050782997
8,0.6293969869613647,0.5847382431233363,0.5976849247071068
9,0.6142617583274841,0.6387959866220736,0.6142518783967547
10,0.591982638835907,0.6538461538461539,0.550815096453278
11,0.5644631385803223,0.6148148148148148,0.5795978594827711
12,0.5882226884365082,0.6571428571428571,0.60037145196391
13,0.5584568381309509,0.625,0.5284776893277213
14,0.4822398543357849,0.7333333333333334,0.521289471599466
15,0.4463727831840515,0.7242553191489361,0.49316329021184685
16,0.44817625880241396,0.6989966555183946,0.512921827284407
17,0.39809290766716005,0.6974789915966386,0.40451816935523766
18,0.4140907287597656,0.7855319148936171,0.4938507138884737
19,0.4044273018836975,0.7497517378351539,0.4085997726359626
20,0.3538839519023895,0.8125,0.4227986619025594
21,0.3399897336959839,0.7497517378351539,0.37693456305188805
22,0.3162726402282715,0.8402839396628217,0.36259701942405304
23,0.2935452550649643,0.8402839396628217,0.34984998642159676
24,0.29524604678153993,0.8319327731092436,0.3445031265783125
25,0.26107572913169863,0.7777777777777777,0.33886290196787605
26,0.24002430737018585,0.8036363636363637,0.3648731027085616
27,0.26341168880462645,0.7052631578947368,0.450451204190239
28,0.4309221267700195,0.7052631578947368,0.4530702591327491
29,0.36043142080307006,0.7591973244147157,0.5151120468408386
30,0.306543231010437,0.645320197044335,0.4393901610711832
31,0.2475980281829834,0.8212512413108242,0.31816093115774885
32,0.24516668617725373,0.7777777777777777,0.34508186483485426
33,0.2492993712425232,0.7589285714285714,0.37591634239288907
34,0.21071881651878357,0.7923076923076923,0.3471865404047461
35,0.18954670429229736,0.75,0.3789770128637991
