epoch,train_loss,validation_macro_f1,validation_log_loss
1,0.7828469157218934,0.5333333333333333,0.6869233084135056
2,0.7218367218971252,0.6273546273546273,0.664832212018313
3,0.7021064519882202,0.6328671328671329,0.581021261726209
4,0.6517752766609192,0.6568627450980392,0.6408011704793134
5,0.6501071810722351,0.6761984861227923,0.555953118831092
6,0.604715633392334,0.6938775510204082,0.5053647076649173
7,0.6399020731449128,0.6568627450980392,0.6698880425831575
8,0.5580914735794067,0.72,0.47196588059399674
9,0.566311651468277,0.712171052631579,0.501963175680293
10,0.5118104219436646,0.712171052631579,0.5104736467302546
11,0.4632303059101105,0.7286821705426356,0.45209219488108854
12,0.46187885403633117,0.6499999999999999,0.5054876773951462
13,0.4045105814933777,0.7286821705426356,0.4793242777118292
14,0.37982257604599,0.7552447552447552,0.5148828318108452
15,0.3899857819080353,0.7552447552447552,0.4967168449670645
16,0.3799929618835449,0.712171052631579,0.69010628633085
17,0.3459655404090881,0.7463768115942029,0.486611701456839
18,0.35151507556438444,0.7140522875816994,0.7413906974471636
19,0.34779934883117675,0.7619047619047619,0.5492937514518409
20,0.3613927662372589,0.7140522875816994,0.806652051629731
21,0.420034122467041,0.7619047619047619,0.599325466049587
22,0.33192340433597567,0.7552447552447552,0.5850511949865792
23,0.24846406280994415,0.7552447552447552,0.5881801999240572
24,0.23132351636886597,0.72,0.5995016024963921
25,0.20090681910514832,0.7286821705426356,0.6498570905418638
26,0.25309739112854,0.7286821705426356,0.6652790882420796
27,0.2155117243528366,0.7286821705426356,0.7015056877818581
28,0.2238244593143463,0.7552447552447552,0.7258360970195635
29,0.21485262513160705,0.7552447552447552,0.671582541692325
30,0.1967930316925049,0.7552447552447552,0.6499684228884735
31,0.177741202712059,0.788975021533161,0.6249163733038916
32,0.17392539381980895,0.7552447552447552,0.6799717887657186
33,0.20374940037727357,0.7552447552447552,0.6729054487578322
34,0.16493449807167054,0.7552447552447552,0.6946263223360738
35,0.18709800243377686,0.7939444911690496,0.6598648716890321
36,0.1843237727880478,0.7463768115942029,0.6699198379171382
37,0.18543525636196137,0.7939444911690496,0.6564634001617802
38,0.16014910936355592,0.7463768115942029,0.6831064731352785
39,0.1973167210817337,0.7552447552447552,0.6958156448844314
40,0.16117640733718872,0.7552447552447552,0.7013533689330367
41,0.13899326026439668,0.7552447552447552,0.702106255331719
42,0.14626419246196748,0.7552447552447552,0.7189521248423917
43,0.15320490896701813,0.72,0.7218097813562661
44,0.14355628788471222,0.7552447552447552,0.7252086621818085
45,0.16733330488204956,0.7552447552447552,0.7121547242762545
46,0.15384235382080078,0.7552447552447552,0.7279072143484605
47,0.13670670688152314,0.7552447552447552,0.737912157540539
48,0.14591938257217407,0.7552447552447552,0.7383698966361789
49,0.14845816791057587,0.72,0.7343509749458222
