epoch,train_loss,validation_macro_f1,validation_log_loss
1,1.0913221955299377,0.2553191489361702,0.7916163978507617
2,0.7419888496398925,0.5333333333333333,0.6910001815227739
3,0.6920894384384155,0.39655172413793105,0.6593660435310493
4,0.7167657971382141,0.5970394736842105,0.6851506964833762
5,0.7327123999595642,0.2553191489361702,0.7032939058992422
6,0.6879483938217164,0.39655172413793105,0.6353103192618197
7,0.718515932559967,0.7939444911690496,0.6553618772414043
8,0.6833325624465942,0.6749226006191951,0.6167657256453906
9,0.7276325941085815,0.8164335664335665,0.6119409856319996
10,0.668865692615509,0.8164335664335665,0.569784925237377
11,0.6542537927627563,0.8097826086956521,0.4968622734343449
12,0.5916816771030426,0.7394540942928041,0.5330080340093376
13,0.598780357837677,0.7822222222222222,0.3987475181990028
14,0.5548030257225036,0.8164335664335665,0.3932126561851934
15,0.5961629033088685,0.8164335664335665,0.37975781507222445
16,0.5621927440166473,0.8444444444444444,0.37415204353515086
17,0.5801581561565399,0.788975021533161,0.4093587251108262
18,0.4880788505077362,0.8164335664335665,0.3823884335162894
19,0.5561490774154663,0.7697368421052632,0.5356425127997766
20,0.5407334446907044,0.788975021533161,0.4439688829358991
21,0.5038402378559113,0.788975021533161,0.3653005097969419
22,0.5592228591442108,0.7973531844499586,0.40183747782044155
23,0.5826621294021607,0.8528174936921783,0.36736941343084856
24,0.5343200445175171,0.825,0.4385503818239528
25,0.465440434217453,0.8528174936921783,0.3582671567012769
26,0.49717503786087036,0.825,0.368109308489233
27,0.48319701552391053,0.825,0.4999174012776985
28,0.5670859754085541,0.825,0.3774461231464597
29,0.5051415264606476,0.8809523809523809,0.3199628429926766
30,0.4593189835548401,0.7973531844499586,0.4746589798657844
31,0.4411254286766052,0.825,0.3736499814452461
32,0.41888090372085574,0.8528174936921783,0.35252770817306983
33,0.42498263716697693,0.7973531844499586,0.4919099782097818
34,0.4671917974948883,0.8809523809523809,0.3373436699108715
35,0.39744959473609925,0.8809523809523809,0.3317137187700701
36,0.4050562620162964,0.8528174936921783,0.3921897247068605
37,0.34667237997055056,0.8809523809523809,0.28590782723519503
38,0.355930757522583,0.8528174936921783,0.34968743125556423
39,0.37482333183288574,0.8528174936921783,0.40041022962118894
40,0.3725192606449127,0.825,0.5470609589273233
41,0.3828713417053223,0.8809523809523809,0.2970837927884561
42,0.3421888589859009,0.825,0.4502100576266703
43,0.34001952707767485,0.8809523809523809,0.31676349731799286
44,0.41451663374900816,0.8809523809523809,0.31398214060528123
45,0.3390037536621094,0.825,0.48971462311672653
46,0.33039255142211915,0.8809523809523809,0.3409576040898896
47,0.3631390810012817,0.8528174936921783,0.40882796567024415
48,0.3201096445322037,0.8528174936921783,0.39959735713062416
49,0.3326812505722046,0.8528174936921783,0.4339183192031286
