epoch,train_loss,validation_macro_f1,validation_log_loss
1,4.148652064800262,0.2553191489361702,0.8411610407915978
2,1.32002192735672,0.39655172413793105,0.7647960811405021
3,0.9352307200431824,0.2553191489361702,1.1272572205388363
4,0.9309209942817688,0.39655172413793105,0.6510699880570335
5,0.7403055667877197,0.2553191489361702,0.7454846731454084
6,0.7193616390228271,0.6568627450980392,0.6425383812889462
7,0.6559738159179688,0.7280799112097669,0.5367004341149598
8,0.6037270307540894,0.56575682382134,0.602948867213517
9,0.5942660570144653,0.6503884572697003,0.45401384199530953
10,0.5612539768218994,0.7140522875816994,0.5637421791826644
11,0.501316499710083,0.6260683760683761,0.4094795896659193
12,0.4563199460506439,0.825,0.45588557621696196
13,0.41569182872772215,0.8444444444444444,0.41818753243084955
14,0.33647860288619996,0.7463768115942029,0.40182924609971743
15,0.31512258052825926,0.7619047619047619,0.42983902310351296
16,0.2750789761543274,0.6568627450980392,0.9176098152877269
17,0.4844840049743652,0.7008547008547008,0.5956453061319426
18,0.3857203483581543,0.8214285714285714,0.45978524263070863
19,0.31765182614326476,0.7008547008547008,0.41567339420175126
20,0.2669400304555893,0.72,0.43976893070755185
21,0.23388663530349732,0.7619047619047619,0.5193426208185917
22,0.21769759356975554,0.7463768115942029,0.5127220673187226
23,0.1762029320001602,0.72,0.5862469337583586
24,0.17092418372631074,0.7348484848484849,0.7134690799070508
25,0.1421352058649063,0.7733580018501387,0.7086578383294735
