epoch,train_loss,validation_macro_f1,validation_log_loss
1,0.7009019255638123,0.39814814814814814,0.6880407064332257
2,0.8070380806922912,0.6921052631578948,0.6519242673988868
3,0.7116537928581238,0.6388888888888888,0.6573869148152729
4,0.6859793663024902,0.5961538461538461,0.6349003521129406
5,0.7052128791809082,0.7149501661129568,0.6286577045355344
6,0.6368054866790771,0.711111111111111,0.6147871374047857
7,0.6503697872161865,0.7149501661129568,0.6094770649426735
8,0.6090214252471924,0.7149501661129568,0.6021860119143815
9,0.5239677190780639,0.7149501661129568,0.5938440586509476
10,0.5255692780017853,0.7055593685655457,0.5967932314965045
11,0.4670975744724274,0.6350267379679144,0.6826507413431374
12,0.4734246671199799,0.5961538461538461,0.725046989366855
13,0.5642486155033112,0.6921052631578948,0.6730110840391279
14,0.3903228580951691,0.7350543478260869,0.6420406246251744
15,0.2623417556285858,0.6631229235880398,0.7158194356923956
16,0.2180805653333664,0.7149501661129568,0.6353548407422919
17,0.1685774505138397,0.675,0.7729325648141181
18,0.16368989050388336,0.6290760869565217,1.06150106355396
19,0.17162100672721864,0.6388888888888888,1.116039921259498
20,0.16406504809856415,0.5666666666666667,1.0985329834745379
21,0.1592837929725647,0.7055593685655457,0.830773934953617
22,0.1636848419904709,0.6631229235880398,0.8167552184020748
23,0.1534186452627182,0.7055593685655457,0.7429034124230347
24,0.14419541656970977,0.743421052631579,0.6744083313975648
25,0.1434452563524246,0.7692307692307693,0.6767114703686751
26,0.140336050093174,0.743421052631579,0.6335809334118263
27,0.1419976085424423,0.743421052631579,0.6618383619931236
28,0.14252857565879823,0.743421052631579,0.6501826088560004
29,0.13773610889911653,0.6921052631578948,0.7125548612321057
30,0.14389190077781677,0.743421052631579,0.6629089584927781
31,0.14135180413722992,0.743421052631579,0.6332893506461322
32,0.13703254908323287,0.743421052631579,0.6257584801997589
33,0.1361978068947792,0.743421052631579,0.6299112669774392
34,0.14147131741046906,0.743421052631579,0.6637844051398785
35,0.13710762858390807,0.743421052631579,0.6509568386472052
36,0.13882432281970977,0.743421052631579,0.6476458136126875
37,0.13446374088525773,0.743421052631579,0.6524655399488174
