epoch,train_loss,validation_macro_f1,validation_log_loss
1,0.9459416985511779,0.39655172413793105,0.6298471314973096
2,0.7135366439819336,0.7023809523809523,0.6410001835831062
3,0.7296571254730224,0.6181818181818182,0.5786216589022779
4,0.6449850916862487,0.6236559139784946,0.6134805186743024
5,0.591871565580368,0.7023809523809523,0.5641166102955891
6,0.5469300270080566,0.7619047619047619,0.4951259973473044
7,0.570752990245819,0.72,0.4880371584975074
8,0.5030524432659149,0.7083333333333333,0.5081599687808768
9,0.6022497057914734,0.7619047619047619,0.4965752556309791
10,0.4651549279689789,0.7619047619047619,0.4592406587305703
11,0.3424627840518951,0.8164335664335665,0.47630483346607294
12,0.30914588570594786,0.7619047619047619,0.4128251910438359
13,0.2593468755483627,0.7394540942928041,0.512774296096498
14,0.19151680171489716,0.7471620227038184,0.554941041901755
15,0.1813855677843094,0.788975021533161,0.45765317333647815
16,0.15728274285793303,0.6568627450980392,0.8678087243646058
17,0.1637146532535553,0.72,0.5222098517209451
18,0.1473113030195236,0.7939444911690496,0.795326473287716
19,0.1481968343257904,0.7348484848484849,0.5027997462591068
20,0.16572069525718688,0.788975021533161,0.521135116833828
21,0.14708170294761658,0.788975021533161,0.46686222397412747
22,0.14003067314624787,0.7619047619047619,0.4871741735987041
23,0.136757892370224,0.788975021533161,0.5693156485790823
