epoch,train_loss,validation_macro_f1,validation_log_loss
1,1.0201767921447753,0.34545454545454546,0.7540167962084872
2,0.8228400230407715,0.6387959866220736,0.6686769111782344
3,0.7408658266067505,0.674074074074074,0.6500594123562995
4,0.7627562999725341,0.775,0.6332438604865877
5,0.6821579575538635,0.4957983193277311,0.6279992790658419
6,0.7036929726600647,0.8017309205350118,0.6018429286856376
7,0.6886563897132874,0.8017309205350118,0.5911416384986395
8,0.6521963000297546,0.8017309205350118,0.582021228041279
9,0.6317227005958557,0.8017309205350118,0.5545036433749815
10,0.6383183598518372,0.8017309205350118,0.535078006410957
11,0.581454622745514,0.8017309205350118,0.5345278284548967
12,0.6416858255863189,0.8017309205350118,0.5265843267418204
13,0.5832909345626831,0.8017309205350118,0.4950255984461924
14,0.5450592160224914,0.8017309205350118,0.4776325045530163
15,0.519271320104599,0.8017309205350118,0.4744433061923084
16,0.5892227053642273,0.7714285714285714,0.5103283635335151
17,0.5077670097351075,0.7714285714285714,0.474768761364307
18,0.4797214508056641,0.7498069498069498,0.5002001135761813
19,0.5416067540645599,0.8017309205350118,0.4546692543938195
20,0.43342310190200806,0.8017309205350118,0.4841488821102586
21,0.37784377932548524,0.8054054054054054,0.467766518144287
22,0.3938460052013397,0.8017309205350118,0.4830937895984472
23,0.34765278697013857,0.83125,0.4756927380980744
24,0.39501572847366334,0.7333333333333334,0.5867937392062786
25,0.5213859379291534,0.7222222222222222,0.5205277240231042
26,0.4096514105796814,0.6629787234042553,0.6606843659079036
27,0.3709952414035797,0.7213622291021672,0.5587644105469667
28,0.32580310106277466,0.71875,0.551847424645411
29,0.3426878750324249,0.7077922077922079,0.592949152677683
30,0.31097921133041384,0.6923076923076923,0.619401929647536
31,0.32159772515296936,0.6989966555183946,0.6684742411288055
32,0.31017898619174955,0.7222222222222222,0.6262904304385198
33,0.3130509853363037,0.6629787234042553,0.8305978665983289
34,0.33027740120887755,0.7222222222222222,0.6212028144694001
35,0.2940377175807953,0.7333333333333334,0.7070557475192836
