epoch,train_loss,validation_macro_f1,validation_log_loss
1,1.0103734135627747,0.34545454545454546,0.7829917503717907
2,0.8267593860626221,0.6625,0.6689406333049492
3,0.7514901995658875,0.6072727272727273,0.6489307523269428
4,0.7171190619468689,0.6629787234042553,0.6237469005625732
5,0.6552966117858887,0.6989966555183946,0.6151110887623703
6,0.7106962561607361,0.6989966555183946,0.6031784068113738
7,0.6836562037467957,0.71875,0.5900862497754751
8,0.6454159140586853,0.7213622291021672,0.5546411048076387
9,0.6110541105270386,0.6942084942084943,0.5435198154944598
10,0.6226460218429566,0.775,0.5332998556204382
11,0.6817841708660126,0.775,0.5236019995294919
12,0.7129451394081116,0.7482517482517483,0.5121977749351591
13,0.566502058506012,0.6989966555183946,0.5556565453388346
14,0.6153600573539734,0.7213622291021672,0.5061347162819467
15,0.5733799457550048,0.7213622291021672,0.4955898480888885
16,0.5863623321056366,0.8017309205350118,0.49341658927810106
17,0.513013219833374,0.7333333333333334,0.5066544930149711
18,0.4811152219772339,0.674074074074074,0.6340649306289297
19,0.6392138957977295,0.7142857142857142,0.479255751773925
20,0.5154355645179749,0.7142857142857142,0.501135342755846
21,0.4286251783370972,0.7401764234161989,0.49577037698883686
22,0.4654079020023346,0.775,0.46206330600649476
23,0.4207269549369812,0.8885448916408669,0.45645208994791237
24,0.4322342395782471,0.6629787234042553,0.523612360860307
25,0.43375203013420105,0.7714285714285714,0.4733057794369971
26,0.3379069805145264,0.674074074074074,0.5411385459103635
27,0.34544929265975954,0.7498069498069498,0.5364702703549213
28,0.3411796450614929,0.674074074074074,0.569289094311968
29,0.29304357767105105,0.7401764234161989,0.5592006769519808
30,0.32442534565925596,0.7482517482517483,0.5596914820760722
31,0.28275900781154634,0.7450826121164438,0.5851673136465245
32,0.28372315168380735,0.7482517482517483,0.5987637093001562
33,0.2886301428079605,0.775,0.5981087807346781
34,0.274101197719574,0.775,0.5914398074147905
35,0.33385283648967745,0.674074074074074,0.6931081537625206
