model,seed,subset,group_macro_dice,n_groups
no_quality,43,t1ce+t2,0.7377821526165664,51
no_quality,43,t1ce+flair,0.7563369588383143,51
no_quality,43,t2+flair,0.5921265856108394,51
no_quality,43,t1+t1ce+t2,0.7469907590769,51
no_quality,43,t1+t1ce+flair,0.7609598678693731,51
no_quality,43,t1+t2+flair,0.604705173279307,51
no_quality,43,t1ce+t2+flair,0.7764284612678282,51
no_quality,43,t1+t1ce+t2+flair,0.7797299855552275,51
no_quality,44,t1,0.4228708694986414,51
no_quality,44,t1ce,0.6361880905925907,51
no_quality,44,t2,0.5072297797135374,51
no_quality,44,flair,0.5473224266734078,51
no_quality,44,t1+t1ce,0.6613717502457424,51
no_quality,44,t1+t2,0.5538241681934081,51
no_quality,44,t1+flair,0.5843057128430527,51
no_quality,44,t1ce+t2,0.7441343105136337,51
no_quality,44,t1ce+flair,0.7581021103886981,51
no_quality,44,t2+flair,0.5890848933962505,51
no_quality,44,t1+t1ce+t2,0.7472580800474483,51
no_quality,44,t1+t1ce+flair,0.7676824567058042,51
no_quality,44,t1+t2+flair,0.6055124927776683,51
no_quality,44,t1ce+t2+flair,0.7741203496621655,51
no_quality,44,t1+t1ce+t2+flair,0.7780769831201223,51
unet25d,42,t1,0.3461495397105025,51
unet25d,42,t1ce,0.49338724710504306,51
unet25d,42,t2,0.469405937493811,51
unet25d,42,flair,0.5219541856617922,51
unet25d,42,t1+t1ce,0.5499054475049934,51
unet25d,42,t1+t2,0.515699026873961,51
unet25d,42,t1+flair,0.5621303874507195,51
unet25d,42,t1ce+t2,0.6748186138175466,51
unet25d,42,t1ce+flair,0.7096433018117208,51
unet25d,42,t2+flair,0.5701665856705252,51
unet25d,42,t1+t1ce+t2,0.6936282764717427,51
unet25d,42,t1+t1ce+flair,0.732878357512539,51
unet25d,42,t1+t2+flair,0.583736827026607,51
unet25d,42,t1ce+t2+flair,0.7427775482442541,51
unet25d,42,t1+t1ce+t2+flair,0.7555502673002894,51
unet25d,43,t1,0.324126770009404,51
unet25d,43,t1ce,0.536727042387257,51
unet25d,43,t2,0.4811785365903003,51
unet25d,43,flair,0.5376431733900603,51
unet25d,43,t1+t1ce,0.5872542159000057,51
unet25d,43,t1+t2,0.5251638818741382,51
unet25d,43,t1+flair,0.5714197628948405,51
unet25d,43,t1ce+t2,0.7078578829601335,51
unet25d,43,t1ce+flair,0.7300548444737163,51
unet25d,43,t2+flair,0.5711336588300343,51
unet25d,43,t1+t1ce+t2,0.7165783853780467,51
unet25d,43,t1+t1ce+flair,0.7471563475859088,51
unet25d,43,t1+t2+flair,0.5807014096241477,51
unet25d,43,t1ce+t2+flair,0.7627927513917341,51
unet25d,43,t1+t1ce+t2+flair,0.7702157915869159,51
unet25d,44,t1,0.3490742947057452,51
unet25d,44,t1ce,0.5280557002061784,51
unet25d,44,t2,0.4827423166629073,51
unet25d,44,flair,0.5248740122454573,51
unet25d,44,t1+t1ce,0.5847697669512417,51
unet25d,44,t1+t2,0.5267754547945689,51
unet25d,44,t1+flair,0.5570072295053274,51
unet25d,44,t1ce+t2,0.6856799730542869,51
unet25d,44,t1ce+flair,0.7244212993270387,51
unet25d,44,t2+flair,0.5693414255280231,51
unet25d,44,t1+t1ce+t2,0.7082866552900411,51
unet25d,44,t1+t1ce+flair,0.7455953501429518,51
unet25d,44,t1+t2+flair,0.5782082768777387,51
unet25d,44,t1ce+t2+flair,0.750440125091905,51
unet25d,44,t1+t1ce+t2+flair,0.7643334725038146,51
