model,n_training_seeds,evaluation_attempt_seconds_median,evaluation_attempt_seconds_sum,qualitative_seconds_sum,qualitative_case_inferences,peak_allocated_gpu_gib_max
qmmf,3,2253.562506097,6764.184351113001,8.232743842999753,3,0.5974617004394531
hemis,3,1803.4619982469997,5422.035851807999,6.707477884001037,3,0.4355359077453613
no_quality,3,2252.693776812,6727.081227719,8.283904969000105,3,0.5974574089050293
unet25d,3,1661.8256262550003,4979.567793959001,6.299878785001056,3,0.3122568130493164
