accumulation_steps,batch_size,central_slices_per_second,consistency_active,model,parameters,peak_gpu_gb,seconds,seconds_per_microbatch,timed_microbatches,training_cache,training_loss_finite,warmup_microbatches
2,4,3.9308367962625184,True,qmmf_net,1221465,1.3504724502563477,101.75950331500007,1.0175950331500008,100,volume,True,10
2,4,15.784075069060396,True,qmmf_net,1221465,1.3482446670532227,25.341998074000003,0.25341998074000005,100,slab8,True,10
2,4,14.08471160235595,True,hemis25d,881395,0.7438077926635742,28.399587531000066,0.28399587531000064,100,slab8,True,10
2,4,4.013661478060402,True,hemis25d,881395,0.7438077926635742,99.65962555299996,0.9965962555299995,100,volume,True,10
