epoch,dice,bce,seg,boundary,nested,deep_supervision,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score,consistency,model,seed,fold
0,0.9746867430210112,0.6532614481449127,0.8461166542768478,0.7283077204227447,0.0495578376203775,0.5914580219984055,1.512883335351944,27.51506907800001,5.1e-05,,,,,,,,,qmmf,42,0
1,0.9687437200546264,0.4759150800108909,0.7716122949123383,0.6954866003990173,0.0283373701386153,0.4865248993039131,1.3291027176380157,24.866534855,0.0001009999999999,,,,,,,,,qmmf,42,0
2,0.9560945254564284,0.3843146482110023,0.7273826020956039,0.6945295321941376,0.0234629078768193,0.4590667870640754,1.2570754778385165,24.08150556800001,0.0001509999999999,,,,,,,,,qmmf,42,0
3,0.947257342338562,0.3449374821782112,0.7063294279575348,0.6806098836660385,0.0194021526817232,0.4374616551399231,1.212822185754776,24.45573884300001,0.0002009999999999,,,,,,,,,qmmf,42,0
4,0.9578228360414504,0.3007688298821449,0.6950012576580048,0.6738196778297424,0.0134873675089329,0.4300937792658806,1.1931513679027557,23.74847050400001,0.000251,,,,,,,,,qmmf,42,0
5,0.9418535089492798,0.2579959763586521,0.6683105176687241,0.6788613730669022,0.0096996393240988,0.4048124840855598,1.1414941197633743,24.104665065999995,0.0003,,,,,,,,,qmmf,42,0
6,0.9374012506008148,0.2144948747754097,0.6482387232780457,0.6784361308813095,0.0069594749109819,0.3892692691087723,1.1056995791196824,23.362897662000023,0.0002999430460537,,,,,,,,,qmmf,42,0
7,0.9286455792188644,0.176358286589384,0.6277306813001633,0.665959153175354,0.005799415288493,0.3715592634677886,1.066175833940506,23.80033725799996,0.0002997722274649,,,,,,,,,qmmf,42,0
8,0.9228746122121811,0.1496777218580246,0.6135958775877952,0.6880470436811447,0.0043578137340955,0.371978512853384,1.0545969885587692,24.04873280700008,0.000299487673951,,,,,,,,,qmmf,42,0
9,0.8917105144262314,0.1280024909228086,0.5862273281812668,0.6771677899360656,0.0062126305047422,0.3469166001677513,1.0011713373661042,23.664346282999983,0.0002990896015976,0.4429655935839252,0.427751792084355,0.3531186332342963,0.4429655935839252,0.3861441276343967,0.4541456550347429,0.4294167570990912,,qmmf,42,0
10,0.8964313942193985,0.1055154720693826,0.5800650480389595,0.6695732772350311,0.0048842595680616,0.3506599110364914,0.9979265010356904,24.579442170999982,0.0002985783126956,,,,,,,,,qmmf,42,0
11,0.8745293760299683,0.0894824068248272,0.5605106100440025,0.6865301203727722,0.004826362238964,0.3388531197607517,0.968258062005043,24.600122386999946,0.0002979541955104,,,,,,,,,qmmf,42,0
12,0.856867208480835,0.0776534835621714,0.5451817402243614,0.6909630998969079,0.0049589648144319,0.3262165196239948,0.9407425159215927,24.614305554,0.0002972177239878,,,,,,,,,qmmf,42,0
13,0.8549745982885361,0.0656058523803949,0.5392271181941033,0.6848120629787445,0.0048198898066766,0.3332718327641487,0.9412211507558824,25.31055126499996,0.0002963694573941,,,,,,,,,qmmf,42,0
14,0.8372817099094391,0.0571114907041192,0.525213643014431,0.7009337881207466,0.0042778422893024,0.3288646118342876,0.9243855276703834,23.50034061999997,0.0002954100398908,,,,,,,,,qmmf,42,0
15,0.8128724360466003,0.0502993344143033,0.5078432151675224,0.6968183952569962,0.0042459501349367,0.3170044378936291,0.8947417896986007,24.62710073900007,0.0002943402000463,,,,,,,,,qmmf,42,0
16,0.8244252318143844,0.0427636422775685,0.511760616004467,0.722015663087368,0.0033595666615292,0.3286665211617947,0.9127966845035552,23.88567063000005,0.0002931607502819,,,,,,,,,qmmf,42,0
17,0.8069621711969376,0.0408327847346663,0.5005104383826255,0.7161258459091187,0.0029479972831904,0.3208796092122793,0.8931500282883644,24.177190139000004,0.000291872586255,,,,,,,,,qmmf,42,0
18,0.8397749388217925,0.0446931519173085,0.5217422437667847,0.7958772593736648,0.0024137933854945,0.3526223781704902,0.9656723523139954,24.739238202000024,0.0002904766861795,,,,,,,,0.0579965383559465,qmmf,42,0
19,0.8234954887628555,0.0440569342300295,0.5117200866341591,0.7796007195115089,0.0019907006330322,0.3435274624824524,0.9365394407510758,22.55810038300001,0.0002889741100822,0.6056960939873185,0.5243588322912944,0.4068620432871064,0.6056960939873185,0.4261766625785925,0.5412037403079725,0.56141151040849,0.0161614250554703,qmmf,42,0
