group_id,qmmf,hemis,unet25d,no_quality,no_variance,no_max,no_consistency,shuffled_quality,matched_moment_fusion
sg_05284efb46abb582,0.8884561556948619,0.8176897811179282,0.8834338829640558,0.8841496622449866,0.8879237263307521,0.8797100529149193,0.8836446288248471,0.8865295047854014,0.8821658446994979
sg_06d8065186ce4ce6,0.8915250495368809,0.7818275461078805,0.8720173887037358,0.8788276321694154,0.8909676297780441,0.8857130660165836,0.8942033563485615,0.8942866609711125,0.8899350445189826
sg_0986963e6efafce3,0.680685594444974,0.6259487931348605,0.7431312070319712,0.7464507488037279,0.741338397249519,0.7155987534856191,0.7054221236627415,0.7128549767225687,0.7292979055484258
sg_0c0db9c0f083da26,0.9100086237777348,0.862133008930885,0.8926862807796555,0.9121893495486952,0.9084754080380216,0.9074356880317044,0.9098873680502736,0.9102037016206292,0.9099725655074814
sg_0d0ba3fb62c66b4e,0.5810242199008708,0.4199722955104797,0.4025607041900378,0.5952491477660633,0.4384151029272636,0.5998002389035052,0.5838555623315632,0.4022769317565713,0.5213298301988291
sg_108b660b16f7eec7,0.8358174765600982,0.5329129010795259,0.7578600008362322,0.8228523674963315,0.7914226962411641,0.7966213149327181,0.8112784651272271,0.8140612579681314,0.8041276367353501
sg_10a96640d281618d,0.9073392926946058,0.8003885579327412,0.8831214641725025,0.910765782787178,0.9047372794866736,0.9084749640299932,0.9092228431716738,0.907272984061546,0.9088287762548816
sg_11cc2b353d365340,0.8701392277507747,0.7708876239677798,0.7715777313971323,0.8442075653754872,0.8345783363964192,0.823597267866066,0.8694466637156294,0.8723864524093882,0.8365709788454717
sg_12a8304c53928db9,0.6464597659568786,0.6973061264834648,0.7135080599020514,0.6941408979563183,0.6885644264492481,0.7312717166772733,0.6567957111556322,0.651827845946729,0.7307371977903234
sg_1669c905c2882ce2,0.6536379378013101,0.4887150536096952,0.6126622015095418,0.7179834747740856,0.6743191603985341,0.6181111390535355,0.6234697571448525,0.6701298762879903,0.7203741584910723
sg_16ab3a8404d78681,0.860333418837109,0.7964602799729679,0.8692934689465983,0.894199602123317,0.8878240971452619,0.8815856253883416,0.87299725034453,0.8737042449260657,0.8873473173071099
sg_189c183ed5f23717,0.7763902556687484,0.7463921923051505,0.6295968454211246,0.8088069579414986,0.7896909813745036,0.7604196714882256,0.7688029155664945,0.7848808588446815,0.7839569426735732
sg_1aebfcdb85ddeaf3,0.8369722907356596,0.5424155778574806,0.8117553058299716,0.8476033815395567,0.8671247770705199,0.8363005809185218,0.8324313684444815,0.8306754398032362,0.8520750561937018
sg_1dd2f970abd2e8ef,0.8210510457938676,0.821906902855115,0.8177502732114217,0.8413402969422532,0.8311153809864699,0.8269064931788366,0.8224095502767454,0.8219265285271679,0.8337360208976832
sg_20a57b6fd840c3eb,0.8463384539015713,0.7055470654051539,0.847893514432218,0.8490443742977717,0.8433896700330097,0.8508965431176364,0.8482036761672557,0.8519043381767061,0.853141974068095
sg_25e919048f6b0ef1,0.7846058656216538,0.7858351100672235,0.8403706136774107,0.8036821475737276,0.7562590257396336,0.772082602478558,0.7924312243521684,0.7907251367146823,0.78816313893387
sg_294e1273de6f57c3,0.8344431449207077,0.7679600026732079,0.8602978656071696,0.8573523692596505,0.8112246503793519,0.8308212079153894,0.8368378506149913,0.8524668762421695,0.8565048059969342
sg_2f3955204a0ca3e9,0.6232256615305419,0.4864058433822012,0.4466720268236521,0.5946458345412098,0.5891697106721321,0.6590713979932024,0.6386118332325241,0.6655024764781003,0.5793444777628167
sg_341113092c77300c,0.7890849530984593,0.7351369895451118,0.8542456893085256,0.815205072485083,0.810678596039716,0.8043411872162802,0.7700013566806211,0.787297625867577,0.832879058112646
sg_3aff73a604680c9f,0.8445717791513345,0.7628717217030723,0.8310640784449042,0.8699277384096002,0.8635623000703576,0.8570900359190082,0.8553500590588105,0.8388596846946114,0.8633938095555624
sg_3b44f65ab67602cc,0.8395689454968152,0.5999780880697648,0.7108141838398282,0.7805738473053756,0.7959184794623863,0.7475034174624767,0.8069838315318201,0.7513871332758868,0.7764809305328293
sg_3deae33bd61113ad,0.8547437369849121,0.7734348155260315,0.826445708782784,0.8484428938012191,0.8652209517578586,0.8289065178283007,0.8586299533764498,0.8598393751621257,0.8478446480079228
sg_4271128070862d7b,0.9197543004732268,0.8548321292072583,0.9213804456523904,0.9160341077956008,0.9215469203846192,0.913569546299703,0.9157485719257972,0.918746025672974,0.911245687587106
sg_4634c4d061d30852,0.8949710788033967,0.8189847305223759,0.8923056721123891,0.9012962268933916,0.8879385559457162,0.8906903513893946,0.9000544471842512,0.8993288253178552,0.8963345215358712
sg_46b6c66765483f24,0.7853020273393844,0.7680173740969224,0.8319735259104597,0.8549400778955073,0.7962940075066776,0.8067803018157363,0.7873579244361476,0.7958063496570733,0.8361417391842512
sg_482440ccbb01f4b6,0.8386073374236955,0.744268954873484,0.8488480777915727,0.8543281040268134,0.844032067986144,0.84341219755469,0.8305645700588796,0.8298007709191264,0.853846314799413
sg_56808505899f20c6,0.6300204220486173,0.4621596250196238,0.6158691081005249,0.6456343518176499,0.654256141320791,0.6335590328471257,0.6273218701300216,0.6413084608467646,0.6535934609410508
sg_59b0ddbe83debbeb,0.9032326326420308,0.8658198454047443,0.8888516855193567,0.91262409733206,0.9067160697932516,0.9002582686430618,0.9058461928735598,0.9094585466200568,0.9144755660962076
sg_602726c0ba192496,0.7187984558575681,0.5722772911490569,0.5861066002949414,0.7379763058966343,0.7366322897635533,0.7153753312845462,0.732370143801001,0.7317345426071261,0.7162577967102622
sg_68bdb7a39259fbb9,0.7382674515495604,0.6423552326400307,0.7468679663508493,0.7430738015037541,0.7381742108344549,0.7178280657314554,0.7369358398477139,0.7494049437109855,0.7769668233117248
sg_6e037dcf2717c090,0.904719339907462,0.7278320992664354,0.8453217029697159,0.8948549289491637,0.8967255056572377,0.9026322262199216,0.9036556466800256,0.9063392148390044,0.8977423399854833
sg_7388a0c070338c97,0.5446394055489807,0.5629441120455636,0.4873597279494003,0.5989193973453166,0.7130964491798678,0.6107788291546327,0.5334298688384614,0.6475811477440648,0.7803669925403377
sg_74969a1c98337c11,0.9236339675449924,0.7734886399096015,0.855609686468944,0.9187861484953064,0.920204052961704,0.9184432159440998,0.9208942091969232,0.917264654698382,0.9195299235633408
sg_7f58a5b7e76f4fe0,0.8293710231630685,0.7329036387263338,0.7635510364001299,0.8583786592984475,0.8513766495487944,0.8454860825332341,0.8311695484264563,0.8432390840941462,0.8382824022941078
sg_85c10b3b6ba1a11a,0.8564271190925057,0.8155558355358048,0.8441965762197411,0.8564690239526859,0.8533740791255428,0.849594948429726,0.8589181335552665,0.8546342183356949,0.8497225408093646
