group_id,qmmf,hemis,unet25d,no_quality,no_variance,no_max,no_consistency,shuffled_quality,matched_moment_fusion
sg_1669c905c2882ce2,0.2796725517644277,0.1378150613306328,0.0934429118885997,0.2397105741422088,0.2319631645281828,0.2315185961205809,0.2445540779070762,0.2432565539432517,0.2176181890294851
sg_1dd2f970abd2e8ef,0.4018440820945584,0.3308056897665081,0.3713116697535141,0.4265037788486796,0.420597144541796,0.3759138929385468,0.3904768483008221,0.3048519520729036,0.4097844454571819
sg_294e1273de6f57c3,0.188966267643849,0.4474746965088021,0.1379968573484518,0.1036057092970217,0.0872754916512468,0.1082371422219811,0.174674263835358,0.0311783877367378,0.1117030273186929
sg_3b44f65ab67602cc,0.2614258921248034,0.0474818550177455,0.2351258240494362,0.3404557786821984,0.2642318917391336,0.3097706986353691,0.2298709954302768,0.25325111204381,0.2831236404492685
sg_4634c4d061d30852,0.6286404684051998,0.3728907444681337,0.6126429288496693,0.5852702663298098,0.5881223504612741,0.5763371587437742,0.6291845908696319,0.6267062055494603,0.5935542098910016
sg_46b6c66765483f24,0.5972801398914044,0.3955405190820076,0.571038808506099,0.5944063546740239,0.581701602660003,0.5786049404081771,0.5774728636334274,0.566645634883436,0.613054177851851
sg_482440ccbb01f4b6,0.5347094913894203,0.3345110278924182,0.4757014776587016,0.559503858872182,0.561072310954356,0.5366708723645464,0.5065970177367021,0.5131162585011956,0.5629924939348409
sg_602726c0ba192496,0.1584809390325584,0.026821596211512,0.0969414318387195,0.140039333404571,0.1540357649324643,0.1618769583155459,0.1347233627231742,0.1361055335485463,0.1841260840831248
sg_74969a1c98337c11,0.4481827522026533,0.2536363073212949,0.3297557744368206,0.4647315799591592,0.4081010820813802,0.4169798293046867,0.4275775504201584,0.2728276263032628,0.4465138187092832
sg_8a56096263e207fc,0.3361003872449883,0.1314194364063618,0.2849632905121064,0.4676301331129358,0.4046793892576401,0.4192551697906828,0.3012635125050154,0.0543994718172712,0.2571820918202339
sg_9568e8757c7f7a03,0.0799922767087341,0.0687308093997361,0.0216430815915955,0.0589201626204491,0.0228027419810659,0.0588157786734192,0.0830201485928398,0.0399805424851892,0.0896341333182625
sg_a46b5f5bbd1aae60,0.3729286144921679,0.1844564888058041,0.3353362144477484,0.3698921783298727,0.366707429315553,0.3878862483027644,0.3479396162038746,0.3357126905800372,0.3997077907534198
sg_a4981b8b123d95c4,0.2435682308497491,0.0406881853807401,0.2970347025370665,0.2661603577662317,0.2452748689399997,0.218101885009689,0.2142385669191253,0.1475724538597088,0.2757566238797087
sg_baba356c1735c37c,0.3787665342861046,0.3074023934382309,0.299011343800085,0.3756818558394356,0.3820966545051758,0.3945765083533173,0.370038265682505,0.3178103578706457,0.3702046171537099
sg_cb857fb98a0abf51,0.6140535032168671,0.4283088177613676,0.5992059264441633,0.6088774821446665,0.6070435924167144,0.6111657936342058,0.5996158065576586,0.5531537594210736,0.6284311814668463
sg_dbb5dd7d7605593e,0.2619914095874898,0.0704530128263092,0.2395415263434746,0.2751865571161961,0.2637341114268191,0.2576656350180104,0.2428001406477411,0.2329782930776187,0.2553512816277924
