group_id,qmmf,hemis,unet25d,no_quality,no_variance,no_max,no_consistency,shuffled_quality,matched_moment_fusion
sg_1669c905c2882ce2,0.4802794245681303,0.3641624533706364,0.4074855239710521,0.4548316535216362,0.4729675402391536,0.4667241624073763,0.4746130515954482,0.4835025041376596,0.4669730307154301
sg_1dd2f970abd2e8ef,0.6924184262938459,0.6256762371489589,0.6589975144025122,0.6990731980989676,0.7069796215589386,0.701410147284614,0.6927405678314427,0.6493197107053792,0.6869158239698432
sg_294e1273de6f57c3,0.6589655288286561,0.6943394516188448,0.6233391762313193,0.6395296525303031,0.6377073984332227,0.6431388109152695,0.6459943159974714,0.6611368655556116,0.6526248046688956
sg_3b44f65ab67602cc,0.5442319851477146,0.3443546916957133,0.4269153886240301,0.5640557563804303,0.5355064136802182,0.5716455736522433,0.5153132411248108,0.59903866451837,0.5602640656967773
sg_4634c4d061d30852,0.7750793664695192,0.6667135731941917,0.7672796999140998,0.7626680697299759,0.76730447628453,0.7594663664639867,0.7746133954762168,0.7736155191181024,0.7584025409007711
sg_46b6c66765483f24,0.7404695277739887,0.6528567547704456,0.7437813422245956,0.7641706056364932,0.755982073948984,0.7666398792334512,0.737994540332798,0.7274223411842858,0.7655881023685642
sg_482440ccbb01f4b6,0.7586118313192114,0.6511728004947237,0.7301648701692105,0.7619547225185132,0.771898384245571,0.7677249357042243,0.7559104033603253,0.7690669337647174,0.759067596540545
sg_602726c0ba192496,0.4550274717486671,0.3136950525662569,0.3538212680001236,0.448199175257524,0.4617090816460719,0.4600655577842934,0.455499418754295,0.4738825929425492,0.4618534129809877
sg_74969a1c98337c11,0.7394214541100392,0.5881879460551545,0.687070119970977,0.7487082619929398,0.7535701409913015,0.7432896788981422,0.7372927392437272,0.7299478423963592,0.7530437982692155
sg_8a56096263e207fc,0.630670883791285,0.4246769692437203,0.5772993588800244,0.6684769292759574,0.638482214308224,0.6509795284770111,0.6127839814212507,0.5483537709236201,0.553732223561047
sg_9568e8757c7f7a03,0.6959012331061099,0.584386087236105,0.6677475609885762,0.6888289641161224,0.6786719126795588,0.6963013011085076,0.6901326072749079,0.6531240062690918,0.6895414445426464
sg_a46b5f5bbd1aae60,0.7173582547035767,0.6072299703545198,0.7121776540307855,0.7319324331439837,0.72602285472026,0.7318528548438804,0.7133434990044515,0.7114522974343632,0.7416696081720217
sg_a4981b8b123d95c4,0.5687797151950669,0.4404247928345974,0.5328938839552264,0.5864607511662235,0.5780116699353914,0.5691618909567376,0.5693111111560903,0.5310026151442743,0.5754714332665269
sg_baba356c1735c37c,0.6614006895316221,0.5381296668707543,0.6085692271770304,0.6592320233287087,0.6442262243937296,0.6745883549833277,0.6599839446562463,0.6281987737553176,0.6389110063122598
sg_cb857fb98a0abf51,0.8231116353082981,0.7090479334309524,0.7999674470247129,0.8218112329792219,0.8179983816023793,0.8214527983801412,0.8179855788014784,0.8132935270182385,0.8208875919342791
sg_dbb5dd7d7605593e,0.5544109415346405,0.3897399307955067,0.4946940247233971,0.5613581477555774,0.5597897686242918,0.5620048031358017,0.546185781593042,0.5368324710597617,0.5502571422045544
