best_epoch,completed,config_hash,fit_and_validation_seconds,fold,inner_selection_score,locked_test_opened,name,outer_case_macro_dice,outer_evaluation_seconds,outer_macro_dice,outer_n_cases,outer_n_groups,parameters,peak_gpu_gb,phase,robustness_macro_dice,robustness_n_cases,scope,seed,subset_evaluation_seconds,wall_seconds,epochs_run,validation_checks,selected_epoch_one_based,termination_reason,best_at_last_validation,last_selection_score,last_minus_best_selection_score,last_three_validation_gain,trailing_nonimproving_validation_checks,scheduled_optimizer_step_opportunities,central_training_windows_seen,convergence_interpretation,first_epoch_loss,last_epoch_loss,all_predictions_empty,train_epoch_seconds
79,True,b7170daf998ad759,4183.133015164,0,0.6928539444847774,False,qmmf,0.8121615210363011,251.34471692399984,0.80206441209393,91,55,1221465,1.3471002578735352,study,0.6457954670912915,16,development_fold0,42,670.7600011699997,5105.237733954001,120,12,80,epoch_budget_reached,False,0.680571363007453,-0.0122825814773244,0.0136353904467401,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.512883335351944,0.8049737587571144,False,2888.4581470000026
109,True,2dc2ade8cf028971,3940.5469497210006,0,0.5662742441334014,False,hemis,0.7054065609645249,231.9255103309997,0.7042339852034635,91,55,881395,0.7460660934448242,study,0.544685083462949,16,development_fold0,42,540.0210009439998,4712.493461666,120,12,110,epoch_budget_reached,False,0.5657946571435597,-0.0004795869898417,0.0013738460319367,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,0.9367355614900588,0.5315798598527909,False,2830.4934901939987
119,True,07b7569199bbdbbd,3778.152840494,0,0.6389286772544871,False,unet25d,0.790465282207669,202.717951351,0.7759985883712738,91,55,884299,0.4207096099853515,study,0.6008130223120958,16,development_fold0,42,541.1810362079996,4522.051829422,120,12,120,epoch_budget_reached,True,0.6389286772544871,0.0,0.0031770634286359,0,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,0.8874119293689727,0.5128271773457527,False,2782.909197912001
109,True,4b91954fd0d19d55,4142.368304675,0,0.6844564011141792,False,no_quality,0.8232500007390364,266.0508043320005,0.8153146598504711,91,55,1220569,1.3470778465270996,study,0.6594289732113932,16,development_fold0,42,694.2748017469985,5102.693911338,120,12,110,epoch_budget_reached,False,0.6833566171347383,-0.0010997839794408,0.0093325789089604,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5035556602478026,0.8056956148147583,False,2869.777104451002
79,True,00bc012d994982ad,4093.407799759001,0,0.6865147808177412,False,no_variance,0.8163617342504463,254.6417192199988,0.8061482851033789,91,55,1183769,1.0879497528076172,study,0.6436810439922781,16,development_fold0,42,657.0647673830008,5005.114287228002,120,12,80,epoch_budget_reached,False,0.6818394661316631,-0.004675314686078,0.0092089868284542,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.543382955789566,0.8069232362508774,False,2913.465925543
79,True,dcf1e4858f16c341,4125.047033155999,0,0.67980568637015,False,no_max,0.8135797677615851,250.73557679900117,0.8042821115475347,91,55,1183769,1.2834415435791016,study,0.6473972865295778,16,development_fold0,42,661.6817188409987,5037.464329741,120,12,80,epoch_budget_reached,False,0.6787906118233039,-0.0010150745468461,0.0203497644795712,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5459839057922364,0.8055600512027741,False,2930.114282320012
79,True,4e96adc64e482cc7,4155.907026007,0,0.6850100204341416,False,no_consistency,0.8102378115710084,271.00834132199816,0.7999287479257297,91,55,1221465,1.3316020965576172,study,0.6423069410038662,16,development_fold0,42,694.877375385,5121.792743512,120,12,80,epoch_budget_reached,False,0.6775752380369083,-0.0074347823972332,0.0092162352058432,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5128836333751678,0.8032267609238625,False,2891.843065990006
79,True,9016960ba082a6df,4169.090268730999,0,0.6849365481722377,False,shuffled_quality,0.8132850281124895,261.06397162800204,0.8037576215249475,91,55,1221465,1.3471002578735352,study,0.6411062006364401,16,development_fold0,42,690.6468344999994,5120.801076058999,120,12,80,epoch_budget_reached,False,0.6809187121169995,-0.0040178360552382,0.0125708419393885,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5128759670257568,0.8044578033685684,False,2927.143227784998
109,True,22e2134ab529495d,3568.0416883630023,0,0.6851633548258589,False,matched_moment_fusion,0.8220034753929746,230.2340791909992,0.8125440004965008,91,55,1227977,1.18800687789917,study,0.6562380859191688,16,development_fold0,42,607.0433621499978,4405.319130454001,120,12,110,epoch_budget_reached,False,0.6839925605357501,-0.0011707942901088,0.0112905878217445,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5300349748134614,0.8064021208882332,False,2434.1977854109937
89,True,cb29d3e9b9f63fe2,4202.14910621,0,0.6921119342294436,False,qmmf,0.8174914534054107,252.960768082,0.8072069515045457,91,55,1221465,1.3471002578735352,study,0.6456467184105921,16,development_fold0,43,682.3212998070003,5137.431174687,120,12,90,epoch_budget_reached,False,0.6854125513334032,-0.0066993828960404,0.0283305795606166,3,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5392271101474762,0.8066087093949318,False,2910.1359348910005
79,True,ff43e19d147d9e9b,3926.36441918,0,0.59099826783767,False,hemis,0.7182384652670988,225.5616108260001,0.7140561379424143,91,55,881395,0.7460660934448242,study,0.5390147497254447,16,development_fold0,43,529.1567774770001,4681.082808296,120,12,80,epoch_budget_reached,False,0.5726549062995664,-0.0183433615381035,0.0197118129700616,4,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,0.92519391477108,0.5396626958251,False,2831.096677679001
89,True,2c05c3d0bc0c4aec,3756.0791618910007,0,0.6717411154277093,False,unet25d,0.8080419003717799,198.2827286289994,0.7970498367930607,91,55,884299,0.4207096099853515,study,0.6193598372307374,16,development_fold0,43,541.9923082580008,4496.354199343001,120,12,90,epoch_budget_reached,False,0.6558392319159524,-0.0159018835117569,0.0060218207614745,3,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,0.8845594197511673,0.5107119101285934,False,2764.0965621710075
89,True,1553e3a0d78499c0,4153.545546045,0,0.6867000873281399,False,no_quality,0.8185083420761192,263.0877884799993,0.809492975199472,91,55,1220569,1.3470778465270996,study,0.6457318654071548,16,development_fold0,43,699.3087489610007,5115.942084178,120,12,90,epoch_budget_reached,False,0.6843263350952894,-0.0023737522328505,0.0159200285780725,3,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.511911940574646,0.8030382335186005,False,2867.6226129989927
89,True,9d38325c0ad3ed5d,4054.623182365,0,0.6805017453316884,False,no_variance,0.8174460711184423,247.41067568000108,0.8082529248213706,91,55,1183769,1.0879497528076172,study,0.6533681151836636,16,development_fold0,43,656.671534563,4958.705393271999,120,12,90,epoch_budget_reached,False,0.6780065950783648,-0.0024951502533235,0.0189202589193208,3,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5023744881153107,0.8065522024035454,False,2834.509928822992
89,True,80542889b92a9629,4146.034989242,0,0.6759638037150248,False,no_max,0.8146447966060261,252.02746317700075,0.8051711291427236,91,55,1183769,1.2834415435791016,study,0.6493178775799047,16,development_fold0,43,663.7389687760005,5061.801422012,120,12,90,epoch_budget_reached,False,0.6714970952128654,-0.0044667085021594,0.0120608951548171,3,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5068906509876252,0.8050370183587074,False,2895.710453176001
89,True,3e63841692d9d3af,4169.352042913002,0,0.6894068868164278,False,no_consistency,0.8163790231814838,268.70847703099935,0.8066879416837299,91,55,1221465,1.3316020965576172,study,0.6401206276756286,16,development_fold0,43,703.0874247089996,5141.1479452190015,120,12,90,epoch_budget_reached,False,0.680065020676769,-0.0093418661396588,0.0249176959685113,3,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5392269945144654,0.8058548268675804,False,2844.3366741080063
109,True,18facbcdee7a5227,4210.853928495999,0,0.6835741824274564,False,shuffled_quality,0.8150088003949153,264.23637073400096,0.8052899288139882,91,55,1221465,1.3471002578735352,study,0.6523831313072914,16,development_fold0,43,705.8129404030005,5180.903240521999,120,12,110,epoch_budget_reached,False,0.6824978954360633,-0.001076286991393,0.0270188681631456,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5391993296146391,0.8073000338673592,False,2897.583884992975
119,True,0882a9d45a88eec7,3678.161966841999,0,0.6741430577536583,False,matched_moment_fusion,0.8195362353280772,230.11959144900172,0.8104789461416886,91,55,1227977,1.18800687789917,study,0.6559777687946978,16,development_fold0,43,607.7762612920014,4516.057820118,120,12,120,epoch_budget_reached,True,0.6741430577536583,0.0,0.0132836604292916,0,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5847078144550324,0.8099967190623283,False,2531.37915312298
109,True,f2728147d4ddf8a5,4195.39497856,0,0.6759522166052844,False,qmmf,0.815811526147422,252.54665603800004,0.8063663311861036,91,55,1221465,1.3471002578735352,study,0.6560086480893982,16,development_fold0,44,682.8892946960004,5130.830929975,120,12,110,epoch_budget_reached,False,0.6754034105307453,-0.0005488060745391,0.0029519401237414,1,6000,48000,descriptive learning-curve diagnostics; no automatic convergence claim,1.5173260474205017,0.8190747621655464,False,2903.782241951996
