epoch,dice,bce,seg,boundary,nested,deep_supervision,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score
0,0.9746866631507873,0.653261331319809,0.8461165595054626,0.7283073168992996,0.04955825429409742,0.5914584237337113,1.5128836333751678,22.725790271000733,5.1e-05,,,,,,,
1,0.9687437653541565,0.47591425478458405,0.7716119903326034,0.6954853218793869,0.028337349854409694,0.48652519553899765,1.3291025972366333,21.71529624499999,0.00010099999999999999,,,,,,,
2,0.9560939800739289,0.3843137073516846,0.7273819005489349,0.6945304882526397,0.023463271390646696,0.4590663653612137,1.2570744860172272,21.48793221000051,0.00015099999999999998,,,,,,,
3,0.9472569906711579,0.34493797153234484,0.7063294136524201,0.6806114494800568,0.01940259847790003,0.43746275812387464,1.2128234481811524,21.91836708200026,0.00020099999999999998,,,,,,,
4,0.9578237438201904,0.3007666012644768,0.6950009107589722,0.6738215506076812,0.01348759283311665,0.4300923463702202,1.193149789571762,21.842287690000376,0.000251,,,,,,,
5,0.9418547916412353,0.2579996222257614,0.6683127474784851,0.6788618075847626,0.009698762581683696,0.40481648802757264,1.1415003579854965,21.642068545001166,0.0003,,,,,,,
6,0.9374058693647385,0.21449960604310037,0.6482433885335922,0.6784286123514175,0.006958038250450045,0.38928176641464235,1.1057159197330475,21.86075225100103,0.0002999430460537427,,,,,,,
7,0.928650113940239,0.17635011807084083,0.6277301335334777,0.6659215062856674,0.005792349989060312,0.37155427992343903,1.066166181564331,21.712160000999575,0.0002997722274649974,,,,,,,
8,0.9228582489490509,0.14984283477067947,0.6136521044373512,0.688299805521965,0.004324066302506253,0.3721359673142433,1.0548342484235764,21.96242904399878,0.00029948767395100045,,,,,,,
9,0.8918985044956207,0.1280651469528675,0.5863651871681214,0.676733980178833,0.006227333520073443,0.3470326870679855,1.0013826429843902,21.79513876599958,0.0002990896015976924,0.4392424304984987,0.42464904169627743,0.34983307841743994,0.4392424304984987,0.3818190524251542,0.4528856421651794,0.4259234786497264
10,0.8963338196277618,0.10547117859125138,0.5799887892603874,0.6686376112699509,0.0049094736750703305,0.3507744202017784,0.99787244617939,22.797589830001016,0.00029857831269562544,,,,,,,
11,0.8743277657032013,0.08929056748747825,0.560312911272049,0.6855278557538986,0.0048601906467229125,0.33845716625452044,0.9675658690929413,22.597314115999325,0.00029795419551040833,,,,,,,
12,0.8569388252496719,0.07751789685338735,0.5451704695820808,0.6907387155294419,0.004940749111119658,0.32618401646614076,0.9406754022836685,22.377158422999855,0.00029721772398786267,,,,,,,
13,0.8545821517705917,0.06564744170755148,0.5390082892775535,0.683733628988266,0.004739538771100342,0.3326944768428802,0.9403130966424942,23.126308742999754,0.0002963694573941153,,,,,,,
14,0.8371918401122094,0.056668118834495546,0.5249823731184006,0.7045449426770211,0.004173877981957048,0.3296637324988842,0.9253092926740646,21.8421729110014,0.0002954100398908995,,,,,,,
15,0.8127370512485504,0.05042189504951239,0.507811007797718,0.6975243711471557,0.004234052626416087,0.3174842464923859,0.8952593934535981,22.84498518500004,0.0002943402000463875,,,,,,,
16,0.8245171368122101,0.042730367220938203,0.5118024435639381,0.7227361044287681,0.0033139920164830983,0.3287886807322502,0.9130304330587387,22.181516771999668,0.0002931607502819261,,,,,,,
17,0.8057815849781036,0.04003339720889926,0.4994823303818703,0.7159560751914978,0.0029332286457065494,0.3199955955147743,0.891220190525055,22.682012106999537,0.00029187258625509513,,,,,,,
18,0.8365673661231995,0.041516643669456246,0.5185470962524414,0.7947935029864311,0.002316770583856851,0.3516815933585167,0.949823881983757,22.437758650001342,0.0002904766861795582,,,,,,,
19,0.8225884771347046,0.0427490565739572,0.5106527310609817,0.7867869701981545,0.0020198333915323018,0.34379772692918775,0.9332301467657089,21.97245432099953,0.0002889741100822202,0.5830735615626196,0.501582696698232,0.37715846101790856,0.5830735615626196,0.3977773184543518,0.5238972100777245,0.5380347920488322
20,0.8014153409004211,0.04150301015004516,0.4974504280090332,0.7706450766324997,0.0018715519376564771,0.33707085460424424,0.911679368019104,22.31579289399997,0.00028736599899825856,,,,,,,
21,0.8043242323398591,0.03548976097255945,0.4967904654145241,0.8033120137453079,0.0015014496474759654,0.33687655076384543,0.9140732914209366,22.84422059999997,0.00028565357410463663,,,,,,,
