epoch,dice,bce,seg,boundary,nested,deep_supervision,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score,consistency
0,0.9773285698890686,0.6181275951862335,0.8336482119560241,0.7270928078889847,0.06263872049748898,0.5974012196063996,1.5068906509876252,25.291080986999077,5.1e-05,,,,,,,,
1,0.9691195976734162,0.4793209862709045,0.7732001823186875,0.6882873344421386,0.01848616998642683,0.49959843724966047,1.3425516557693482,24.862029514000824,0.00010099999999999999,,,,,,,,
2,0.964822193980217,0.41613878279924393,0.7453488570451736,0.6840394902229309,0.0021737744950223715,0.46822970509529116,1.282091200351715,24.514249514000767,0.00015099999999999998,,,,,,,,
3,0.9629867029190063,0.36197535127401353,0.7225821894407273,0.6844256228208542,0.010178829941432923,0.4505389028787613,1.2420725977420808,25.016201728998567,0.00020099999999999998,,,,,,,,
4,0.9573461216688156,0.315344178378582,0.7005453741550446,0.6838000446557999,0.004844186493428424,0.43241380393505097,1.2015813946723939,21.599195050999697,0.000251,,,,,,,,
5,0.9492041546106339,0.26707453310489654,0.6763523298501969,0.6767600035667419,0.005082589355297386,0.4117576801776886,1.1560401386022567,22.41708287700021,0.0003,,,,,,,,
6,0.9375171142816544,0.22108171626925469,0.6509429794549942,0.6955832147598267,0.008398701571859419,0.39271188259124756,1.113633131980896,21.765700605001257,0.0002999430460537427,,,,,,,,
7,0.9235092478990555,0.18026288345456123,0.626210727095604,0.685223633646965,0.00820361781399697,0.37567378163337706,1.0708170515298843,21.79293474000042,0.0002997722274649974,,,,,,,,
8,0.9256655496358871,0.14595664657652377,0.6137820112705231,0.6935392200946808,0.007265932341106236,0.3750104592740536,1.058509691953659,22.135571753000477,0.00029948767395100045,,,,,,,,
9,0.9073239779472351,0.12368509739637375,0.5938684517145156,0.6769880092144013,0.0064534104382619265,0.36343982100486755,1.0253297472000122,24.704614615000537,0.0002990896015976924,0.4710211166534623,0.4350856382701629,0.3381133218097135,0.4710211166534623,0.3893051225770178,0.4449306755800086,0.44694969365409754,
10,0.8871399849653244,0.10368706077337266,0.5737588375806808,0.6871830958127976,0.006786972633562982,0.34734697788953783,0.9901634776592254,25.153585661999387,0.00029857831269562544,,,,,,,,
11,0.8812823367118835,0.08904659084975719,0.5643880560994148,0.7232222074270248,0.007291288617998362,0.3502639077603817,0.9873387509584427,24.181762614000036,0.00029795419551040833,,,,,,,,
12,0.8649828332662582,0.07540524750947952,0.5491518187522888,0.6998594391345978,0.007201509014703333,0.34149466812610624,0.9609925025701522,24.24711102299989,0.00029721772398786267,,,,,,,,
13,0.8431960076093674,0.0648292000964284,0.5318493062257766,0.7086582541465759,0.007337733497843146,0.33204893335700036,0.9351309496164322,25.73781525999948,0.0002963694573941153,,,,,,,,
14,0.848711062669754,0.05486364223062992,0.5311721166968346,0.7091135194897652,0.0068472353927791114,0.33955388873815534,0.9419797229766845,21.57029388599949,0.0002954100398908995,,,,,,,,
15,0.804520089328289,0.05048456031829119,0.5029058980941773,0.7207409125566483,0.0059722860250622034,0.32009322077035907,0.8953718262910842,21.414413958000296,0.0002943402000463875,,,,,,,,
16,0.8153015404939652,0.04290557283908129,0.506343178153038,0.7382561033964157,0.005010827714577317,0.32801445066928864,0.9084337741136551,21.10631099099919,0.0002931607502819261,,,,,,,,
17,0.7842510181665421,0.040232233703136444,0.48664352148771284,0.7323599171638489,0.004101065651047975,0.31465472996234894,0.8747392928600312,22.243618258000424,0.00029187258625509513,,,,,,,,
18,0.8002712589502334,0.044734072592109445,0.4980564033985138,0.8026546090841293,0.0033048910135403276,0.3357200476527214,0.9174970895051956,23.876722048000374,0.0002904766861795582,,,,,,,,0.016449660032521934
19,0.8222783404588699,0.042642182726413014,0.5104238989949227,0.8009627628326416,0.0026430581335444,0.3480669991672039,0.9410923445224761,24.677823750000243,0.0002889741100822202,0.5172438641506788,0.46803767601316437,0.37787901945265484,0.5172438641506788,0.413006899679022,0.4738622642097921,0.4885455232396221,0.011865091966465116
20,0.7927036872506141,0.04112456666305661,0.4920720565319061,0.7880450648069381,0.0022309056483209135,0.33595252424478533,0.9088873320817947,26.4020947049994,0.00028736599899825856,,,,,,,,0.009733507772907615
21,0.7892038464546204,0.03633294544182718,0.48805550366640094,0.783026612997055,0.0018670151312835514,0.33294111356139183,0.9009284687042236,24.71584313800122,0.00028565357410463663,,,,,,,,0.007679196787066757
22,0.7957554757595062,0.0333846690505743,0.4908071732521057,0.7878307491540909,0.0016285661433357746,0.3396328182518482,0.9107343077659606,25.142715689999022,0.0002838381357927591,,,,,,,,0.007149041476659477
23,0.7771763917803765,0.030502230832353233,0.4785067453980446,0.7601551187038421,0.0013706381246447563,0.33131935775279997,0.8872071307897568,24.08816456400018,0.00028192106268097334,,,,,,,,0.0064848757535219195
24,0.7673125058412552,0.03209123288281262,0.47322401255369184,0.8047784483432769,0.0011672947276383638,0.32641485437750817,0.8814233759045601,22.04467969000143,0.0002799038105676658,,,,,,,,0.006241496736183762
25,0.766266542673111,0.031504067187197504,0.4723615710437298,0.7799673712253571,0.0009729638422140851,0.32978595145046713,0.8812877464294434,22.532499237000593,0.000277787911325749,,,,,,,,0.005474193287082017
26,0.8003264892101288,0.028012220030650497,0.4914008009433746,0.7984863096475601,0.0007928670302499085,0.346401509642601,0.9186577123403549,23.17037613499997,0.00027557497173937923,,,,,,,,0.004835641786921769
27,0.7598836997151375,0.027299058879725634,0.4668498620390892,0.8089222943782807,0.0006938432075548917,0.32565838143229486,0.8742310881614686,23.295365378999122,0.00027326667228378673,,,,,,,,0.003979620165191591
28,0.7591384902596474,0.02675636710599065,0.4661856585741043,0.7982138156890869,0.0005925883064628579,0.32762527503073213,0.8743926891684533,25.0118094820009,0.0002708647658491467,,,,,,,,0.0036537150759249925
29,0.766881472170353,0.024880526093766092,0.4700811150670052,0.7989279407262803,0.0005194008722901344,0.33452108815312387,0.8851369538903237,25.627185769999414,0.00026837107640945905,0.5984053482339745,0.4989509813872746,0.36487439276517436,0.5984053482339745,0.38735877246732064,0.5110888234605286,0.5452159426330846,0.003079953009728342
30,0.7621541866660118,0.02514324778225273,0.46734983056783674,0.8418053936958313,0.0004485914992983453,0.3293953128159046,0.881484891474247,26.076550570998734,0.0002657874976374481,,,,,,,,0.0026838980708271264
31,0.7419165293872356,0.026060413909144698,0.45557410463690756,0.7841356301307678,0.0003788454308232758,0.32261023223400115,0.8571040758490562,26.354280979001487,0.00026311599146653443,,,,,,,,0.002436166905099526
