epoch,dice,bce,seg,boundary,nested,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score,consistency
0,0.9726427370309829,0.6050110846757889,0.8255901056528091,0.7318942803144455,0.07193359527736902,0.9023762124776841,30.478500886000006,5.1e-05,,,,,,,,
1,0.9644639331102371,0.47124734371900556,0.7671773225069046,0.6867794185876847,0.018106390153989196,0.8367605811357498,27.40836143399997,0.00010099999999999999,,,,,,,,
2,0.9570180714130402,0.4264537134766579,0.7447923630475998,0.6861664134263993,0.007858848217874765,0.8138019442558289,26.25399473799996,0.00015099999999999998,,,,,,,,
3,0.9602059304714203,0.38477255642414093,0.7300326144695282,0.6809551519155502,0.005477752990555018,0.798402014374733,25.44754758399995,0.00020099999999999998,,,,,,,,
4,0.9551346373558044,0.34226419001817704,0.7099864858388901,0.6880848622322082,0.004462816768791527,0.7790181106328964,25.197530794000045,0.000251,,,,,,,,
5,0.9448702704906463,0.2967027342319489,0.6856032782793045,0.6847747504711151,0.0038041654287371785,0.7542709612846374,23.90007399900003,0.0003,,,,,,,,
6,0.9454968786239624,0.24807552590966225,0.6665283644199371,0.6866299265623093,0.0033051872137002647,0.735356616973877,24.168934690000015,0.0002999430460537427,,,,,,,,
7,0.9435419583320618,0.21180678486824037,0.6508479166030884,0.6954005938768387,0.0023295757779851554,0.7205044561624527,23.95824609400006,0.0002997722274649974,,,,,,,,
8,0.9266812807321548,0.18293034449219703,0.6291809356212616,0.7042440330982208,0.0021800737833837045,0.699714338183403,23.832356139000012,0.00029948767395100045,,,,,,,,
9,0.919119980931282,0.15639443174004555,0.6140297824144363,0.7015973117947578,0.003055057324236259,0.6843422657251358,23.516615236000007,0.0002990896015976924,0.3719522853348833,0.3558730600683394,0.30743049613040474,0.3719522853348833,0.33273504652961994,0.36293184834051506,0.36067633883447225,
10,0.9130018413066864,0.13454682640731336,0.6016198617219924,0.7001609328389168,0.0027402448491193354,0.6717729675769806,22.204135158999975,0.00029857831269562544,,,,,,,,
11,0.888690648674965,0.11722651317715645,0.580105013847351,0.7055319303274155,0.0033486785425338892,0.6508256381750107,24.14619203199993,0.00029795419551040833,,,,,,,,
12,0.8894798392057419,0.1013972831517458,0.5742468386888504,0.7203813254833221,0.003047298847232014,0.6464373379945755,24.25597647799998,0.00029721772398786267,,,,,,,,
13,0.8693219017982483,0.08722392417490482,0.5564827337861061,0.7023352909088135,0.0031907968723680824,0.6268758022785187,24.302887020999947,0.0002963694573941153,,,,,,,,
14,0.8831860011816025,0.07433059118688107,0.5596438613533974,0.7014945358037948,0.00309953827643767,0.6299482917785645,23.646243174999995,0.0002954100398908995,,,,,,,,
15,0.8636264061927795,0.07121734119951725,0.5466628041863442,0.7257698845863342,0.0030915882089175284,0.6193943691253662,23.692858054,0.0002943402000463875,,,,,,,,
16,0.8458945071697235,0.062485747672617435,0.5325310230255127,0.7438700434565544,0.002961101762484759,0.6070660799741745,24.299351588000036,0.0002931607502819261,,,,,,,,
17,0.840224524140358,0.060264067314565184,0.5282403618097306,0.7396271753311158,0.002307393086375669,0.6023184463381768,23.453164950999962,0.00029187258625509513,,,,,,,,
18,0.8639151066541672,0.06342288967221975,0.5437182429432869,0.7835642963647842,0.002275688755325973,0.6351522535085679,24.643624897999985,0.0002904766861795582,,,,,,,,0.064818971392815
19,0.8591704392433166,0.06373478086665273,0.5409961968660355,0.7852933627367019,0.0016684643953340128,0.6306746578216553,24.19374360300003,0.0002889741100822202,0.427658394202688,0.3931834563675983,0.31614670376409776,0.427658394202688,0.3327394433674125,0.41915253153269433,0.40616474380830203,0.05532851953292266
20,0.8322635090351105,0.05441864483058453,0.5211255860328674,0.7775772950053215,0.0011679934337735175,0.607343473136425,21.42561390500009,0.00028736599899825856,,,,,,,,0.04200882243691012
21,0.8358509874343872,0.05149537404999137,0.5221087637543679,0.7873975646495819,0.0009610497442190535,0.6079997274279595,21.904756829999997,0.00028565357410463663,,,,,,,,0.03551576619036496
22,0.8288934653997422,0.0519849942997098,0.5181300991773605,0.8095816832780838,0.0009575137033243663,0.603244466483593,24.903490108000142,0.0002838381357927591,,,,,,,,0.020541603213641794
