epoch,dice,bce,seg,boundary,nested,deep_supervision,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score,consistency
0,0.9788262385129929,0.7881678205728531,0.9025628978013992,0.764306298494339,0.09992601156234741,0.6007179874181747,1.5847078144550324,26.547128293997957,5.1e-05,,,,,,,,
1,0.9716075235605239,0.584715892970562,0.816850900053978,0.6990258431434632,0.033886791486293075,0.4917676591873169,1.3802154815196992,25.7048551279986,0.00010099999999999999,,,,,,,,
2,0.9624916821718216,0.4446803459525108,0.7553671807050705,0.6857869559526444,0.010223814477212727,0.4658682668209076,1.2903253293037416,24.762570889000926,0.00015099999999999998,,,,,,,,
3,0.9617463546991348,0.39525640577077864,0.7351504004001618,0.6862511116266251,0.005836085148621351,0.4498739364743233,1.253941253423691,25.101619099001255,0.00020099999999999998,,,,,,,,
4,0.9567846816778183,0.3473468038439751,0.7130095595121384,0.6806462454795837,0.00420949833933264,0.4327098500728607,1.213994505405426,24.139931867000996,0.000251,,,,,,,,
5,0.9501839488744735,0.29823642283678053,0.6894049680233002,0.6764260387420654,0.0030541125417221336,0.4164752385020256,1.1736755132675172,22.571268095998676,0.0003,,,,,,,,
6,0.9379198288917542,0.25007761508226395,0.662782964706421,0.6911879235506058,0.0022118962358217685,0.3925487968325615,1.1245611435174943,22.470170921998943,0.0002999430460537427,,,,,,,,
7,0.9264349019527436,0.2071719329059124,0.6387297403812409,0.6743847101926803,0.002964344380889088,0.3756436574459076,1.0819600903987885,22.20982356699824,0.0002997722274649974,,,,,,,,
8,0.930005568265915,0.17300000816583633,0.6272033661603927,0.6848976510763168,0.0026101940218359234,0.3756335148215294,1.0714571607112884,21.92917081699852,0.00029948767395100045,,,,,,,,
9,0.9132205307483673,0.14789423421025277,0.6070900350809098,0.6703203547000885,0.002900008402066305,0.3633979985117912,1.0376650708913804,22.571084495000832,0.0002990896015976924,0.4920124984501489,0.4398914644742621,0.35054242298582644,0.4920124984501489,0.3798449225163514,0.4478169724562857,0.46222918071095054,
10,0.8970179170370102,0.12591018110513688,0.588574843108654,0.6840679281949997,0.002988877856405452,0.3483277778327465,1.005458851456642,22.711471124002856,0.00029857831269562544,,,,,,,,
11,0.8903647029399872,0.10734295904636383,0.577156030535698,0.703137430548668,0.0029151053610257803,0.348760334700346,0.99637586414814,21.82197893600096,0.00029795419551040833,,,,,,,,
12,0.876582738161087,0.09222146093845368,0.562838250696659,0.6941115999221802,0.002876190794631839,0.3405859364569187,0.9729791617393494,21.88092380099988,0.00029721772398786267,,,,,,,,
13,0.8577088046073914,0.08078432310372591,0.5469390326738357,0.6982350242137909,0.002914316364331171,0.3326268780231476,0.9495351254940033,23.074848171996564,0.0002963694573941153,,,,,,,,
14,0.8632178694009781,0.06805844880640506,0.5451541224122047,0.6985340285301208,0.002860477502690628,0.3381127169728279,0.953263265490532,22.292294204999052,0.0002954100398908995,,,,,,,,
15,0.8207610821723939,0.061420411020517346,0.5170248341560364,0.7185588032007217,0.0025818306917790323,0.31952427223324775,0.9085340809822082,22.003304714999103,0.0002943402000463875,,,,,,,,
16,0.8283544063568116,0.05215588070452213,0.5178750178217888,0.7167314070463181,0.0022143837390467525,0.3260659237205982,0.9157248049974441,21.63380773300014,0.0002931607502819261,,,,,,,,
17,0.8002375346422196,0.048822519071400165,0.49967154711484907,0.7124087381362915,0.002192063913680613,0.31409952908754346,0.8851215469837189,22.95925442799853,0.00029187258625509513,,,,,,,,
18,0.8094534760713578,0.05117432041093707,0.5061418318748474,0.7728803050518036,0.0017698578379349782,0.33195488430559633,0.922917013168335,23.53416294300041,0.0002904766861795582,,,,,,,,0.03721888728323393
19,0.8288891726732254,0.04819233983755112,0.5166104573011399,0.7682224959135056,0.0015494640148244797,0.34251801565289497,0.9443332982063294,23.387989568000194,0.0002889741100822202,0.47056718335908626,0.4335172355175495,0.3678489708717412,0.47056718335908626,0.415706948004756,0.4142775751888062,0.4491803777578907,0.04152548918442335
20,0.8053405153751373,0.048408596981316804,0.5025677686929703,0.7739181807637214,0.0010342992271762342,0.3328456684947014,0.9201818704605103,24.045977028999914,0.00028736599899825856,,,,,,,,0.036624537627212704
21,0.7990365278720856,0.04137086467817426,0.49597028106451035,0.7774582290649414,0.0007469964191841427,0.32902962431311605,0.9064999705553055,22.727043055998365,0.00028565357410463663,,,,,,,,0.01858446712954901
22,0.8061509758234024,0.03840597961097956,0.4990529936552048,0.7619010186195374,0.0008529588225064799,0.3366754999756813,0.9141248655319214,23.73684901100205,0.0002838381357927591,,,,,,,,0.010818121759220957
23,0.7888662651181221,0.03496543522924185,0.48730595350265504,0.7610613405704498,0.0009595248280675151,0.3314170244336128,0.8964269095659256,23.205667967999034,0.00028192106268097334,,,,,,,,0.007749105743132531
