group_id,qmmf,hemis,no_quality,unet25d
sg_208587454a785b38,0.4994095783680656,0.256073046675998,0.5030977972821699,0.4233506657387977
sg_310e9599bf94bf9b,0.4842209521104482,0.2588727641041358,0.4925844930859937,0.4453233273396964
sg_332e12d666debe62,0.5461056048972907,0.3584433056173539,0.5421616340832158,0.519068897697702
sg_4151cfd07ac3e1b0,0.3291924973698378,0.2509545509987125,0.3452342602028246,0.3996268538716194
sg_444c950e61a18f08,0.0277030191212895,0.0,0.0229104828133436,0.0080502114886069
sg_455084cc52da07da,0.3563501141900314,0.0482231985081637,0.3536109054285374,0.1973667365066505
sg_4c38c49cc72ad103,0.280946498697241,0.0961848405767547,0.3395336086643244,0.2336881328510045
sg_56143f5cb2b81628,0.4140646124241868,0.4194793182593145,0.3969895467414959,0.3737140773937972
sg_5c0779fb48082fce,0.0517141389985445,0.0042539528809749,0.0598832255294963,0.0396889303466578
sg_8564c7b4b8bd716c,0.3918371133118086,0.3229064407437409,0.4282429648349033,0.4144530265609323
sg_a79c24b2ab681a89,0.3300177548622258,0.0298982422108092,0.3233325200655057,0.2353569092154291
sg_b22b67d112cc5d1a,0.332300399408218,0.3017138686172697,0.3263698067602268,0.3415776528406617
sg_b8270589d730933f,0.4911961674394736,0.1629520551801975,0.4706608057455952,0.4911954210507365
sg_d72cc5be6db7b3ed,0.3556558146333287,0.2277893788915674,0.4320069623758624,0.3634491334315275
sg_edd8bce225d29352,0.4453973807490761,0.3468621320453667,0.4830412279768722,0.4552333256078684
