group_id,qmmf,hemis,no_quality,unet25d
sg_208587454a785b38,0.5667730660641488,0.4979269561923586,0.5856593583412485,0.5764255634868547
sg_310e9599bf94bf9b,0.7394930595072668,0.6221945400655304,0.7466135689605896,0.6921786600600022
sg_332e12d666debe62,0.7919310847084066,0.6971180778265595,0.8112915884157965,0.7903116665112507
sg_4151cfd07ac3e1b0,0.6878056347904328,0.5920766707705031,0.6805945752273277,0.596285304128243
sg_444c950e61a18f08,0.3875768458741678,0.3380700497172197,0.5196467025212363,0.3585342975721354
sg_455084cc52da07da,0.5753496597496492,0.4600767965680294,0.6756417100465052,0.5756440509285031
sg_4c38c49cc72ad103,0.7103395191378646,0.588671867236883,0.7093797297262352,0.6677462002887226
sg_56143f5cb2b81628,0.4799072930679742,0.4639733278440864,0.4994109761624808,0.4909435269454775
sg_5c0779fb48082fce,0.5222235595885159,0.3446459511991584,0.5246244580411603,0.4092207755494111
sg_8564c7b4b8bd716c,0.6616623688481522,0.5724774923896995,0.6681151204346583,0.642585689083877
sg_a79c24b2ab681a89,0.5236921256330163,0.4531921970628746,0.5432260496279074,0.4204867052219816
sg_b22b67d112cc5d1a,0.5236001616297963,0.4555510572112947,0.5511202140484917,0.5091372461494424
sg_b8270589d730933f,0.7724716871220447,0.7309899511338512,0.7859068954282079,0.7763733742654022
sg_d72cc5be6db7b3ed,0.646078103643643,0.5631503554838698,0.668352369681378,0.5893194466664265
sg_edd8bce225d29352,0.7547075347393617,0.654444084079183,0.7400245125978553,0.7146203463907611
