group_id,qmmf,hemis,no_quality,unet25d
sg_208587454a785b38,0.65937190522617,0.5619448430047732,0.6701524056748216,0.6887494799613174
sg_310e9599bf94bf9b,0.8800542829535544,0.7644448367113501,0.8832817763268651,0.8526479675067163
sg_332e12d666debe62,0.939243558604492,0.8638614354750551,0.9399145861892282,0.9434756167598566
sg_4151cfd07ac3e1b0,0.8474331367570359,0.8178774478429137,0.8430072036164833,0.8014179564854973
sg_444c950e61a18f08,0.6886349542084487,0.6299996987002215,0.6778256609927924,0.611891058357212
sg_455084cc52da07da,0.8193186283783639,0.6968601850566455,0.8228935833614571,0.7776324012887842
sg_4c38c49cc72ad103,0.8694410580826688,0.792585682274092,0.8931365926899488,0.8695226723632179
sg_56143f5cb2b81628,0.557798926441234,0.4925953410413601,0.5228800386366893,0.5706162610866502
sg_5c0779fb48082fce,0.7820005952317484,0.6995415104785658,0.7385036584247869,0.8080386262451247
sg_8564c7b4b8bd716c,0.8671195605432803,0.8080894556111268,0.867922128746447,0.8457510412913533
sg_a79c24b2ab681a89,0.624034504193633,0.5240657719523539,0.6057557623435744,0.6226221780609884
sg_b22b67d112cc5d1a,0.7207366714432522,0.4955459169139921,0.6805893182225526,0.7582617398259117
sg_b8270589d730933f,0.915415942567444,0.8743145296251656,0.9109774160384246,0.8979582409900958
sg_d72cc5be6db7b3ed,0.8431379279305227,0.7242691728663121,0.8540575596331662,0.7997987438310693
sg_edd8bce225d29352,0.9316970953517276,0.8301953245473622,0.9343065946306016,0.9114911706684312
