epoch,dice,bce,seg,boundary,nested,total,epoch_seconds,lr,consistency,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score
0,0.9712686523795128,0.5983958959579467,0.822119589149952,0.7017462745308876,0.11844454649835826,0.8982164457440376,44.491496788000006,0.0002954100398908995,,,,,,,,
1,0.9667622074484825,0.4491314508020878,0.7597099408507347,0.6818595856428147,0.13455126974731685,0.8346234649419785,41.17232442200003,0.00026837107640945905,,,,,,,,
2,0.962769603729248,0.4237272650003433,0.7471526995301246,0.6931464552879334,0.1286236897110939,0.8440722763538361,38.88014895499998,0.00022139210895556104,0.10586876589804887,,,,,,,
3,0.9620290577411652,0.4057769477367401,0.7395282462239265,0.7003761976957321,0.12745865453034638,0.823738907277584,38.82438645299999,0.00016238690182084986,0.03900055689737201,0.18623518534515324,0.15649963166132586,0.09543521717299265,0.18623518534515324,0.18085755078678664,0.10240615885203772,0.16823452242278897
4,0.9705352663993836,0.38835530504584315,0.73766331076622,0.6991358160972595,0.12065758910030126,0.8208531200885772,38.78321499600008,0.00010129507961929748,0.03621675856411457,,,,,,,
5,0.9593664243817329,0.38193122372031213,0.7283923730254174,0.70233553647995,0.12078841999173165,0.8114924818277359,39.66703216500002,4.840776425613886e-05,0.03413567375391722,,,,,,,
6,0.9645646840333939,0.37644255459308623,0.7293158620595932,0.7125590860843658,0.12170185707509518,0.8132915824651719,38.262145659,1.2634001001741373e-05,0.03317361646331847,,,,,,,
7,0.9570678070187568,0.3722830154001713,0.7231539264321327,0.6959815487265587,0.12196653969585895,0.805341114103794,39.984351704000005,0.0,0.032453538523986934,0.17623086295811347,0.14215677847520472,0.06563823524042357,0.17623086295811347,0.18460123722707705,0.06563823524042357,0.15494937484147184
