model,region,dice_nonempty_reference,group_dice_nonempty_reference,n_groups_with_nonempty_reference,n_nonempty_reference,n_empty_reference,n_empty_predictions,n_empty_reference_false_positives
qmmf,et,0.7876453553446863,0.7783783551230241,53,89,2,0,2
qmmf,tc,0.7909729736359209,0.7761956171847291,55,91,0,0,0
qmmf,wt,0.8623434390031298,0.8586900211225198,55,91,0,0,0
hemis,et,0.6292784797379515,0.6306575588221079,53,89,2,0,2
hemis,tc,0.6795422718275788,0.6803599750680723,55,91,0,0,0
hemis,wt,0.8096979093945071,0.8055383337605092,55,91,0,0,0
unet25d,et,0.7675679127022933,0.7584678495197756,53,89,2,0,2
unet25d,tc,0.7678696207095459,0.7502195433358617,55,91,0,0,0
unet25d,wt,0.8425638524488765,0.8299066257903026,55,91,0,0,0
no_quality,et,0.7976008515409113,0.7910596025480577,53,89,2,0,2
no_quality,tc,0.8077100776459084,0.7983780152908911,55,91,0,0,0
no_quality,wt,0.8688526606258428,0.8635709794071847,55,91,0,0,0
no_variance,et,0.7872659114394159,0.776524973413645,53,89,2,0,2
no_variance,tc,0.7966945261657861,0.7843645325136269,55,91,0,0,0
no_variance,wt,0.8681166955090689,0.8621150546005973,55,91,0,0,0
no_max,et,0.7814178673374143,0.7732004695016378,53,89,2,0,2
no_max,tc,0.7930172378657528,0.7828196330804594,55,91,0,0,0
no_max,wt,0.8695238190434236,0.8618544268215153,55,91,0,0,0
no_consistency,et,0.7808683722154814,0.7721275600659018,53,89,2,0,2
no_consistency,tc,0.7889717379973975,0.7736802424256306,55,91,0,0,0
no_consistency,wt,0.8651556876030032,0.8607459579776713,55,91,0,0,0
shuffled_quality,et,0.7822101030167077,0.7733455048056174,53,89,2,0,2
shuffled_quality,tc,0.7935806196639322,0.7797363324457824,55,91,0,0,0
shuffled_quality,wt,0.866826302116292,0.8624384343305169,55,91,0,0,0
matched_moment_fusion,et,0.7939260227682048,0.7857136611785361,53,89,2,0,2
matched_moment_fusion,tc,0.8065657326640167,0.7950523741939552,55,91,0,0,0
matched_moment_fusion,wt,0.8680257100349803,0.8607153452452645,55,91,0,0,0
