epoch,dice,bce,seg,boundary,nested,deep_supervision,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score,consistency,model
0,0.9746867430210112,0.6532614481449127,0.8461166542768478,0.7283077204227447,0.0495578376203775,0.5914580219984055,1.512883335351944,27.51506907800001,5.1e-05,,,,,,,,,qmmf
1,0.9687437200546264,0.4759150800108909,0.7716122949123383,0.6954866003990173,0.0283373701386153,0.4865248993039131,1.3291027176380157,24.866534855,0.0001009999999999,,,,,,,,,qmmf
2,0.9560945254564284,0.3843146482110023,0.7273826020956039,0.6945295321941376,0.0234629078768193,0.4590667870640754,1.2570754778385165,24.08150556800001,0.0001509999999999,,,,,,,,,qmmf
3,0.947257342338562,0.3449374821782112,0.7063294279575348,0.6806098836660385,0.0194021526817232,0.4374616551399231,1.212822185754776,24.45573884300001,0.0002009999999999,,,,,,,,,qmmf
4,0.9578228360414504,0.3007688298821449,0.6950012576580048,0.6738196778297424,0.0134873675089329,0.4300937792658806,1.1931513679027557,23.74847050400001,0.000251,,,,,,,,,qmmf
5,0.9418535089492798,0.2579959763586521,0.6683105176687241,0.6788613730669022,0.0096996393240988,0.4048124840855598,1.1414941197633743,24.104665065999995,0.0003,,,,,,,,,qmmf
6,0.9374012506008148,0.2144948747754097,0.6482387232780457,0.6784361308813095,0.0069594749109819,0.3892692691087723,1.1056995791196824,23.362897662000023,0.0002999430460537,,,,,,,,,qmmf
7,0.9286455792188644,0.176358286589384,0.6277306813001633,0.665959153175354,0.005799415288493,0.3715592634677886,1.066175833940506,23.80033725799996,0.0002997722274649,,,,,,,,,qmmf
8,0.9228746122121811,0.1496777218580246,0.6135958775877952,0.6880470436811447,0.0043578137340955,0.371978512853384,1.0545969885587692,24.04873280700008,0.000299487673951,,,,,,,,,qmmf
9,0.8917105144262314,0.1280024909228086,0.5862273281812668,0.6771677899360656,0.0062126305047422,0.3469166001677513,1.0011713373661042,23.664346282999983,0.0002990896015976,0.4429655935839252,0.427751792084355,0.3531186332342963,0.4429655935839252,0.3861441276343967,0.4541456550347429,0.4294167570990912,,qmmf
10,0.8964313942193985,0.1055154720693826,0.5800650480389595,0.6695732772350311,0.0048842595680616,0.3506599110364914,0.9979265010356904,24.579442170999982,0.0002985783126956,,,,,,,,,qmmf
11,0.8745293760299683,0.0894824068248272,0.5605106100440025,0.6865301203727722,0.004826362238964,0.3388531197607517,0.968258062005043,24.600122386999946,0.0002979541955104,,,,,,,,,qmmf
12,0.856867208480835,0.0776534835621714,0.5451817402243614,0.6909630998969079,0.0049589648144319,0.3262165196239948,0.9407425159215927,24.614305554,0.0002972177239878,,,,,,,,,qmmf
13,0.8549745982885361,0.0656058523803949,0.5392271181941033,0.6848120629787445,0.0048198898066766,0.3332718327641487,0.9412211507558824,25.31055126499996,0.0002963694573941,,,,,,,,,qmmf
14,0.8372817099094391,0.0571114907041192,0.525213643014431,0.7009337881207466,0.0042778422893024,0.3288646118342876,0.9243855276703834,23.50034061999997,0.0002954100398908,,,,,,,,,qmmf
15,0.8128724360466003,0.0502993344143033,0.5078432151675224,0.6968183952569962,0.0042459501349367,0.3170044378936291,0.8947417896986007,24.62710073900007,0.0002943402000463,,,,,,,,,qmmf
16,0.8244252318143844,0.0427636422775685,0.511760616004467,0.722015663087368,0.0033595666615292,0.3286665211617947,0.9127966845035552,23.88567063000005,0.0002931607502819,,,,,,,,,qmmf
17,0.8069621711969376,0.0408327847346663,0.5005104383826255,0.7161258459091187,0.0029479972831904,0.3208796092122793,0.8931500282883644,24.177190139000004,0.000291872586255,,,,,,,,,qmmf
18,0.8397749388217925,0.0446931519173085,0.5217422437667847,0.7958772593736648,0.0024137933854945,0.3526223781704902,0.9656723523139954,24.739238202000024,0.0002904766861795,,,,,,,,0.0579965383559465,qmmf
19,0.8234954887628555,0.0440569342300295,0.5117200866341591,0.7796007195115089,0.0019907006330322,0.3435274624824524,0.9365394407510758,22.55810038300001,0.0002889741100822,0.6056960939873185,0.5243588322912944,0.4068620432871064,0.6056960939873185,0.4261766625785925,0.5412037403079725,0.56141151040849,0.0161614250554703,qmmf
20,0.8011870998144149,0.0411779524572193,0.4971834602952003,0.7709639409184456,0.0017820914980256,0.3361063793301582,0.9121044671535492,25.248042338999998,0.0002873659989982,,,,,,,,0.008145653582178,qmmf
21,0.8051541012525558,0.0362782344035804,0.4976037746667862,0.8030750674009323,0.0014151627611136,0.3371956051886082,0.9166898423433304,25.35763784200003,0.0002856535741046,,,,,,,,0.0075609997473657,qmmf
22,0.7642901763319969,0.0354522656276822,0.4727550302445888,0.7776077824831009,0.001239616057137,0.319996962249279,0.8718945860862732,26.01166496199994,0.0002838381357927,,,,,,,,0.006599178770557,qmmf
23,0.7744402474164963,0.0322888532094657,0.4775797095894813,0.7830726981163025,0.0009466620284365,0.3254450872540474,0.8825365960597992,25.06930123699999,0.0002819210626809,,,,,,,,0.0057859798334538,qmmf
24,0.7763128331303597,0.0292293538246303,0.4774794596433639,0.7772421127557755,0.0008426962365047,0.3291394257545471,0.8853951346874237,25.014101106999988,0.0002799038105676,,,,,,,,0.0050495040789246,qmmf
25,0.7847754588723183,0.0257544652093201,0.4811670804023742,0.7715980684757233,0.0006912752790958,0.3327295409142971,0.8920222383737564,25.22078113800012,0.0002777879113257,,,,,,,,0.0046562495571561,qmmf
26,0.7457248392701149,0.0285681548900902,0.4588621827960014,0.7798365709185601,0.0005995496151444,0.3180985516309738,0.8558558130264282,25.597316801000037,0.0002755749717393,,,,,,,,0.0044072065385989,qmmf
27,0.7720531654357911,0.0267620728490874,0.4739367470145225,0.7942141669988633,0.0005458955235371,0.3321522064507007,0.8864213845133782,25.41776868300008,0.0002732666722837,,,,,,,,0.0044185892306268,qmmf
28,0.7642956873774529,0.0279137588012963,0.4697429376840591,0.7958652952313423,0.0004699977367999,0.3277582339942455,0.8779140049219132,23.926784451999996,0.0002708647658491,,,,,,,,0.0040139898448251,qmmf
29,0.7402781429886818,0.0284976942371577,0.4555659821629524,0.8134616082906723,0.0004116609346237,0.319801571816206,0.8574365293979644,23.24439600899996,0.0002683710764094,0.6805252775214784,0.5750469835495744,0.4199175800083339,0.6805252775214784,0.4539824805828691,0.5906331925443756,0.6228210195785927,0.0035111681954003,qmmf
30,0.7400330096483231,0.0261541343759745,0.4544814758002758,0.7869298684597016,0.0003544353483812,0.3188907565176487,0.8526879042387009,24.862782640999967,0.0002657874976374,,,,,,,,0.003024810020579,qmmf
31,0.7501919004321098,0.0227160459943115,0.4592015770077705,0.7817358186841011,0.0002713303098607,0.3257846752554178,0.8636874631047249,25.728230290999814,0.0002631159914665,,,,,,,,0.0025702951301354,qmmf
32,0.7639682149887085,0.0230286480486392,0.4675924055278301,0.790988153219223,0.0001768614812681,0.3298104435950517,0.8769812422990799,25.744860587999938,0.0002603585866009,,,,,,,,0.0023536877613514,qmmf
33,0.724134281873703,0.0239475476089864,0.4440596026182175,0.7930990600585938,0.0001604978868635,0.3155684822797775,0.8393780893087387,24.84516825300011,0.0002575173769752,,,,,,,,0.002160391069483,qmmf
34,0.7283491370081902,0.0246095498977229,0.4468533192574977,0.7993530827760696,0.0002291798386795,0.3168737897276878,0.8441146403551102,25.185703086000103,0.000254594520164,,,,,,,,0.0022038218600209,qmmf
35,0.755234112739563,0.0214198696659877,0.4617084360122681,0.7902695852518081,0.0001345480357576,0.3288755144178867,0.8699514234066009,25.31381227099996,0.0002515922357438,,,,,,,,0.0016690014232881,qmmf
36,0.7306034243106843,0.0232096633361652,0.4476459364593029,0.7907139527797699,0.0001681690152599,0.3190691637992859,0.8462069079279899,24.426887244,0.0002485128036071,,,,,,,,0.0020600021083373,qmmf
37,0.7240831491351127,0.021951212179847,0.4432303939759731,0.7919919312000274,0.0001536889053863,0.31722825050354,0.8399882784485817,23.074099545999843,0.0002453585622314,,,,,,,,0.0016137551233987,qmmf
38,0.7317659571766854,0.0222459492273628,0.4479579707980156,0.7625122171640396,0.0001178678621545,0.3211266250908375,0.8457256656885147,22.907225372000084,0.0002421319069034,,,,,,,,0.0019197885270114,qmmf
39,0.7156535808742046,0.0209627070860005,0.4377772508561611,0.7881474789977073,0.0001084134548045,0.3137927129864692,0.8307272964715957,22.73641717600003,0.0002388352878997,0.6919153857661575,0.5937632928389347,0.4736299738206637,0.6919153857661575,0.4822648776815386,0.607109615069108,0.6406412166934413,0.0016858218895504,qmmf
40,0.7071579313278198,0.0228774745203554,0.4334457655251026,0.815361521244049,0.0001220683074609,0.3105953954160213,0.8260074588656425,24.321449164000114,0.0002354712086265,,,,,,,,0.002120179523481,qmmf
41,0.7421098375320434,0.0230905734794214,0.4545021495223045,0.7867705500125886,0.0001297633776221,0.3265508230030536,0.8601609534025192,25.21751885200001,0.0002320422237183,,,,,,,,0.002122170713992,qmmf
42,0.7438547471165657,0.0212478380580432,0.454812004417181,0.8084656521677971,0.0001142921030285,0.3267227665334939,0.8627327701449394,24.7036187130002,0.0002285509370981,,,,,,,,0.0017286072946444,qmmf
43,0.732158076763153,0.0220619371230714,0.4481196373701095,0.8018944185972213,0.0001049683409632,0.3205887416005135,0.8493160545825958,25.076036445,0.000225,,,,,,,,0.0020648909160809,qmmf
44,0.7099906155467033,0.0218023470882326,0.4347153271734714,0.78578433573246,7.634949360635801e-05,0.3125658611953258,0.8262100344896317,24.263698326000167,0.0002213921089555,,,,,,,,0.0017329852594411,qmmf
45,0.7359830403327942,0.0184345324989408,0.4489636574685574,0.8126016250252723,6.95638669805021e-05,0.3226538099348545,0.8531567740440369,25.116655478999974,0.0002177300037466,,,,,,,,0.0013782951203029,qmmf
46,0.7371991676092148,0.0194762085215188,0.4501100006699562,0.7899984419345856,9.697048150883349e-05,0.3245458531379699,0.854005537033081,24.013779774000117,0.0002140164653244,,,,,,,,0.0017249444768094,qmmf
47,0.7233499571681022,0.020858044726774,0.442353208065033,0.7943989783525467,8.450779718302215e-05,0.3188713177293539,0.8410848626494407,22.794098600000098,0.0002102543136979,,,,,,,,0.0020810527623689,qmmf
48,0.7246359306573867,0.0193840099917724,0.4425351789593696,0.8013711705803871,6.588110774146117e-05,0.3177366288006306,0.8408109003305435,23.24946831200009,0.0002064464057921,,,,,,,,0.0019934082047984,qmmf
49,0.6936337807774544,0.0194950286555103,0.4239782981574535,0.776089226603508,8.06703074161419e-05,0.3074672892689705,0.8094046592712403,23.17864982599985,0.0002025956332789,0.6941822602295606,0.6018486968902299,0.471371725955451,0.6941822602295606,0.4984564837361975,0.6129073467049316,0.6442011378003504,0.0017305505052718,qmmf
