model,metric,mean,ci_low,ci_high,n_groups,resampling_unit
qmmf,outer_macro_dice,0.80206441209393,0.7664230666734474,0.8332784676147028,55,group
hemis,outer_macro_dice,0.7042339852034634,0.6595196554326993,0.7429882539415912,55,group
unet25d,outer_macro_dice,0.7759985883712738,0.7342144320454753,0.8115496424280868,55,group
no_quality,outer_macro_dice,0.8153146598504711,0.7817275163650871,0.8439672353606545,55,group
no_variance,outer_macro_dice,0.8061482851033789,0.7708698928302352,0.8362892922063689,55,group
no_max,outer_macro_dice,0.8042821115475348,0.7707943506696779,0.8334844906038493,55,group
no_consistency,outer_macro_dice,0.7999287479257297,0.7624039567478521,0.832628290503813,55,group
shuffled_quality,outer_macro_dice,0.8037576215249475,0.7681796953141619,0.8345934738136177,55,group
matched_moment_fusion,outer_macro_dice,0.8125440004965008,0.7768283325160298,0.8426925376811633,55,group
qmmf,mean_subset_macro_dice,0.6457954670912914,0.5933118384770917,0.6966234760665887,16,group
hemis,mean_subset_macro_dice,0.544685083462949,0.48014338382815214,0.6063242027228585,16,group
unet25d,mean_subset_macro_dice,0.6008130223120958,0.5328844127233217,0.6652614861986268,16,group
no_quality,mean_subset_macro_dice,0.6594289732113932,0.6096454820400948,0.7097481948575324,16,group
no_variance,mean_subset_macro_dice,0.6436810439922782,0.5917230490600757,0.6940552784510304,16,group
no_max,mean_subset_macro_dice,0.6473972865295778,0.5929223156607428,0.699301032671705,16,group
no_consistency,mean_subset_macro_dice,0.6423069410038661,0.5881152012753338,0.6953225844957437,16,group
shuffled_quality,mean_subset_macro_dice,0.6411062006364401,0.5865009224968978,0.6931095729091727,16,group
matched_moment_fusion,mean_subset_macro_dice,0.6562380859191688,0.6007145507578292,0.7095471719769998,16,group
qmmf,worst_subset_macro_dice,0.33303778092719927,0.2488282020580374,0.41985462202762436,16,group
hemis,worst_subset_macro_dice,0.2621573769632251,0.18747315931154795,0.3426978082460515,16,group
unet25d,worst_subset_macro_dice,0.28680848482416116,0.1986132140299654,0.38001525782106194,16,group
no_quality,worst_subset_macro_dice,0.36263747930782975,0.28194148832816834,0.44813275167115607,16,group
no_variance,worst_subset_macro_dice,0.34141495751956497,0.2574200404584635,0.42672052062983795,16,group
no_max,worst_subset_macro_dice,0.34724538720961157,0.2605640587965639,0.43369719771102966,16,group
no_consistency,worst_subset_macro_dice,0.3458910800930491,0.26183158986936994,0.4359390477974188,16,group
shuffled_quality,worst_subset_macro_dice,0.3317346583027068,0.2522324029369275,0.41442916072716796,16,group
matched_moment_fusion,worst_subset_macro_dice,0.3502020631455296,0.26426107406261024,0.44156467070449695,16,group
