reference,control,metric,difference,ci_low,ci_high,n_groups,resampling_unit
qmmf,hemis,outer_macro_dice,0.09783042689046662,0.07907944268169732,0.11856697493431036,55,group
qmmf,unet25d,outer_macro_dice,0.0260658237226562,0.012023182287221655,0.04154759891550342,55,group
qmmf,no_quality,outer_macro_dice,-0.013250247756541156,-0.019571235495160766,-0.006911641381132275,55,group
qmmf,no_variance,outer_macro_dice,-0.004083873009448902,-0.01358235915653996,0.005708347313355093,55,group
qmmf,no_max,outer_macro_dice,-0.0022176994536048378,-0.008782165210966872,0.004700504909957985,55,group
qmmf,no_consistency,outer_macro_dice,0.002135664168200324,-0.0010392451578616845,0.006045120653014262,55,group
qmmf,shuffled_quality,outer_macro_dice,-0.0016932094310174728,-0.009446174025045573,0.007611875412732917,55,group
qmmf,matched_moment_fusion,outer_macro_dice,-0.010479588402570794,-0.022219808203293227,-0.00034030791986566333,55,group
qmmf,hemis,mean_subset_macro_dice,0.10111038362834246,0.06421975309366829,0.13278237165192025,16,group
qmmf,unet25d,mean_subset_macro_dice,0.04498244477919566,0.01830460751350211,0.07205481650723031,16,group
qmmf,no_quality,mean_subset_macro_dice,-0.013633506120101724,-0.02484423480338662,-0.002584126262888932,16,group
qmmf,no_variance,mean_subset_macro_dice,0.0021144230990132185,-0.006163697955731467,0.0096617312002191,16,group
qmmf,no_max,mean_subset_macro_dice,-0.0016018194382864115,-0.009589389246410382,0.005760414797469792,16,group
qmmf,no_consistency,mean_subset_macro_dice,0.0034885260874253365,-0.0011998822070788035,0.00845114955988162,16,group
qmmf,shuffled_quality,mean_subset_macro_dice,0.0046892664548513485,-0.0038237999752240015,0.014735382890633848,16,group
qmmf,matched_moment_fusion,mean_subset_macro_dice,-0.010442618827877337,-0.02082698662959747,0.00014489529764915825,16,group
qmmf,hemis,worst_subset_macro_dice,0.07088040396397416,-0.025122073608182593,0.14056767897607103,16,group
qmmf,unet25d,worst_subset_macro_dice,0.04622929610303811,0.00704868086169917,0.08817892296736947,16,group
qmmf,no_quality,worst_subset_macro_dice,-0.02959969838063048,-0.05275501584820352,-0.007727871246165249,16,group
qmmf,no_variance,worst_subset_macro_dice,-0.008377176592365698,-0.018700181599140664,0.0015291999631073011,16,group
qmmf,no_max,worst_subset_macro_dice,-0.0142076062824123,-0.0362495647034993,0.005952429656532623,16,group
qmmf,no_consistency,worst_subset_macro_dice,-0.012853299165849819,-0.021567832806074896,-0.0036280185004167903,16,group
qmmf,shuffled_quality,worst_subset_macro_dice,0.0013031226244924476,-0.01415131814413043,0.018400002763001935,16,group
qmmf,matched_moment_fusion,worst_subset_macro_dice,-0.01716428221833033,-0.0433767948835824,0.004041030211791406,16,group
