epoch,dice,bce,seg,boundary,nested,deep_supervision,total,epoch_seconds,lr,val_full_macro_dice,val_mean_subset_macro_dice,val_worst_subset_macro_dice,val_macro_dice::t1+t1ce+t2+flair,val_macro_dice::t1+t2+flair,val_macro_dice::t1+t1ce+t2,selection_score,consistency,model,seed,fold
9,0.8917105144262314,0.1280024909228086,0.5862273281812668,0.6771677899360656,0.0062126305047422,0.3469166001677513,1.0011713373661042,23.664346282999983,0.0002990896015976,0.4429655935839252,0.427751792084355,0.3531186332342963,0.4429655935839252,0.3861441276343967,0.4541456550347429,0.4294167570990912,,qmmf,42,0
19,0.8234954887628555,0.0440569342300295,0.5117200866341591,0.7796007195115089,0.0019907006330322,0.3435274624824524,0.9365394407510758,22.55810038300001,0.0002889741100822,0.6056960939873185,0.5243588322912944,0.4068620432871064,0.6056960939873185,0.4261766625785925,0.5412037403079725,0.56141151040849,0.0161614250554703,qmmf,42,0
29,0.7402781429886818,0.0284976942371577,0.4555659821629524,0.8134616082906723,0.0004116609346237,0.319801571816206,0.8574365293979644,23.24439600899996,0.0002683710764094,0.6805252775214784,0.5750469835495744,0.4199175800083339,0.6805252775214784,0.4539824805828691,0.5906331925443756,0.6228210195785927,0.0035111681954003,qmmf,42,0
39,0.7156535808742046,0.0209627070860005,0.4377772508561611,0.7881474789977073,0.0001084134548045,0.3137927129864692,0.8307272964715957,22.73641717600003,0.0002388352878997,0.6919153857661575,0.5937632928389347,0.4736299738206637,0.6919153857661575,0.4822648776815386,0.607109615069108,0.6406412166934413,0.0016858218895504,qmmf,42,0
49,0.6936337807774544,0.0194950286555103,0.4239782981574535,0.776089226603508,8.06703074161419e-05,0.3074672892689705,0.8094046592712403,23.17864982599985,0.0002025956332789,0.6941822602295606,0.6018486968902299,0.471371725955451,0.6941822602295606,0.4984564837361975,0.6129073467049316,0.6442011378003504,0.0017305505052718,qmmf,42,0
59,0.6869142210483551,0.0166492061549797,0.4188082325458526,0.7516465225815773,4.744570403801163e-05,0.3047767252475023,0.7990966853499413,24.20188579700016,0.0001623869018208,0.7064851715497585,0.6050139041983935,0.4758490781000379,0.7064851715497585,0.48975186619581,0.6188046748496122,0.6529801819993769,0.0017235138980322,qmmf,42,0
69,0.7239587730169297,0.01444728081231,0.4401541922986507,0.775338661968708,4.08552498976178e-05,0.3196252816915512,0.8375846749544144,24.71491460700008,0.0001212434052114,0.7127958407317463,0.6117573810826237,0.4711308904940837,0.7127958407317463,0.4882318432716541,0.6342444592444706,0.6583178078132432,0.0013464591544016,qmmf,42,0
79,0.7030702865123749,0.0204541473882272,0.4300238484144211,0.7907063749432564,8.205194378660963e-05,0.3110454200208187,0.8207333531975746,24.94378586499988,8.226999625336662e-05,0.7412285712726526,0.652051183544342,0.525014466578833,0.7412285712726526,0.5255649336527283,0.6893600457076449,0.6928539444847774,0.0029467060530441,qmmf,42,0
89,0.6929435694217682,0.0190924460673704,0.4234031355381012,0.7886789834499359,8.873175566122882e-05,0.3089039580523968,0.8117249855399131,24.533410452000226,4.840776425613886e-05,0.7162016572498396,0.6304555037771249,0.5061592957376904,0.7162016572498396,0.5061592957376904,0.6690055583438447,0.6694735750568103,0.0027278039851807,qmmf,42,0
99,0.7279591482877731,0.015470299697481,0.4429636263847351,0.785816747546196,6.786415002977719e-05,0.3240340037643909,0.846007032096386,24.105143618000056,2.221208867425096e-05,0.7131558795076872,0.6264044725561088,0.5112110308926804,0.7131558795076872,0.5140631392017455,0.6519943989588936,0.6669359725607129,0.0021216445559457,qmmf,42,0
109,0.7157944935560226,0.0151808093627914,0.4355490383505821,0.7616602611541748,6.104427188745376e-05,0.3179548148065805,0.830032616853714,24.16689398499966,5.659799953612438e-06,0.7240053730058703,0.6390371216226193,0.5216478083936187,0.7240053730058703,0.5216478083936187,0.6714581834683688,0.6782791411296698,0.0017984179628626,qmmf,42,0
119,0.6937816390395164,0.0147234635532367,0.4221583844721317,0.7508736971020699,4.481536823647048e-05,0.307379719465971,0.8049737587571144,23.415772958999696,0.0,0.7265534674534937,0.6413145612785297,0.5224491415179785,0.7265534674534937,0.5224491415179785,0.674941074864117,0.680571363007453,0.0017301993537341,qmmf,42,0
9,0.8981256502866745,0.1488483953475952,0.5984147733449936,0.7079368364810944,0.0846291468292474,,0.6734399104118347,23.688385960999994,0.0002990896015976,0.3900071083001506,0.3625607283048354,0.3113090760799882,0.3900071083001506,0.343063355384802,0.3546117212295537,0.3739033910795398,,hemis,42,0
19,0.8443709588050843,0.0554108867794275,0.5287869510054588,0.8114323443174363,0.0221804227121174,,0.6127085742354393,24.464981814999987,0.0002889741100822,0.455186475285839,0.4373338527752052,0.374212203216614,0.455186475285839,0.4049260671658956,0.4518890158738809,0.4417332613257263,0.0083468324365094,hemis,42,0
29,0.787386943101883,0.0407747172750532,0.4887420749664307,0.8208755320310592,0.0066436279658228,,0.5719860914349556,25.332187662000024,0.0002683710764094,0.5314524711942431,0.4769729677327748,0.3635213859852073,0.5314524711942431,0.3892593177015491,0.5102071143025323,0.498315511634899,0.0041213947790674,hemis,42,0
39,0.760535618364811,0.0299346243217587,0.4682952405512333,0.8008653992414474,0.0025410440610721,,0.5488781908154488,24.907213633000083,0.0002388352878997,0.5175861180769349,0.4720217477228626,0.3765156765780212,0.5175861180769349,0.3851502115538815,0.5133289135377715,0.4898097628208218,0.0018467859370866,hemis,42,0
49,0.7378706240653992,0.0268239964358508,0.4534519901871681,0.816427752673626,0.0012345860200002,,0.5354537451267243,24.71060539199993,0.0002025956332789,0.5139008998229325,0.4761799598739674,0.3827052984242439,0.5139008998229325,0.4002891994097444,0.5143497803892255,0.4894650576983741,0.001486244709813,hemis,42,0
59,0.7451196795701981,0.0273590700468048,0.4580154529213905,0.8187242048978806,0.0006660950230434,,0.5403094759583473,25.482385013000112,0.0001623869018208,0.6058462881916431,0.5336399782393397,0.4038574321269939,0.6058462881916431,0.428436336800567,0.566637309725809,0.5639855095994871,0.001941473992374,hemis,42,0
69,0.7585254114866257,0.0206752774561755,0.4633853740990162,0.8179800695180893,0.0004328824079129,,0.5454268583655357,24.441253357999813,0.0001212434052114,0.5791876389837348,0.5144193669337754,0.3941143164403304,0.5791876389837348,0.3997231027277204,0.5643473590898708,0.5412498251144066,0.0011091482153278,hemis,42,0
79,0.7438897302746773,0.0304002447798848,0.4584939551353454,0.8358922785520554,0.0003431781785911,,0.5427360337972641,24.57221070500009,8.226999625336662e-05,0.5926265897854134,0.538626318498141,0.4281801239906111,0.5926265897854134,0.4383356057592968,0.5849167599497128,0.5599818618197514,0.0031784428389801,hemis,42,0
89,0.7402978196740151,0.0285983869247138,0.4556180652976036,0.8509030798077584,0.0002880885257036,,0.5412743759155273,25.077647680000155,4.840776425613886e-05,0.5705821056092398,0.5213986858841252,0.4199332754103393,0.5705821056092398,0.426665914705945,0.5669480373371908,0.5407621966718154,0.0027579876846721,hemis,42,0
99,0.771145878136158,0.0237114858347922,0.4721721437573433,0.8457890412211418,0.000259255979181,,0.557189601957798,24.566553343000123,2.221208867425096e-05,0.5977063544968703,0.5416037361148469,0.4331587757904668,0.5977063544968703,0.4404749311641242,0.586629922683546,0.5644208111116229,0.0021279249091094,hemis,42,0
109,0.7598274737596512,0.0228475051233544,0.4650355061888694,0.812840228676796,0.0002808585079037,,0.546730890572071,23.2715462340002,5.659799953612438e-06,0.6035168892497755,0.540219386415594,0.420982946588579,0.6035168892497755,0.4278705594802778,0.5892707105167286,0.5662742441334014,0.0019865691723225,hemis,42,0
119,0.7406607213616371,0.0218089718651026,0.4531200402975082,0.7809698283672333,0.0002814682196185,,0.5315798598527909,21.85338906900052,0.0,0.6022458075019729,0.5407204921071664,0.42231025010226,0.6022458075019729,0.4283488379481363,0.5915668308713903,0.5657946571435597,0.0017438075244353,hemis,42,0
9,0.8790877014398575,0.1052422144263982,0.5695495304465293,0.6794256854057312,0.0042412683693692,,0.6377041625976563,20.38850852499945,0.0002990896015976,0.5963240812061353,0.4769995615362414,0.35890266860399,0.5963240812061353,0.4339782983179894,0.4006963050845991,0.5367845840449527,,unet25d,42,0
19,0.8121727895736695,0.0416605209931731,0.5039679047465324,0.8049473887681962,0.0019699763983953,,0.58617879986763,24.217092429999862,0.0002889741100822,0.6232111185010144,0.4875507519102624,0.343487583946607,0.6232111185010144,0.4681263397209836,0.3713147975087891,0.554540655068348,0.0080882741976529,unet25d,42,0
29,0.74911028444767,0.0339700873382389,0.4630542242527008,0.8172589924931526,0.000438028902281,,0.5454038226604462,23.88859892999972,0.0002683710764094,0.5878984796454293,0.4638736103798384,0.3463126124511082,0.5878984796454293,0.4116258147433227,0.3920965367507631,0.52653243214632,0.0030089622817467,unet25d,42,0
