group_id,qmmf,no_quality,hemis,unet25d,qmmf_minus_no_quality
sg_01ac2338604cf8bc,0.765179391716944,0.7920735409361445,0.676064124459203,0.7081989234932992,-0.026894149219200414
sg_09e69c148337e6f2,0.8199020380564225,0.8236992438974585,0.7731009325890095,0.8180817956372307,-0.0037972058410360443
sg_155b562e5b5b19e2,0.6967783283117712,0.7022929808407626,0.5804909194757034,0.5726009526323056,-0.005514652528991415
sg_208587454a785b38,0.6524093236519387,0.66755397124485,0.55811947861293,0.6925088235730373,-0.015144647592911342
sg_2765272d3a548d1a,0.7432996803742569,0.7467416794189289,0.6430792919756119,0.783092871699556,-0.0034419990446720172
sg_307d026dc8f7f6a2,0.7028926591950929,0.713114372368242,0.5960244685735452,0.6734306406933194,-0.010221713173149127
sg_310e9599bf94bf9b,0.8709971040529542,0.8757544815790813,0.7783266708170756,0.8582182277179734,-0.004757377526127149
sg_33055ac40922cca6,0.9193977092316751,0.9166789444202458,0.8448998530495526,0.9227427902150315,0.0027187648114292973
sg_332e12d666debe62,0.9337766365732959,0.9393157595082805,0.8519339381199481,0.9420180741981804,-0.005539122934984597
sg_3e3be46d07dde9ba,0.6755346546634806,0.6930045730961458,0.5939529120562556,0.6149029422227034,-0.01746991843266521
sg_3ffd0110fd8c70a1,0.8275034338173338,0.8361935915799674,0.69884768444608,0.8499101357117996,-0.008690157762633599
sg_4151cfd07ac3e1b0,0.8465708312102946,0.8496137213839653,0.8134479706314283,0.7913893052579342,-0.0030428901736706537
sg_4267e6ff34e2e7aa,0.7901547133941783,0.822816562107108,0.7977673489263705,0.830411882083064,-0.03266184871292965
sg_444c950e61a18f08,0.6933148325959322,0.6825834227184613,0.6214783992910161,0.6072993665673415,0.010731409877470899
sg_455084cc52da07da,0.7976386702340962,0.8199672590342587,0.7029973038316104,0.7605162902743111,-0.02232858880016253
sg_47ad4a78768d946f,0.8742178694858804,0.9054050062674516,0.7634889903503056,0.8970031821830569,-0.031187136781571145
sg_4c38c49cc72ad103,0.868246763290577,0.8775703048221634,0.7778551027009192,0.8647068836918406,-0.009323541531586321
sg_4f51bee88ad1bdc1,0.8365412171525545,0.8459463937026307,0.7778311571548914,0.8517770777807403,-0.009405176550076222
sg_56143f5cb2b81628,0.5556784814991201,0.548710472014971,0.4965828690336797,0.5757822288626492,0.006968009484149107
sg_573aa66b02bed579,0.8637279666236758,0.8636152734838242,0.8339763405642516,0.8474485674427074,0.00011269313985162732
sg_5a1ac60f33875cd1,0.8850928973195199,0.8930198730601554,0.8344218661348276,0.8853529343336207,-0.0079269757406355
sg_5c0779fb48082fce,0.8056320568623326,0.7638473238838278,0.6571705681791761,0.7462428812149325,0.041784732978504824
sg_60f2b2abbb8756cc,0.7311476846766,0.7590664249377413,0.7193624165105308,0.7636663525664303,-0.027918740261141384
sg_6980cc12eb6c16ca,0.591516187204268,0.6544062239510575,0.46633077427707675,0.6594199794066804,-0.0628900367467895
sg_6c3b7da86323c267,0.8674664223640329,0.8717323151999509,0.6890317411650931,0.8471726315025799,-0.004265892835917939
sg_746c61eaf9fad2e3,0.5002278695127562,0.5134175187722354,0.45629402077864833,0.5183752609599609,-0.013189649259479186
sg_76c55b2034ec06a9,0.8990422218102682,0.9150116838507393,0.8187806995715903,0.9253362154814869,-0.015969462040471116
sg_7f5e5ea0a85929e0,0.8606999951174513,0.8712495377137315,0.8207017553821244,0.8299374543227088,-0.01054954259628016
sg_8564c7b4b8bd716c,0.8410552425192191,0.8526919491026786,0.7812732157159834,0.8595856229755526,-0.0116367065834595
sg_8937151c38cb28ed,0.7688540323901966,0.7770715518988328,0.6721541110512764,0.7864147698524552,-0.00821751950863625
sg_91c0f97012b3ce95,0.6112387799718784,0.5989408417319027,0.4799649654707638,0.6224653194252077,0.012297938239975714
sg_95a201f987a173c4,0.8495771086015896,0.8481299461563259,0.7204130108719801,0.8233787500990024,0.0014471624452637721
sg_9d9491b35b219f3e,0.6047820665429601,0.6225950092269713,0.5753949127598144,0.6237075438401355,-0.017812942684011235
sg_9e8efd497a898fe7,0.8880386347947934,0.8963615604677019,0.8509523177844188,0.8735720303617095,-0.008322925672908488
sg_a17c8025f2884526,0.6849731820555847,0.6692769130779475,0.5615670454677947,0.7283329514575411,0.015696268977637207
sg_a79c24b2ab681a89,0.6143190324708422,0.608585028302874,0.5517432947149081,0.5945077208499857,0.00573400416796821
sg_ac2ad219782acb6d,0.8093500873416613,0.8014137024199361,0.6616641746522675,0.8010028448407046,0.007936384921725104
