comparison,macro_f1_delta,ci_low,ci_high
full - narrow_resnet_gn,0.0326335359552393,-0.0119861436763284,0.076689237578646
full - no_attention,0.039910934643821,0.0061851975358141,0.0738229124857977
full - no_attention_no_multiscale,0.0353270572736782,-0.003900093395321,0.0765573703278328
full - no_augmentation,0.0821493736935435,0.0428046833038389,0.124147110273611
full - no_multiscale,0.0371644899865076,0.0043802652086179,0.0694750766096164
full - plain_cnn,0.0625956675644946,0.0162941950658028,0.1062268985424693
