model,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,auroc_mean,auroc_std,average_precision_mean,average_precision_std,brier_mean,brier_std,log_loss_mean,log_loss_std
full,0.7745465185770959,0.0237313529722814,0.7807017543859649,0.0232083448338998,0.7860112496943018,0.0243566095711868,0.7635933806146573,0.0319804947008715,0.8084291187739464,0.0435165390482779,0.8456835412081194,0.0160928294874757,0.8976667904649535,0.0190521764837434,0.1679737545271116,0.0072999897866968,0.543143175216564,0.0041232321332098
no_attention,0.7346355839332749,0.0096131597203371,0.7412280701754387,0.0116041724169499,0.7460259232086085,0.005564715213002,0.7257683215130024,0.0327574620816808,0.7662835249042145,0.0239271953961624,0.8456835412081194,0.009488536416044,0.8911075134834094,0.0143617314097821,0.1772567158495113,0.0071333918599254,0.5537914149797855,0.0325970035893109
no_multiscale,0.7373820285905882,0.0233493160417183,0.7470760233918129,0.0177256661593306,0.7448846498736447,0.0301661618698342,0.7541371158392435,0.0227982287493923,0.735632183908046,0.0828862362175629,0.8264992799108719,0.0286703520506178,0.8840790442048906,0.0238246311207503,0.1824644015426535,0.0069002575716109,0.5962474134923155,0.0206284707271129
no_attention_no_multiscale,0.7392194613034176,0.0081927578031806,0.7485380116959064,0.0091301140327461,0.7460666829705715,0.0090224658608667,0.756501182033097,0.0319804947008715,0.735632183908046,0.0398172599441121,0.8268253580065759,0.0099578470399644,0.8690638617065854,0.011695347124976,0.1738156833025337,0.0016584943494963,0.5273317494767594,0.0070860926329521
no_augmentation,0.6923971448835523,0.0490226682925861,0.7090643274853802,0.0416858989163252,0.694342545039537,0.053569818750484,0.7565011820330968,0.0147635886486959,0.632183908045977,0.1053465677001342,0.7466373196380532,0.0606461428724589,0.8098864620545473,0.0603993996845572,0.2132621004110055,0.0203184485265745,0.6783561930012024,0.0536021203288659
narrow_resnet_gn,0.7419129826218566,0.0346152582634251,0.7514619883040936,0.0378143776502267,0.748430749164425,0.0305777278436382,0.7612293144208038,0.0738179432434798,0.735632183908046,0.0526732838500671,0.8040270644819434,0.0216545993575052,0.8508961214287954,0.0186940267668147,0.189863119569505,0.0231968994310257,0.6284531503910126,0.0699874164308101
plain_cnn,0.7119508510126012,0.0562268951143731,0.7192982456140351,0.0538956391554583,0.7253607238933725,0.0600921517588323,0.6997635933806147,0.0717446378510331,0.7509578544061303,0.1179678491826869,0.8226406891117088,0.0495097628199658,0.8679290097117304,0.0377410277046062,0.1785020164844343,0.022157076394417,0.5402766876392976,0.0480876157164626
