model,seed,curve,x,y
full,42,ROC,0.0,0.0
full,42,ROC,0.0,0.0070921985815602835
full,42,ROC,0.0,0.14893617021276595
full,42,ROC,0.011494252873563218,0.14893617021276595
full,42,ROC,0.011494252873563218,0.20567375886524822
full,42,ROC,0.022988505747126436,0.20567375886524822
full,42,ROC,0.022988505747126436,0.2198581560283688
full,42,ROC,0.034482758620689655,0.2198581560283688
full,42,ROC,0.034482758620689655,0.2624113475177305
full,42,ROC,0.04597701149425287,0.2624113475177305
full,42,ROC,0.04597701149425287,0.3333333333333333
full,42,ROC,0.05747126436781609,0.3333333333333333
full,42,ROC,0.05747126436781609,0.5035460992907801
full,42,ROC,0.06896551724137931,0.5035460992907801
full,42,ROC,0.06896551724137931,0.5177304964539007
full,42,ROC,0.08045977011494253,0.5177304964539007
full,42,ROC,0.08045977011494253,0.5390070921985816
full,42,ROC,0.09195402298850575,0.5390070921985816
full,42,ROC,0.09195402298850575,0.5957446808510638
full,42,ROC,0.10344827586206896,0.5957446808510638
full,42,ROC,0.10344827586206896,0.6028368794326241
full,42,ROC,0.11494252873563218,0.6028368794326241
full,42,ROC,0.11494252873563218,0.6099290780141844
full,42,ROC,0.12643678160919541,0.6099290780141844
full,42,ROC,0.12643678160919541,0.624113475177305
full,42,ROC,0.13793103448275862,0.624113475177305
full,42,ROC,0.13793103448275862,0.6382978723404256
full,42,ROC,0.14942528735632185,0.6382978723404256
full,42,ROC,0.14942528735632185,0.6524822695035462
full,42,ROC,0.16091954022988506,0.6524822695035462
full,42,ROC,0.16091954022988506,0.6950354609929078
full,42,ROC,0.1724137931034483,0.6950354609929078
full,42,ROC,0.1724137931034483,0.7021276595744681
full,42,ROC,0.20689655172413793,0.7021276595744681
full,42,ROC,0.20689655172413793,0.7092198581560284
full,42,ROC,0.21839080459770116,0.7092198581560284
full,42,ROC,0.21839080459770116,0.7163120567375887
full,42,ROC,0.22988505747126436,0.7163120567375887
full,42,ROC,0.22988505747126436,0.7375886524822695
full,42,ROC,0.2413793103448276,0.7375886524822695
full,42,ROC,0.2413793103448276,0.7801418439716312
full,42,ROC,0.25287356321839083,0.7801418439716312
full,42,ROC,0.25287356321839083,0.7872340425531915
full,42,ROC,0.26436781609195403,0.7872340425531915
full,42,ROC,0.26436781609195403,0.8014184397163121
full,42,ROC,0.27586206896551724,0.8014184397163121
full,42,ROC,0.27586206896551724,0.8085106382978723
full,42,ROC,0.3448275862068966,0.8085106382978723
full,42,ROC,0.3448275862068966,0.8226950354609929
full,42,ROC,0.3563218390804598,0.8226950354609929
full,42,ROC,0.3563218390804598,0.8297872340425532
full,42,ROC,0.367816091954023,0.8297872340425532
full,42,ROC,0.367816091954023,0.8368794326241135
full,42,ROC,0.4367816091954023,0.8368794326241135
full,42,ROC,0.4367816091954023,0.8439716312056738
full,42,ROC,0.45977011494252873,0.8439716312056738
full,42,ROC,0.45977011494252873,0.851063829787234
full,42,ROC,0.4827586206896552,0.851063829787234
full,42,ROC,0.4827586206896552,0.8581560283687943
full,42,ROC,0.5057471264367817,0.8581560283687943
full,42,ROC,0.5057471264367817,0.8865248226950354
full,42,ROC,0.5172413793103449,0.8865248226950354
full,42,ROC,0.5172413793103449,0.8936170212765957
full,42,ROC,0.5287356321839081,0.8936170212765957
full,42,ROC,0.5287356321839081,0.9148936170212766
full,42,ROC,0.5517241379310345,0.9148936170212766
full,42,ROC,0.5517241379310345,0.9219858156028369
full,42,ROC,0.5747126436781609,0.9219858156028369
full,42,ROC,0.5747126436781609,0.9361702127659575
full,42,ROC,0.6206896551724138,0.9361702127659575
full,42,ROC,0.6206896551724138,0.9432624113475178
full,42,ROC,0.6436781609195402,0.9432624113475178
full,42,ROC,0.6436781609195402,0.950354609929078
full,42,ROC,0.6551724137931034,0.950354609929078
full,42,ROC,0.6551724137931034,0.9574468085106383
full,42,ROC,0.6666666666666666,0.9574468085106383
full,42,ROC,0.6666666666666666,0.9645390070921985
full,42,ROC,0.6781609195402298,0.9645390070921985
full,42,ROC,0.6781609195402298,0.9716312056737588
full,42,ROC,0.7011494252873564,0.9716312056737588
full,42,ROC,0.7011494252873564,0.9787234042553191
full,42,ROC,0.735632183908046,0.9787234042553191
full,42,ROC,0.735632183908046,0.9858156028368794
full,42,ROC,0.8620689655172413,0.9858156028368794
full,42,ROC,0.8620689655172413,0.9929078014184397
full,42,ROC,0.9310344827586207,0.9929078014184397
full,42,ROC,0.9310344827586207,1.0
full,42,ROC,1.0,1.0
full,42,PR,1.0,0.618421052631579
full,42,PR,1.0,0.6211453744493393
full,42,PR,1.0,0.6238938053097345
full,42,PR,1.0,0.6266666666666667
full,42,PR,1.0,0.6294642857142857
full,42,PR,1.0,0.6322869955156951
full,42,PR,1.0,0.6351351351351351
full,42,PR,0.9929078014184397,0.6334841628959276
full,42,PR,0.9929078014184397,0.6363636363636364
full,42,PR,0.9929078014184397,0.639269406392694
full,42,PR,0.9929078014184397,0.6422018348623854
full,42,PR,0.9929078014184397,0.6451612903225806
full,42,PR,0.9929078014184397,0.6481481481481481
